|dates|Bedford_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Bedford_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Bedford_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Bedford_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Bedford_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9019.0|0|9019.0|0|154.0|0|0.0|100
0|2021-10-18|9058.0|0|9058.0|0|154.0|0|0.0|100
0|2021-10-19|9066.0|0|9066.0|0|154.0|0|0.0|100
0|2021-10-20|9084.0|0|9084.0|0|154.0|0|0.0|100
0|2021-10-21|9103.0|0|9103.0|0|154.0|0|0.0|100
0|2021-10-22|9115.0|0|9115.0|0|154.0|0|0.0|100
0|2021-10-23|9115.0|0|9115.0|0|154.0|0|0.0|100
0|2021-10-24|9115.0|0|9115.0|0|154.0|0|0.0|100
0|2021-10-25|9115.0|0|9115.0|0|154.0|0|0.0|100
0|2021-10-26|9150.0|0|9150.0|0|155.0|0|0.0|100
0|2021-10-27|9165.0|0|9165.0|0|155.0|0|0.0|100
0|2021-10-28|9185.0|0|9185.0|0|155.0|0|0.0|100
0|2021-10-29|9195.0|0|9195.0|0|155.0|0|0.0|100
0|2021-10-30|9195.0|0|9195.0|0|155.0|0|0.0|100
0|2021-10-31|9195.0|0|9195.0|0|155.0|0|0.0|100
0|2021-11-01|9195.0|0|9195.0|0|155.0|0|0.0|100
0|2021-11-02|9229.0|0|9229.0|0|157.0|0|0.0|100
0|2021-11-03|9239.0|0|9239.0|0|158.0|0|0.0|100
0|2021-11-04|9252.0|0|9252.0|0|158.0|0|0.0|100
0|2021-11-05|9257.0|0|9257.0|0|158.0|0|0.0|100
0|2021-11-06|9257.0|0|9257.0|0|158.0|0|0.0|100
0|2021-11-07|9257.0|0|9257.0|0|158.0|0|0.0|100
0|2021-11-08|9257.0|0|9257.0|0|158.0|0|0.0|100
0|2021-11-09|9288.0|0|9288.0|0|158.0|0|0.0|100
0|2021-11-10|9323.0|0|9323.0|0|158.0|0|0.0|100
0|2021-11-11|9323.0|0|9323.0|0|158.0|0|0.0|100
0|2021-11-12|9347.0|0|9347.0|0|158.0|0|0.0|100
0|2021-11-13|9347.0|0|9347.0|0|158.0|0|0.0|100
0|2021-11-14|9347.0|0|9347.0|0|158.0|0|0.0|100
0|2021-11-15|9360.0|0|9360.0|0|158.0|0|0.0|100
0|2021-11-16|9367.0|0|9367.0|0|158.0|0|0.0|100
0|2021-11-17|9381.0|0|9381.0|0|158.0|0|0.0|100
0|2021-11-18|9401.0|0|9401.0|0|158.0|0|0.0|100
0|2021-11-19|9419.0|0|9419.0|0|158.0|0|0.0|100
0|2021-11-20|9419.0|0|9419.0|0|158.0|0|0.0|100
0|2021-11-21|9419.0|0|9419.0|0|158.0|0|0.0|100
0|2021-11-22|9460.0|0|9460.0|0|158.0|0|0.0|100
0|2021-11-23|9469.0|0|9469.0|0|159.0|0|0.0|100
0|2021-11-24|9477.0|0|9477.0|0|159.0|0|0.0|100
0|2021-11-25|9477.0|0|9477.0|0|159.0|0|0.0|100
0|2021-11-26|9477.0|0|9477.0|0|159.0|0|0.0|100
0|2021-11-27|9477.0|0|9477.0|0|159.0|0|0.0|100
0|2021-11-28|9477.0|0|9477.0|0|159.0|0|0.0|100
0|2021-11-29|9513.0|0|9513.0|0|159.0|0|0.0|100
0|2021-11-30|9528.0|0|9528.0|0|159.0|0|0.0|100
0|2021-12-01|9545.0|0|9545.0|0|162.0|0|0.0|100
0|2021-12-02|9574.0|0|9574.0|0|164.0|0|0.0|100
0|2021-12-03|9592.0|0|9592.0|0|167.0|0|0.0|100
0|2021-12-04|9592.0|0|9592.0|0|167.0|0|0.0|100
0|2021-12-05|9592.0|0|9592.0|0|167.0|0|0.0|100
0|2021-12-06|9610.0|0|9610.0|0|170.0|0|0.0|100
0|2021-12-07|9618.0|0|9618.0|0|171.0|0|0.0|100
0|2021-12-08|9634.0|0|9634.0|0|173.0|0|0.0|100
0|2021-12-09|9634.0|0|9634.0|0|173.0|0|0.0|100
0|2021-12-10|9670.0|0|9670.0|0|173.0|0|0.0|100
0|2021-12-11|9670.0|0|9670.0|0|173.0|0|0.0|100
0|2021-12-12|9670.0|0|9670.0|0|173.0|0|0.0|100
0|2021-12-13|9692.0|0|9692.0|0|173.0|0|0.0|100
0|2021-12-14|9692.0|0|9700.0|0|173.0|0|0.0|100
0|2021-12-15|9724.0|0|9724.0|0|175.0|0|0.0|100
0|2021-12-16|9735.0|0|9735.0|0|176.0|0|0.0|100
0|2021-12-17|9746.0|0|9746.0|0|176.0|0|0.0|100
0|2021-12-18|9746.0|0|9746.0|0|176.0|0|0.0|100
0|2021-12-19|9746.0|0|9746.0|0|176.0|0|0.0|100
0|2021-12-20|9782.0|0|9782.0|0|176.0|0|0.0|100
0|2021-12-21|9792.0|0|9792.0|0|178.0|0|0.0|100
0|2021-12-22|9810.0|0|9810.0|0|178.0|0|0.0|100
0|2021-12-23|9825.0|0|9825.0|0|198.0|0|0.0|100
0|2021-12-24|9825.0|0|9825.0|0|198.0|0|0.0|100
0|2021-12-25|9825.0|0|9825.0|0|198.0|0|0.0|100
0|2021-12-26|9825.0|0|9825.0|0|198.0|0|0.0|100
