|dates|Trinity_Texas_UnitedStates.JHU_ConfirmedCases.data|Trinity_Texas_UnitedStates.JHU_ConfirmedCases.missing|Trinity_Texas_UnitedStates.NYT_ConfirmedCases.data|Trinity_Texas_UnitedStates.NYT_ConfirmedCases.missing|Trinity_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Trinity_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Trinity_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Trinity_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1554.0|0|1554.0|0|59.0|0|0.0|100
0|2021-10-18|1554.0|0|1554.0|0|59.0|0|0.0|100
0|2021-10-19|1558.0|0|1558.0|0|59.0|0|0.0|100
0|2021-10-20|1563.0|0|1563.0|0|59.0|0|0.0|100
0|2021-10-21|1577.0|0|1577.0|0|59.0|0|0.0|100
0|2021-10-22|1583.0|0|1583.0|0|59.0|0|0.0|100
0|2021-10-23|1583.0|0|1583.0|0|59.0|0|0.0|100
0|2021-10-24|1590.0|0|1590.0|0|59.0|0|0.0|100
0|2021-10-25|1590.0|0|1590.0|0|59.0|0|0.0|100
0|2021-10-26|1599.0|0|1599.0|0|59.0|0|0.0|100
0|2021-10-27|1603.0|0|1603.0|0|59.0|0|0.0|100
0|2021-10-28|1607.0|0|1607.0|0|60.0|0|0.0|100
0|2021-10-29|1607.0|0|1607.0|0|60.0|0|0.0|100
0|2021-10-30|1608.0|0|1608.0|0|60.0|0|0.0|100
0|2021-10-31|1608.0|0|1608.0|0|60.0|0|0.0|100
0|2021-11-01|1608.0|0|1608.0|0|60.0|0|0.0|100
0|2021-11-02|1611.0|0|1611.0|0|60.0|0|0.0|100
0|2021-11-03|1615.0|0|1615.0|0|60.0|0|0.0|100
0|2021-11-04|1615.0|0|1615.0|0|60.0|0|0.0|100
0|2021-11-05|1617.0|0|1617.0|0|60.0|0|0.0|100
0|2021-11-06|1622.0|0|1622.0|0|60.0|0|0.0|100
0|2021-11-07|1622.0|0|1622.0|0|60.0|0|0.0|100
0|2021-11-08|1622.0|0|1622.0|0|60.0|0|0.0|100
0|2021-11-09|1628.0|0|1628.0|0|60.0|0|0.0|100
0|2021-11-10|1628.0|0|1628.0|0|60.0|0|0.0|100
0|2021-11-11|1631.0|0|1631.0|0|60.0|0|0.0|100
0|2021-11-12|1632.0|0|1632.0|0|60.0|0|0.0|100
0|2021-11-13|1634.0|0|1634.0|0|60.0|0|0.0|100
0|2021-11-14|1634.0|0|1634.0|0|60.0|0|0.0|100
0|2021-11-15|1634.0|0|1634.0|0|60.0|0|0.0|100
0|2021-11-16|1634.0|0|1634.0|0|60.0|0|0.0|100
0|2021-11-17|1634.0|0|1634.0|0|60.0|0|0.0|100
0|2021-11-18|1634.0|0|1634.0|0|60.0|0|0.0|100
0|2021-11-19|1634.0|0|1634.0|0|60.0|0|0.0|100
0|2021-11-20|1634.0|0|1634.0|0|61.0|0|0.0|100
0|2021-11-21|1634.0|0|1634.0|0|61.0|0|0.0|100
0|2021-11-22|1634.0|0|1634.0|0|61.0|0|0.0|100
0|2021-11-23|1636.0|0|1636.0|0|61.0|0|0.0|100
0|2021-11-24|1638.0|0|1638.0|0|61.0|0|0.0|100
0|2021-11-25|1638.0|0|1638.0|0|61.0|0|0.0|100
0|2021-11-26|1638.0|0|1638.0|0|61.0|0|0.0|100
0|2021-11-27|1638.0|0|1638.0|0|61.0|0|0.0|100
0|2021-11-28|1638.0|0|1638.0|0|61.0|0|0.0|100
0|2021-11-29|1639.0|0|1639.0|0|61.0|0|0.0|100
0|2021-11-30|1644.0|0|1644.0|0|62.0|0|0.0|100
0|2021-12-01|1646.0|0|1646.0|0|62.0|0|0.0|100
0|2021-12-02|1647.0|0|1647.0|0|62.0|0|0.0|100
0|2021-12-03|1649.0|0|1649.0|0|62.0|0|0.0|100
0|2021-12-04|1651.0|0|1651.0|0|62.0|0|0.0|100
0|2021-12-05|1652.0|0|1652.0|0|62.0|0|0.0|100
0|2021-12-06|1652.0|0|1652.0|0|62.0|0|0.0|100
0|2021-12-07|1653.0|0|1653.0|0|62.0|0|0.0|100
0|2021-12-08|1658.0|0|1658.0|0|62.0|0|0.0|100
0|2021-12-09|1660.0|0|1660.0|0|62.0|0|0.0|100
0|2021-12-10|1668.0|0|1668.0|0|62.0|0|0.0|100
0|2021-12-11|1670.0|0|1670.0|0|62.0|0|0.0|100
0|2021-12-12|1670.0|0|1670.0|0|62.0|0|0.0|100
0|2021-12-13|1671.0|0|1671.0|0|62.0|0|0.0|100
0|2021-12-14|1671.0|0|1672.0|0|62.0|0|0.0|100
0|2021-12-15|1676.0|0|1676.0|0|63.0|0|0.0|100
0|2021-12-16|1679.0|0|1679.0|0|64.0|0|0.0|100
0|2021-12-17|1683.0|0|1683.0|0|64.0|0|0.0|100
0|2021-12-18|1685.0|0|1685.0|0|64.0|0|0.0|100
0|2021-12-19|1686.0|0|1686.0|0|64.0|0|0.0|100
0|2021-12-20|1691.0|0|1691.0|0|64.0|0|0.0|100
0|2021-12-21|1691.0|0|1691.0|0|64.0|0|0.0|100
0|2021-12-22|1696.0|0|1696.0|0|64.0|0|0.0|100
0|2021-12-23|1698.0|0|1698.0|0|64.0|0|0.0|100
0|2021-12-24|1698.0|0|1698.0|0|64.0|0|0.0|100
0|2021-12-25|1698.0|0|1698.0|0|64.0|0|0.0|100
0|2021-12-26|1698.0|0|1698.0|0|64.0|0|0.0|100
0|2021-12-27|1712.0|0|1712.0|0|64.0|0|0.0|100
0|2021-12-28|1716.0|0|1716.0|0|64.0|0|0.0|100
0|2021-12-29|1723.0|0|1723.0|0|64.0|0|0.0|100
0|2021-12-30|1728.0|0|1728.0|0|64.0|0|0.0|100
0|2021-12-31|1728.0|0|1728.0|0|64.0|0|0.0|100
0|2022-01-01|1728.0|0|1728.0|0|64.0|0|0.0|100
0|2022-01-02|1728.0|0|1728.0|0|64.0|0|0.0|100
0|2022-01-03|1783.0|0|1783.0|0|64.0|0|0.0|100
0|2022-01-04|1796.0|0|1796.0|0|64.0|0|0.0|100
0|2022-01-05|1801.0|0|1801.0|0|64.0|0|0.0|100
0|2022-01-06|1807.0|0|1807.0|0|64.0|0|0.0|100
0|2022-01-07|1827.0|0|1827.0|0|64.0|0|0.0|100
0|2022-01-08|1839.0|0|1839.0|0|64.0|0|0.0|100
0|2022-01-09|1852.0|0|1852.0|0|64.0|0|0.0|100
0|2022-01-10|1858.0|0|1858.0|0|64.0|0|0.0|100
0|2022-01-11|1872.0|0|1872.0|0|64.0|0|0.0|100
0|2022-01-12|1890.0|0|1890.0|0|64.0|0|0.0|100
0|2022-01-13|1890.0|0|1910.0|0|64.0|0|0.0|100
0|2022-01-14|1910.0|0|2138.0|0|64.0|0|0.0|100
0|2022-01-15|2157.0|0|2157.0|0|65.0|0|0.0|100
0|2022-01-16|2173.0|0|2173.0|0|65.0|0|0.0|100
0|2022-01-17|2183.0|0|0.0|100|65.0|0|0.0|100
