|dates|Davidson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Davidson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Davidson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Davidson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Davidson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Davidson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Davidson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Davidson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|119839.0|0|131065.0|0|1130.0|0|0.0|100
0|2021-10-18|120131.0|0|131447.0|0|1133.0|0|0.0|100
0|2021-10-19|120257.0|0|131447.0|0|1141.0|0|0.0|100
0|2021-10-20|120351.0|0|131623.0|0|1144.0|0|0.0|100
0|2021-10-21|120472.0|0|131623.0|0|1146.0|0|0.0|100
0|2021-10-22|120580.0|0|131857.0|0|1147.0|0|0.0|100
0|2021-10-23|120580.0|0|131857.0|0|1147.0|0|0.0|100
0|2021-10-24|120580.0|0|131857.0|0|1147.0|0|0.0|100
0|2021-10-25|120580.0|0|132249.0|0|1147.0|0|0.0|100
0|2021-10-26|120916.0|0|132249.0|0|1158.0|0|0.0|100
0|2021-10-27|121031.0|0|132423.0|0|1160.0|0|0.0|100
0|2021-10-28|121162.0|0|132423.0|0|1161.0|0|0.0|100
0|2021-10-29|121275.0|0|132647.0|0|1164.0|0|0.0|100
0|2021-10-30|121275.0|0|132647.0|0|1164.0|0|0.0|100
0|2021-10-31|121275.0|0|132647.0|0|1164.0|0|0.0|100
0|2021-11-01|121275.0|0|132939.0|0|1164.0|0|0.0|100
0|2021-11-02|121575.0|0|132939.0|0|1167.0|0|0.0|100
0|2021-11-03|121676.0|0|133086.0|0|1168.0|0|0.0|100
0|2021-11-04|121760.0|0|133086.0|0|1170.0|0|0.0|100
0|2021-11-05|121845.0|0|133249.0|0|1170.0|0|0.0|100
0|2021-11-06|121845.0|0|133249.0|0|1170.0|0|0.0|100
0|2021-11-07|121845.0|0|133249.0|0|1170.0|0|0.0|100
0|2021-11-08|121845.0|0|133486.0|0|1170.0|0|0.0|100
0|2021-11-09|122133.0|0|133486.0|0|1177.0|0|0.0|100
0|2021-11-10|122286.0|0|133659.0|0|1177.0|0|0.0|100
0|2021-11-11|122286.0|0|133659.0|0|1177.0|0|0.0|100
0|2021-11-12|122525.0|0|133942.0|0|1178.0|0|0.0|100
0|2021-11-13|122525.0|0|133942.0|0|1178.0|0|0.0|100
0|2021-11-14|122525.0|0|133942.0|0|1178.0|0|0.0|100
0|2021-11-15|122791.0|0|134237.0|0|1181.0|0|0.0|100
