|dates|Saline_Missouri_UnitedStates.JHU_ConfirmedCases.data|Saline_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Saline_Missouri_UnitedStates.NYT_ConfirmedCases.data|Saline_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Saline_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Saline_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Saline_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Saline_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4054.0|0|4054.0|0|46.0|0|0.0|100
0|2021-10-18|4054.0|0|4054.0|0|46.0|0|0.0|100
0|2021-10-19|4058.0|0|4058.0|0|46.0|0|0.0|100
0|2021-10-20|4061.0|0|4061.0|0|46.0|0|0.0|100
0|2021-10-21|4063.0|0|4063.0|0|46.0|0|0.0|100
0|2021-10-22|4071.0|0|4071.0|0|46.0|0|0.0|100
0|2021-10-23|4079.0|0|4079.0|0|46.0|0|0.0|100
0|2021-10-24|4082.0|0|4082.0|0|46.0|0|0.0|100
0|2021-10-25|4083.0|0|4083.0|0|46.0|0|0.0|100
0|2021-10-26|4087.0|0|4087.0|0|46.0|0|0.0|100
0|2021-10-27|4092.0|0|4092.0|0|47.0|0|0.0|100
0|2021-10-28|4096.0|0|4096.0|0|47.0|0|0.0|100
0|2021-10-29|4098.0|0|4098.0|0|48.0|0|0.0|100
0|2021-10-30|4100.0|0|4100.0|0|48.0|0|0.0|100
0|2021-10-31|4103.0|0|4103.0|0|48.0|0|0.0|100
0|2021-11-01|4103.0|0|4103.0|0|48.0|0|0.0|100
0|2021-11-02|4106.0|0|4106.0|0|48.0|0|0.0|100
0|2021-11-03|4106.0|0|4106.0|0|48.0|0|0.0|100
0|2021-11-04|4109.0|0|4109.0|0|48.0|0|0.0|100
0|2021-11-05|4113.0|0|4113.0|0|48.0|0|0.0|100
0|2021-11-06|4121.0|0|4121.0|0|48.0|0|0.0|100
0|2021-11-07|4122.0|0|4122.0|0|48.0|0|0.0|100
0|2021-11-08|4123.0|0|4123.0|0|48.0|0|0.0|100
0|2021-11-09|4127.0|0|4127.0|0|48.0|0|0.0|100
0|2021-11-10|4137.0|0|4137.0|0|48.0|0|0.0|100
0|2021-11-11|4137.0|0|4137.0|0|48.0|0|0.0|100
0|2021-11-12|4149.0|0|4149.0|0|48.0|0|0.0|100
0|2021-11-13|4151.0|0|4151.0|0|48.0|0|0.0|100
0|2021-11-14|4155.0|0|4155.0|0|48.0|0|0.0|100
0|2021-11-15|4155.0|0|4155.0|0|48.0|0|0.0|100
0|2021-11-16|4159.0|0|4159.0|0|50.0|0|0.0|100
0|2021-11-17|4166.0|0|4166.0|0|50.0|0|0.0|100
0|2021-11-18|4212.0|0|4212.0|0|51.0|0|0.0|100
0|2021-11-19|4216.0|0|4216.0|0|51.0|0|0.0|100
0|2021-11-20|4217.0|0|4217.0|0|51.0|0|0.0|100
0|2021-11-21|4225.0|0|4225.0|0|51.0|0|0.0|100
0|2021-11-22|4227.0|0|4227.0|0|51.0|0|0.0|100
0|2021-11-23|4233.0|0|4233.0|0|51.0|0|0.0|100
0|2021-11-24|4252.0|0|4252.0|0|51.0|0|0.0|100
0|2021-11-25|4252.0|0|4252.0|0|51.0|0|0.0|100
0|2021-11-26|4252.0|0|4252.0|0|51.0|0|0.0|100
0|2021-11-27|4252.0|0|4252.0|0|51.0|0|0.0|100
0|2021-11-28|4252.0|0|4252.0|0|51.0|0|0.0|100
0|2021-11-29|4281.0|0|4281.0|0|51.0|0|0.0|100
0|2021-11-30|4293.0|0|4293.0|0|51.0|0|0.0|100
0|2021-12-01|4320.0|0|4320.0|0|51.0|0|0.0|100
0|2021-12-02|4348.0|0|4348.0|0|84.0|0|0.0|100
0|2021-12-03|4348.0|0|4348.0|0|84.0|0|0.0|100
0|2021-12-04|4396.0|0|4396.0|0|84.0|0|0.0|100
0|2021-12-05|4399.0|0|4399.0|0|84.0|0|0.0|100
0|2021-12-06|4419.0|0|4419.0|0|84.0|0|0.0|100
0|2021-12-07|4422.0|0|4422.0|0|84.0|0|0.0|100
0|2021-12-08|4442.0|0|4442.0|0|84.0|0|0.0|100
0|2021-12-09|4456.0|0|4456.0|0|84.0|0|0.0|100
0|2021-12-10|4468.0|0|4468.0|0|84.0|0|0.0|100
0|2021-12-11|4481.0|0|4481.0|0|84.0|0|0.0|100
0|2021-12-12|4484.0|0|4484.0|0|84.0|0|0.0|100
0|2021-12-13|4489.0|0|4489.0|0|84.0|0|0.0|100
0|2021-12-14|4489.0|0|4499.0|0|84.0|0|0.0|100
0|2021-12-15|4509.0|0|4509.0|0|84.0|0|0.0|100
0|2021-12-16|4525.0|0|4525.0|0|84.0|0|0.0|100
0|2021-12-17|4540.0|0|4540.0|0|84.0|0|0.0|100
0|2021-12-18|4557.0|0|4557.0|0|84.0|0|0.0|100
0|2021-12-19|4564.0|0|4564.0|0|84.0|0|0.0|100
0|2021-12-20|4569.0|0|4569.0|0|84.0|0|0.0|100
0|2021-12-21|4577.0|0|4577.0|0|85.0|0|0.0|100
