|dates|Franklin_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Franklin_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Franklin_Tennessee_UnitedStates.Male_Total_Population.data|Franklin_Tennessee_UnitedStates.Male_Total_Population.missing|Franklin_Tennessee_UnitedStates.Female_Total_Population.data|Franklin_Tennessee_UnitedStates.Female_Total_Population.missing|Franklin_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Franklin_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-18|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-19|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-20|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-21|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-22|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-23|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-24|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-25|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-26|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-27|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-28|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-29|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-30|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-10-31|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-01|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-02|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-03|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-04|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-05|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-06|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-07|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-08|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-09|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-10|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-11|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-12|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-13|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-14|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-15|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-16|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-17|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-18|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-19|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-20|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-21|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-22|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-23|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-24|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-25|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-26|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-27|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-28|8388.0|0|20459.0|0|21431.0|0|8407.0|0
0|2021-11-29|8388.0|0|20459.0|0|21431.0|0|8407.0|0
