|dates|Calaveras_California_UnitedStates.JHU_ConfirmedCases.data|Calaveras_California_UnitedStates.JHU_ConfirmedCases.missing|Calaveras_California_UnitedStates.NYT_ConfirmedCases.data|Calaveras_California_UnitedStates.NYT_ConfirmedCases.missing|Calaveras_California_UnitedStates.JHU_ConfirmedDeaths.data|Calaveras_California_UnitedStates.JHU_ConfirmedDeaths.missing|Calaveras_California_UnitedStates.JHU_ConfirmedRecoveries.data|Calaveras_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3853.0|0|3817.0|0|80.0|0|0.0|100
0|2021-10-18|3867.0|0|3851.0|0|80.0|0|0.0|100
0|2021-10-19|3875.0|0|3865.0|0|80.0|0|0.0|100
0|2021-10-20|3894.0|0|3872.0|0|80.0|0|0.0|100
0|2021-10-21|3916.0|0|3893.0|0|81.0|0|0.0|100
0|2021-10-22|3916.0|0|3914.0|0|81.0|0|0.0|100
0|2021-10-23|3916.0|0|3914.0|0|81.0|0|0.0|100
0|2021-10-24|3917.0|0|3914.0|0|81.0|0|0.0|100
0|2021-10-25|3995.0|0|3914.0|0|81.0|0|0.0|100
0|2021-10-26|4020.0|0|3991.0|0|82.0|0|0.0|100
0|2021-10-27|4026.0|0|4015.0|0|81.0|0|0.0|100
0|2021-10-28|4049.0|0|4024.0|0|82.0|0|0.0|100
0|2021-10-29|4049.0|0|4046.0|0|82.0|0|0.0|100
0|2021-10-30|4049.0|0|4046.0|0|82.0|0|0.0|100
0|2021-10-31|4109.0|0|4046.0|0|82.0|0|0.0|100
0|2021-11-01|4118.0|0|4106.0|0|82.0|0|0.0|100
0|2021-11-02|4134.0|0|4113.0|0|82.0|0|0.0|100
0|2021-11-03|4146.0|0|4129.0|0|82.0|0|0.0|100
0|2021-11-04|4164.0|0|4146.0|0|82.0|0|0.0|100
0|2021-11-05|4164.0|0|4164.0|0|82.0|0|0.0|100
0|2021-11-06|4164.0|0|4164.0|0|82.0|0|0.0|100
0|2021-11-07|4164.0|0|4164.0|0|82.0|0|0.0|100
0|2021-11-08|4217.0|0|4217.0|0|82.0|0|0.0|100
0|2021-11-09|4225.0|0|4225.0|0|82.0|0|0.0|100
0|2021-11-10|4225.0|0|4233.0|0|82.0|0|0.0|100
0|2021-11-11|4243.0|0|4243.0|0|83.0|0|0.0|100
0|2021-11-12|4243.0|0|4243.0|0|83.0|0|0.0|100
0|2021-11-13|4267.0|0|4267.0|0|83.0|0|0.0|100
0|2021-11-14|4267.0|0|4267.0|0|83.0|0|0.0|100
