|dates|Quebradillas_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|Quebradillas_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|Quebradillas_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|Quebradillas_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|Quebradillas_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|Quebradillas_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|Quebradillas_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|Quebradillas_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-02|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-03|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-04|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-05|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-06|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-07|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-08|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-09|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-10|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-11|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-12|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-13|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-14|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-15|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-16|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-17|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-18|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-19|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-20|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
0|2020-01-21|5080.0|0|825.0|0|13.97121083827265|0|5905.0|0
