|dates|Garza_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Garza_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Garza_Texas_UnitedStates.Male_Total_Population.data|Garza_Texas_UnitedStates.Male_Total_Population.missing|Garza_Texas_UnitedStates.Female_Total_Population.data|Garza_Texas_UnitedStates.Female_Total_Population.missing|Garza_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Garza_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-18|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-19|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-20|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-21|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-22|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-23|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-24|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-25|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-26|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-27|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-28|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-29|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-30|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-10-31|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-01|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-02|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-03|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-04|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-05|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-06|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-07|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-08|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-09|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-10|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-11|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-12|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-13|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-14|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-15|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-16|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-17|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-18|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-19|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-20|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-21|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-22|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-23|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-24|729.0|0|4355.0|0|2223.0|0|1115.0|0
0|2021-11-25|729.0|0|4355.0|0|2223.0|0|1115.0|0
