|dates|Summit_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Summit_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Summit_Ohio_UnitedStates.Male_Total_Population.data|Summit_Ohio_UnitedStates.Male_Total_Population.missing|Summit_Ohio_UnitedStates.Female_Total_Population.data|Summit_Ohio_UnitedStates.Female_Total_Population.missing|Summit_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Summit_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-18|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-19|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-20|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-21|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-22|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-23|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-24|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-25|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-26|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-27|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-28|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-29|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-30|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-10-31|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-11-01|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-11-02|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-11-03|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-11-04|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-11-05|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-11-06|97232.0|0|262912.0|0|279006.0|0|113228.0|0
0|2021-11-07|97232.0|0|262912.0|0|279006.0|0|113228.0|0
