|dates|Mesa_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Mesa_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Mesa_Colorado_UnitedStates.Male_Total_Population.data|Mesa_Colorado_UnitedStates.Male_Total_Population.missing|Mesa_Colorado_UnitedStates.Female_Total_Population.data|Mesa_Colorado_UnitedStates.Female_Total_Population.missing|Mesa_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Mesa_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-18|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-19|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-20|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-21|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-22|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-23|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-24|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-25|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-26|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-27|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-28|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-29|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-30|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-10-31|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-11-01|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-11-02|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-11-03|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-11-04|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-11-05|29238.0|0|75720.0|0|77487.0|0|33045.0|0
0|2021-11-06|29238.0|0|75720.0|0|77487.0|0|33045.0|0
