|dates|Macoupin_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Macoupin_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Macoupin_Illinois_UnitedStates.Male_Total_Population.data|Macoupin_Illinois_UnitedStates.Male_Total_Population.missing|Macoupin_Illinois_UnitedStates.Female_Total_Population.data|Macoupin_Illinois_UnitedStates.Female_Total_Population.missing|Macoupin_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Macoupin_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-18|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-19|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-20|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-21|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-22|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-23|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-24|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-25|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-26|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-27|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-28|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-29|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-30|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-10-31|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-01|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-02|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-03|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-04|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-05|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-06|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-07|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-08|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-09|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-10|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-11|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-12|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-13|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-14|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-15|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-16|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-17|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-18|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-19|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-20|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-21|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-22|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-23|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-24|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-25|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-26|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-27|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-28|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-29|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-11-30|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-01|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-02|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-03|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-04|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-05|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-06|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-07|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-08|9006.0|0|22409.0|0|22904.0|0|9644.0|0
0|2021-12-09|9006.0|0|22409.0|0|22904.0|0|9644.0|0
