|dates|Forsyth_Georgia_UnitedStates.JHU_ConfirmedCases.data|Forsyth_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Forsyth_Georgia_UnitedStates.NYT_ConfirmedCases.data|Forsyth_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Forsyth_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Forsyth_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Forsyth_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Forsyth_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|33340.0|0|33831.0|0|257.0|0|0.0|100
0|2021-10-18|33415.0|0|33910.0|0|258.0|0|0.0|100
0|2021-10-19|33457.0|0|33952.0|0|258.0|0|0.0|100
0|2021-10-20|33523.0|0|34018.0|0|267.0|0|0.0|100
0|2021-10-21|33566.0|0|34061.0|0|267.0|0|0.0|100
0|2021-10-22|33604.0|0|34099.0|0|267.0|0|0.0|100
0|2021-10-23|33604.0|0|34099.0|0|267.0|0|0.0|100
0|2021-10-24|33604.0|0|34099.0|0|267.0|0|0.0|100
0|2021-10-25|33694.0|0|34187.0|0|268.0|0|0.0|100
0|2021-10-26|33720.0|0|34213.0|0|269.0|0|0.0|100
0|2021-10-27|33765.0|0|34258.0|0|269.0|0|0.0|100
0|2021-10-28|33820.0|0|34313.0|0|270.0|0|0.0|100
0|2021-10-29|33851.0|0|34344.0|0|272.0|0|0.0|100
0|2021-10-30|33851.0|0|34344.0|0|272.0|0|0.0|100
0|2021-10-31|33851.0|0|34344.0|0|272.0|0|0.0|100
0|2021-11-01|33927.0|0|34418.0|0|274.0|0|0.0|100
0|2021-11-02|33991.0|0|34482.0|0|274.0|0|0.0|100
0|2021-11-03|34019.0|0|34510.0|0|276.0|0|0.0|100
0|2021-11-04|34046.0|0|34537.0|0|276.0|0|0.0|100
0|2021-11-05|34065.0|0|34556.0|0|277.0|0|0.0|100
0|2021-11-06|34065.0|0|34556.0|0|277.0|0|0.0|100
0|2021-11-07|34065.0|0|34556.0|0|277.0|0|0.0|100
0|2021-11-08|34065.0|0|34555.0|0|277.0|0|0.0|100
0|2021-11-09|34150.0|0|34640.0|0|280.0|0|0.0|100
0|2021-11-10|34188.0|0|34678.0|0|280.0|0|0.0|100
