|dates|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Cumberland_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|27225.0|0|27225.0|0|596.0|0|0.0|100
0|2021-10-18|27298.0|0|27298.0|0|599.0|0|0.0|100
0|2021-10-19|27399.0|0|27399.0|0|600.0|0|0.0|100
0|2021-10-20|27484.0|0|27484.0|0|605.0|0|0.0|100
0|2021-10-21|27596.0|0|27596.0|0|608.0|0|0.0|100
0|2021-10-22|27699.0|0|27699.0|0|608.0|0|0.0|100
0|2021-10-23|27803.0|0|27803.0|0|610.0|0|0.0|100
0|2021-10-24|27863.0|0|27863.0|0|611.0|0|0.0|100
0|2021-10-25|27910.0|0|27910.0|0|611.0|0|0.0|100
0|2021-10-26|27961.0|0|27961.0|0|612.0|0|0.0|100
0|2021-10-27|28014.0|0|28014.0|0|617.0|0|0.0|100
0|2021-10-28|28089.0|0|28089.0|0|622.0|0|0.0|100
0|2021-10-29|28161.0|0|28161.0|0|624.0|0|0.0|100
0|2021-10-30|28228.0|0|28228.0|0|624.0|0|0.0|100
0|2021-10-31|28275.0|0|28275.0|0|626.0|0|0.0|100
0|2021-11-01|28275.0|0|28275.0|0|627.0|0|0.0|100
0|2021-11-02|28388.0|0|28388.0|0|629.0|0|0.0|100
0|2021-11-03|28448.0|0|28448.0|0|633.0|0|0.0|100
0|2021-11-04|28548.0|0|28548.0|0|634.0|0|0.0|100
0|2021-11-05|28636.0|0|28636.0|0|634.0|0|0.0|100
0|2021-11-06|28711.0|0|28711.0|0|634.0|0|0.0|100
0|2021-11-07|28778.0|0|28778.0|0|634.0|0|0.0|100
0|2021-11-08|28835.0|0|28835.0|0|634.0|0|0.0|100
0|2021-11-09|28940.0|0|28940.0|0|634.0|0|0.0|100
0|2021-11-10|29021.0|0|29021.0|0|636.0|0|0.0|100
0|2021-11-11|29129.0|0|29129.0|0|637.0|0|0.0|100
0|2021-11-12|29198.0|0|29198.0|0|638.0|0|0.0|100
0|2021-11-13|29712.0|0|29712.0|0|639.0|0|0.0|100
0|2021-11-14|29789.0|0|29789.0|0|640.0|0|0.0|100
0|2021-11-15|29887.0|0|29887.0|0|640.0|0|0.0|100
0|2021-11-16|29993.0|0|29993.0|0|640.0|0|0.0|100
0|2021-11-17|30130.0|0|30130.0|0|643.0|0|0.0|100
0|2021-11-18|30216.0|0|30216.0|0|645.0|0|0.0|100
0|2021-11-19|30321.0|0|30321.0|0|646.0|0|0.0|100
0|2021-11-20|30413.0|0|30413.0|0|646.0|0|0.0|100
0|2021-11-21|30557.0|0|30557.0|0|646.0|0|0.0|100
0|2021-11-22|30639.0|0|30639.0|0|646.0|0|0.0|100
0|2021-11-23|30775.0|0|30775.0|0|648.0|0|0.0|100
0|2021-11-24|30896.0|0|30896.0|0|649.0|0|0.0|100
0|2021-11-25|31017.0|0|31017.0|0|650.0|0|0.0|100
0|2021-11-26|31109.0|0|31109.0|0|650.0|0|0.0|100
0|2021-11-27|31109.0|0|31260.0|0|650.0|0|0.0|100
0|2021-11-28|31357.0|0|31357.0|0|650.0|0|0.0|100
0|2021-11-29|31458.0|0|31458.0|0|650.0|0|0.0|100
0|2021-11-30|31605.0|0|31605.0|0|651.0|0|0.0|100
0|2021-12-01|31775.0|0|31775.0|0|656.0|0|0.0|100
0|2021-12-02|31912.0|0|31912.0|0|661.0|0|0.0|100
0|2021-12-03|32023.0|0|32023.0|0|663.0|0|0.0|100
0|2021-12-04|32203.0|0|32203.0|0|666.0|0|0.0|100
0|2021-12-05|32305.0|0|32305.0|0|666.0|0|0.0|100
0|2021-12-06|32367.0|0|32367.0|0|668.0|0|0.0|100
0|2021-12-07|32506.0|0|32506.0|0|671.0|0|0.0|100
0|2021-12-08|32646.0|0|32646.0|0|671.0|0|0.0|100
0|2021-12-09|32746.0|0|32746.0|0|672.0|0|0.0|100
0|2021-12-10|32924.0|0|32924.0|0|676.0|0|0.0|100
0|2021-12-11|33192.0|0|33192.0|0|678.0|0|0.0|100
0|2021-12-12|33355.0|0|33355.0|0|679.0|0|0.0|100
0|2021-12-13|33491.0|0|33491.0|0|679.0|0|0.0|100
0|2021-12-14|33491.0|0|33647.0|0|679.0|0|0.0|100
0|2021-12-15|33809.0|0|33809.0|0|684.0|0|0.0|100
0|2021-12-16|33963.0|0|33963.0|0|685.0|0|0.0|100
0|2021-12-17|34106.0|0|34106.0|0|685.0|0|0.0|100
0|2021-12-18|34279.0|0|34279.0|0|691.0|0|0.0|100
0|2021-12-19|34436.0|0|34436.0|0|691.0|0|0.0|100
0|2021-12-20|34534.0|0|34534.0|0|691.0|0|0.0|100
0|2021-12-21|34694.0|0|34694.0|0|698.0|0|0.0|100
0|2021-12-22|34977.0|0|34977.0|0|703.0|0|0.0|100
0|2021-12-23|35172.0|0|35172.0|0|707.0|0|0.0|100
0|2021-12-24|35395.0|0|35395.0|0|708.0|0|0.0|100
0|2021-12-25|35585.0|0|35585.0|0|708.0|0|0.0|100
0|2021-12-26|35695.0|0|35695.0|0|708.0|0|0.0|100
0|2021-12-27|35785.0|0|35785.0|0|710.0|0|0.0|100
0|2021-12-28|36077.0|0|36077.0|0|712.0|0|0.0|100
0|2021-12-29|36273.0|0|36273.0|0|719.0|0|0.0|100
0|2021-12-30|36561.0|0|36561.0|0|721.0|0|0.0|100
0|2021-12-31|36898.0|0|36898.0|0|721.0|0|0.0|100
0|2022-01-01|37155.0|0|37155.0|0|721.0|0|0.0|100
0|2022-01-02|37529.0|0|37529.0|0|721.0|0|0.0|100
0|2022-01-03|37805.0|0|37805.0|0|724.0|0|0.0|100
0|2022-01-04|38136.0|0|38136.0|0|729.0|0|0.0|100
0|2022-01-05|38526.0|0|38526.0|0|731.0|0|0.0|100
0|2022-01-06|38917.0|0|38917.0|0|738.0|0|0.0|100
