|dates|Highland_Ohio_UnitedStates.JHU_ConfirmedCases.data|Highland_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Highland_Ohio_UnitedStates.NYT_ConfirmedCases.data|Highland_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Highland_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Highland_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Highland_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Highland_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5885.0|0|5885.0|0|105.0|0|0.0|100
0|2021-10-18|5900.0|0|5900.0|0|105.0|0|0.0|100
0|2021-10-19|5921.0|0|5921.0|0|105.0|0|0.0|100
0|2021-10-20|5946.0|0|5946.0|0|105.0|0|0.0|100
0|2021-10-21|5968.0|0|5968.0|0|105.0|0|0.0|100
0|2021-10-22|5993.0|0|5993.0|0|105.0|0|0.0|100
0|2021-10-23|6004.0|0|6004.0|0|106.0|0|0.0|100
0|2021-10-24|6017.0|0|6017.0|0|107.0|0|0.0|100
0|2021-10-25|6028.0|0|6028.0|0|107.0|0|0.0|100
0|2021-10-26|6043.0|0|6043.0|0|107.0|0|0.0|100
0|2021-10-27|6059.0|0|6059.0|0|107.0|0|0.0|100
0|2021-10-28|6070.0|0|6070.0|0|107.0|0|0.0|100
0|2021-10-29|6088.0|0|6088.0|0|107.0|0|0.0|100
0|2021-10-30|6101.0|0|6101.0|0|107.0|0|0.0|100
0|2021-10-31|6114.0|0|6114.0|0|107.0|0|0.0|100
0|2021-11-01|6124.0|0|6124.0|0|107.0|0|0.0|100
0|2021-11-02|6147.0|0|6147.0|0|107.0|0|0.0|100
0|2021-11-03|6160.0|0|6160.0|0|107.0|0|0.0|100
0|2021-11-04|6175.0|0|6175.0|0|107.0|0|0.0|100
0|2021-11-05|6194.0|0|6194.0|0|107.0|0|0.0|100
0|2021-11-06|6207.0|0|6207.0|0|107.0|0|0.0|100
0|2021-11-07|6220.0|0|6220.0|0|107.0|0|0.0|100
0|2021-11-08|6230.0|0|6230.0|0|107.0|0|0.0|100
0|2021-11-09|6267.0|0|6267.0|0|108.0|0|0.0|100
0|2021-11-10|6267.0|0|6283.0|0|108.0|0|0.0|100
0|2021-11-11|6302.0|0|6302.0|0|108.0|0|0.0|100
0|2021-11-12|6315.0|0|6315.0|0|111.0|0|0.0|100
0|2021-11-13|6328.0|0|6328.0|0|111.0|0|0.0|100
0|2021-11-14|6351.0|0|6351.0|0|111.0|0|0.0|100
0|2021-11-15|6353.0|0|6353.0|0|111.0|0|0.0|100
0|2021-11-16|6377.0|0|6377.0|0|111.0|0|0.0|100
0|2021-11-17|6418.0|0|6418.0|0|111.0|0|0.0|100
0|2021-11-18|6443.0|0|6443.0|0|111.0|0|0.0|100
0|2021-11-19|6459.0|0|6459.0|0|113.0|0|0.0|100
0|2021-11-20|6473.0|0|6473.0|0|113.0|0|0.0|100
0|2021-11-21|6488.0|0|6488.0|0|113.0|0|0.0|100
0|2021-11-22|6511.0|0|6511.0|0|113.0|0|0.0|100
0|2021-11-23|6527.0|0|6527.0|0|117.0|0|0.0|100
0|2021-11-24|6552.0|0|6552.0|0|117.0|0|0.0|100
0|2021-11-25|6552.0|0|6552.0|0|117.0|0|0.0|100
0|2021-11-26|6578.0|0|6578.0|0|117.0|0|0.0|100
0|2021-11-27|6591.0|0|6591.0|0|117.0|0|0.0|100
0|2021-11-28|6608.0|0|6608.0|0|117.0|0|0.0|100
0|2021-11-29|6615.0|0|6615.0|0|117.0|0|0.0|100
0|2021-11-30|6659.0|0|6659.0|0|119.0|0|0.0|100
0|2021-12-01|6693.0|0|6693.0|0|119.0|0|0.0|100
0|2021-12-02|6718.0|0|6718.0|0|119.0|0|0.0|100
0|2021-12-03|6718.0|0|6745.0|0|119.0|0|0.0|100
0|2021-12-04|6774.0|0|6774.0|0|120.0|0|0.0|100
0|2021-12-05|6807.0|0|6807.0|0|120.0|0|0.0|100
0|2021-12-06|6822.0|0|6822.0|0|120.0|0|0.0|100
0|2021-12-07|6851.0|0|6851.0|0|122.0|0|0.0|100
0|2021-12-08|6885.0|0|6885.0|0|122.0|0|0.0|100
0|2021-12-09|6913.0|0|6913.0|0|122.0|0|0.0|100
0|2021-12-10|6947.0|0|6947.0|0|122.0|0|0.0|100
0|2021-12-11|6967.0|0|6967.0|0|122.0|0|0.0|100
0|2021-12-12|6985.0|0|6985.0|0|122.0|0|0.0|100
0|2021-12-13|6999.0|0|6999.0|0|122.0|0|0.0|100
0|2021-12-14|6999.0|0|7020.0|0|122.0|0|0.0|100
0|2021-12-15|7050.0|0|7050.0|0|125.0|0|0.0|100
0|2021-12-16|7107.0|0|7107.0|0|125.0|0|0.0|100
0|2021-12-17|7143.0|0|7143.0|0|128.0|0|0.0|100
0|2021-12-18|7153.0|0|7153.0|0|128.0|0|0.0|100
0|2021-12-19|7185.0|0|7185.0|0|128.0|0|0.0|100
0|2021-12-20|7204.0|0|7204.0|0|128.0|0|0.0|100
0|2021-12-21|7240.0|0|7240.0|0|129.0|0|0.0|100
0|2021-12-22|7268.0|0|7268.0|0|129.0|0|0.0|100
0|2021-12-23|7303.0|0|7303.0|0|129.0|0|0.0|100
0|2021-12-24|7326.0|0|7326.0|0|130.0|0|0.0|100
0|2021-12-25|7326.0|0|7326.0|0|130.0|0|0.0|100
0|2021-12-26|7369.0|0|7369.0|0|130.0|0|0.0|100
0|2021-12-27|7386.0|0|7386.0|0|130.0|0|0.0|100
0|2021-12-28|7429.0|0|7429.0|0|130.0|0|0.0|100
0|2021-12-29|7478.0|0|7478.0|0|130.0|0|0.0|100
0|2021-12-30|7562.0|0|7562.0|0|130.0|0|0.0|100
0|2021-12-31|7612.0|0|7612.0|0|137.0|0|0.0|100
0|2022-01-01|7612.0|0|7612.0|0|137.0|0|0.0|100
0|2022-01-02|7681.0|0|7681.0|0|137.0|0|0.0|100
0|2022-01-03|7750.0|0|7750.0|0|137.0|0|0.0|100
0|2022-01-04|7827.0|0|7827.0|0|137.0|0|0.0|100
0|2022-01-05|7908.0|0|7908.0|0|137.0|0|0.0|100
0|2022-01-06|7957.0|0|7957.0|0|137.0|0|0.0|100
0|2022-01-07|8010.0|0|8010.0|0|138.0|0|0.0|100
0|2022-01-08|8065.0|0|8065.0|0|138.0|0|0.0|100
0|2022-01-09|8094.0|0|8094.0|0|138.0|0|0.0|100
0|2022-01-10|8152.0|0|8152.0|0|138.0|0|0.0|100
0|2022-01-11|8224.0|0|8224.0|0|142.0|0|0.0|100
0|2022-01-12|8292.0|0|8292.0|0|142.0|0|0.0|100
0|2022-01-13|8292.0|0|8433.0|0|142.0|0|0.0|100
0|2022-01-14|8627.0|0|8627.0|0|143.0|0|0.0|100
0|2022-01-15|8872.0|0|8872.0|0|143.0|0|0.0|100
0|2022-01-16|8973.0|0|8973.0|0|143.0|0|0.0|100
0|2022-01-17|9035.0|0|0.0|100|143.0|0|0.0|100
