|dates|Throckmorton_Texas_UnitedStates.JHU_ConfirmedCases.data|Throckmorton_Texas_UnitedStates.JHU_ConfirmedCases.missing|Throckmorton_Texas_UnitedStates.NYT_ConfirmedCases.data|Throckmorton_Texas_UnitedStates.NYT_ConfirmedCases.missing|Throckmorton_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Throckmorton_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Throckmorton_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Throckmorton_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-01|143.0|0|143.0|0|7.0|0|0.0|100
0|2022-01-02|143.0|0|143.0|0|7.0|0|0.0|100
0|2022-01-03|155.0|0|155.0|0|7.0|0|0.0|100
0|2022-01-04|157.0|0|157.0|0|7.0|0|0.0|100
0|2022-01-05|158.0|0|158.0|0|7.0|0|0.0|100
0|2022-01-06|158.0|0|158.0|0|7.0|0|0.0|100
0|2022-01-07|158.0|0|158.0|0|7.0|0|0.0|100
0|2022-01-08|169.0|0|169.0|0|7.0|0|0.0|100
0|2022-01-09|169.0|0|169.0|0|7.0|0|0.0|100
0|2022-01-10|171.0|0|171.0|0|7.0|0|0.0|100
0|2022-01-11|171.0|0|171.0|0|7.0|0|0.0|100
0|2022-01-12|173.0|0|173.0|0|7.0|0|0.0|100
0|2022-01-13|173.0|0|174.0|0|7.0|0|0.0|100
0|2022-01-14|174.0|0|174.0|0|7.0|0|0.0|100
0|2022-01-15|174.0|0|174.0|0|7.0|0|0.0|100
0|2022-01-16|175.0|0|175.0|0|7.0|0|0.0|100
0|2022-01-17|175.0|0|0.0|100|7.0|0|0.0|100
