|dates|Muscogee_Georgia_UnitedStates.JHU_ConfirmedCases.data|Muscogee_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Muscogee_Georgia_UnitedStates.NYT_ConfirmedCases.data|Muscogee_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Muscogee_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Muscogee_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Muscogee_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Muscogee_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23666.0|0|23721.0|0|606.0|0|0.0|100
0|2021-10-18|23729.0|0|23786.0|0|609.0|0|0.0|100
0|2021-10-19|23769.0|0|23826.0|0|612.0|0|0.0|100
0|2021-10-20|23831.0|0|23888.0|0|614.0|0|0.0|100
0|2021-10-21|23872.0|0|23929.0|0|615.0|0|0.0|100
0|2021-10-22|23891.0|0|23948.0|0|619.0|0|0.0|100
0|2021-10-23|23891.0|0|23948.0|0|619.0|0|0.0|100
0|2021-10-24|23891.0|0|23948.0|0|619.0|0|0.0|100
0|2021-10-25|23942.0|0|24001.0|0|625.0|0|0.0|100
0|2021-10-26|23971.0|0|24030.0|0|627.0|0|0.0|100
0|2021-10-27|24079.0|0|24138.0|0|627.0|0|0.0|100
0|2021-10-28|24094.0|0|24153.0|0|628.0|0|0.0|100
0|2021-10-29|24102.0|0|24161.0|0|631.0|0|0.0|100
0|2021-10-30|24102.0|0|24161.0|0|631.0|0|0.0|100
0|2021-10-31|24102.0|0|24161.0|0|631.0|0|0.0|100
0|2021-11-01|24132.0|0|24192.0|0|634.0|0|0.0|100
0|2021-11-02|24166.0|0|24226.0|0|637.0|0|0.0|100
0|2021-11-03|24194.0|0|24254.0|0|639.0|0|0.0|100
0|2021-11-04|24208.0|0|24268.0|0|641.0|0|0.0|100
0|2021-11-05|24224.0|0|24284.0|0|641.0|0|0.0|100
0|2021-11-06|24224.0|0|24284.0|0|641.0|0|0.0|100
0|2021-11-07|24224.0|0|24284.0|0|641.0|0|0.0|100
0|2021-11-08|24224.0|0|24285.0|0|641.0|0|0.0|100
0|2021-11-09|24267.0|0|24328.0|0|644.0|0|0.0|100
0|2021-11-10|24267.0|0|24339.0|0|644.0|0|0.0|100
0|2021-11-11|24278.0|0|24339.0|0|648.0|0|0.0|100
0|2021-11-12|24303.0|0|24364.0|0|649.0|0|0.0|100
0|2021-11-13|24303.0|0|24364.0|0|649.0|0|0.0|100
0|2021-11-14|24303.0|0|24364.0|0|649.0|0|0.0|100
0|2021-11-15|24340.0|0|24402.0|0|649.0|0|0.0|100
0|2021-11-16|24366.0|0|24428.0|0|651.0|0|0.0|100
0|2021-11-17|24387.0|0|24449.0|0|654.0|0|0.0|100
0|2021-11-18|24405.0|0|24467.0|0|654.0|0|0.0|100
0|2021-11-19|24426.0|0|24488.0|0|657.0|0|0.0|100
0|2021-11-20|24426.0|0|24488.0|0|657.0|0|0.0|100
0|2021-11-21|24426.0|0|24488.0|0|657.0|0|0.0|100
0|2021-11-22|24480.0|0|24538.0|0|661.0|0|0.0|100
0|2021-11-23|24496.0|0|24554.0|0|662.0|0|0.0|100
0|2021-11-24|24515.0|0|24573.0|0|662.0|0|0.0|100
0|2021-11-25|24515.0|0|24573.0|0|662.0|0|0.0|100
0|2021-11-26|24515.0|0|24573.0|0|662.0|0|0.0|100
0|2021-11-27|24515.0|0|24573.0|0|662.0|0|0.0|100
0|2021-11-28|24515.0|0|24573.0|0|662.0|0|0.0|100
0|2021-11-29|24564.0|0|24622.0|0|666.0|0|0.0|100
0|2021-11-30|24596.0|0|24654.0|0|666.0|0|0.0|100
0|2021-12-01|24623.0|0|24681.0|0|667.0|0|0.0|100
0|2021-12-02|24623.0|0|24693.0|0|667.0|0|0.0|100
