|dates|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedCases.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Tuscaloosa_Alabama_UnitedStates.NYT_ConfirmedCases.data|Tuscaloosa_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|36914.0|0|36914.0|0|652.0|0|0.0|100
0|2021-12-28|37043.0|0|37043.0|0|653.0|0|0.0|100
0|2021-12-29|37227.0|0|37227.0|0|655.0|0|0.0|100
0|2021-12-30|37476.0|0|37476.0|0|655.0|0|0.0|100
0|2021-12-31|37677.0|0|37677.0|0|655.0|0|0.0|100
0|2022-01-01|37677.0|0|37677.0|0|655.0|0|0.0|100
0|2022-01-02|38186.0|0|38186.0|0|655.0|0|0.0|100
0|2022-01-03|38349.0|0|38349.0|0|655.0|0|0.0|100
0|2022-01-04|38532.0|0|38532.0|0|656.0|0|0.0|100
0|2022-01-05|38986.0|0|38986.0|0|656.0|0|0.0|100
0|2022-01-06|39371.0|0|39371.0|0|664.0|0|0.0|100
0|2022-01-07|40060.0|0|40060.0|0|665.0|0|0.0|100
0|2022-01-08|40326.0|0|40326.0|0|666.0|0|0.0|100
0|2022-01-09|40948.0|0|40948.0|0|666.0|0|0.0|100
0|2022-01-10|41162.0|0|41162.0|0|666.0|0|0.0|100
0|2022-01-11|41502.0|0|41502.0|0|666.0|0|0.0|100
0|2022-01-12|42127.0|0|42127.0|0|667.0|0|0.0|100
0|2022-01-13|42127.0|0|42127.0|0|667.0|0|0.0|100
0|2022-01-14|42127.0|0|42127.0|0|667.0|0|0.0|100
0|2022-01-15|42127.0|0|42127.0|0|667.0|0|0.0|100
0|2022-01-16|44728.0|0|44728.0|0|671.0|0|0.0|100
0|2022-01-17|45186.0|0|0.0|100|671.0|0|0.0|100
