|dates|Estill_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Estill_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Estill_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Estill_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Estill_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Estill_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Estill_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Estill_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2172.0|0|2172.0|0|12.0|0|0.0|100
0|2021-10-18|2183.0|0|2183.0|0|12.0|0|0.0|100
0|2021-10-19|2185.0|0|2185.0|0|12.0|0|0.0|100
0|2021-10-20|2201.0|0|2201.0|0|12.0|0|0.0|100
0|2021-10-21|2208.0|0|2208.0|0|12.0|0|0.0|100
0|2021-10-22|2215.0|0|2215.0|0|12.0|0|0.0|100
0|2021-10-23|2215.0|0|2215.0|0|12.0|0|0.0|100
0|2021-10-24|2215.0|0|2215.0|0|12.0|0|0.0|100
0|2021-10-25|2218.0|0|2218.0|0|12.0|0|0.0|100
0|2021-10-26|2219.0|0|2219.0|0|12.0|0|0.0|100
0|2021-10-27|2227.0|0|2227.0|0|12.0|0|0.0|100
0|2021-10-28|2231.0|0|2231.0|0|12.0|0|0.0|100
0|2021-10-29|2234.0|0|2234.0|0|12.0|0|0.0|100
0|2021-10-30|2234.0|0|2234.0|0|12.0|0|0.0|100
0|2021-10-31|2234.0|0|2234.0|0|12.0|0|0.0|100
0|2021-11-01|2250.0|0|2250.0|0|12.0|0|0.0|100
0|2021-11-02|2252.0|0|2252.0|0|12.0|0|0.0|100
0|2021-11-03|2258.0|0|2258.0|0|12.0|0|0.0|100
0|2021-11-04|2260.0|0|2260.0|0|12.0|0|0.0|100
0|2021-11-05|2261.0|0|2261.0|0|12.0|0|0.0|100
0|2021-11-06|2261.0|0|2261.0|0|12.0|0|0.0|100
0|2021-11-07|2261.0|0|2261.0|0|12.0|0|0.0|100
0|2021-11-08|2268.0|0|2268.0|0|12.0|0|0.0|100
0|2021-11-09|2276.0|0|2276.0|0|12.0|0|0.0|100
0|2021-11-10|2276.0|0|2283.0|0|12.0|0|0.0|100
0|2021-11-11|2283.0|0|2283.0|0|12.0|0|0.0|100
0|2021-11-12|2296.0|0|2296.0|0|14.0|0|0.0|100
0|2021-11-13|2296.0|0|2296.0|0|14.0|0|0.0|100
0|2021-11-14|2296.0|0|2296.0|0|14.0|0|0.0|100
0|2021-11-15|2305.0|0|2305.0|0|14.0|0|0.0|100
0|2021-11-16|2308.0|0|2308.0|0|14.0|0|0.0|100
0|2021-11-17|2311.0|0|2311.0|0|14.0|0|0.0|100
0|2021-11-18|2313.0|0|2313.0|0|14.0|0|0.0|100
0|2021-11-19|2318.0|0|2318.0|0|16.0|0|0.0|100
0|2021-11-20|2318.0|0|2318.0|0|16.0|0|0.0|100
0|2021-11-21|2318.0|0|2318.0|0|16.0|0|0.0|100
0|2021-11-22|2333.0|0|2333.0|0|18.0|0|0.0|100
0|2021-11-23|2338.0|0|2338.0|0|19.0|0|0.0|100
0|2021-11-24|2352.0|0|2352.0|0|20.0|0|0.0|100
0|2021-11-25|2352.0|0|2352.0|0|20.0|0|0.0|100
0|2021-11-26|2352.0|0|2352.0|0|20.0|0|0.0|100
0|2021-11-27|2352.0|0|2352.0|0|20.0|0|0.0|100
