|dates|Bamberg_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Bamberg_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Bamberg_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Bamberg_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Bamberg_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Bamberg_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Bamberg_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Bamberg_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2125.0|0|2125.0|0|63.0|0|0.0|100
0|2021-10-18|2131.0|0|2131.0|0|63.0|0|0.0|100
0|2021-10-19|2132.0|0|2132.0|0|63.0|0|0.0|100
0|2021-10-20|2137.0|0|2137.0|0|63.0|0|0.0|100
0|2021-10-21|2141.0|0|2141.0|0|63.0|0|0.0|100
0|2021-10-22|2143.0|0|2143.0|0|63.0|0|0.0|100
0|2021-10-23|2143.0|0|2143.0|0|63.0|0|0.0|100
0|2021-10-24|2143.0|0|2143.0|0|63.0|0|0.0|100
0|2021-10-25|2150.0|0|2150.0|0|63.0|0|0.0|100
0|2021-10-26|2153.0|0|2153.0|0|63.0|0|0.0|100
0|2021-10-27|2155.0|0|2155.0|0|63.0|0|0.0|100
0|2021-10-28|2156.0|0|2156.0|0|63.0|0|0.0|100
0|2021-10-29|2158.0|0|2158.0|0|63.0|0|0.0|100
0|2021-10-30|2158.0|0|2158.0|0|63.0|0|0.0|100
0|2021-10-31|2158.0|0|2158.0|0|63.0|0|0.0|100
0|2021-11-01|2163.0|0|2163.0|0|63.0|0|0.0|100
0|2021-11-02|2163.0|0|2163.0|0|63.0|0|0.0|100
0|2021-11-03|2165.0|0|2165.0|0|63.0|0|0.0|100
0|2021-11-04|2165.0|0|2165.0|0|63.0|0|0.0|100
0|2021-11-05|2166.0|0|2166.0|0|63.0|0|0.0|100
0|2021-11-06|2166.0|0|2166.0|0|63.0|0|0.0|100
0|2021-11-07|2166.0|0|2166.0|0|63.0|0|0.0|100
0|2021-11-08|2167.0|0|2167.0|0|63.0|0|0.0|100
0|2021-11-09|2167.0|0|2167.0|0|63.0|0|0.0|100
0|2021-11-10|2168.0|0|2168.0|0|63.0|0|0.0|100
0|2021-11-11|2168.0|0|2168.0|0|63.0|0|0.0|100
0|2021-11-12|2170.0|0|2170.0|0|63.0|0|0.0|100
0|2021-11-13|2170.0|0|2170.0|0|63.0|0|0.0|100
0|2021-11-14|2170.0|0|2170.0|0|63.0|0|0.0|100
0|2021-11-15|2175.0|0|2175.0|0|63.0|0|0.0|100
0|2021-11-16|2175.0|0|2175.0|0|63.0|0|0.0|100
0|2021-11-17|2175.0|0|2175.0|0|63.0|0|0.0|100
0|2021-11-18|2175.0|0|2175.0|0|63.0|0|0.0|100
0|2021-11-19|2177.0|0|2177.0|0|63.0|0|0.0|100
0|2021-11-20|2177.0|0|2177.0|0|63.0|0|0.0|100
0|2021-11-21|2177.0|0|2177.0|0|63.0|0|0.0|100
0|2021-11-22|2177.0|0|2177.0|0|63.0|0|0.0|100
0|2021-11-23|2177.0|0|2177.0|0|63.0|0|0.0|100
0|2021-11-24|2178.0|0|2178.0|0|63.0|0|0.0|100
0|2021-11-25|2178.0|0|2178.0|0|63.0|0|0.0|100
0|2021-11-26|2180.0|0|2180.0|0|63.0|0|0.0|100
0|2021-11-27|2180.0|0|2180.0|0|63.0|0|0.0|100
0|2021-11-28|2180.0|0|2180.0|0|63.0|0|0.0|100
0|2021-11-29|2180.0|0|2180.0|0|63.0|0|0.0|100
