|dates|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedCases.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|St.Francis_Arkansas_UnitedStates.NYT_ConfirmedCases.data|St.Francis_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4774.0|0|4774.0|0|66.0|0|0.0|100
0|2021-10-18|4776.0|0|4776.0|0|66.0|0|0.0|100
0|2021-10-19|4782.0|0|4782.0|0|66.0|0|0.0|100
0|2021-10-20|4785.0|0|4785.0|0|66.0|0|0.0|100
0|2021-10-21|4787.0|0|4787.0|0|66.0|0|0.0|100
0|2021-10-22|4796.0|0|4796.0|0|67.0|0|0.0|100
0|2021-10-23|4804.0|0|4804.0|0|67.0|0|0.0|100
0|2021-10-24|4806.0|0|4806.0|0|67.0|0|0.0|100
0|2021-10-25|4807.0|0|4807.0|0|67.0|0|0.0|100
0|2021-10-26|4807.0|0|4807.0|0|67.0|0|0.0|100
0|2021-10-27|4813.0|0|4813.0|0|67.0|0|0.0|100
0|2021-10-28|4817.0|0|4817.0|0|67.0|0|0.0|100
0|2021-10-29|4821.0|0|4821.0|0|67.0|0|0.0|100
0|2021-10-30|4824.0|0|4824.0|0|67.0|0|0.0|100
0|2021-10-31|4825.0|0|4825.0|0|67.0|0|0.0|100
0|2021-11-01|4825.0|0|4825.0|0|67.0|0|0.0|100
0|2021-11-02|4827.0|0|4827.0|0|67.0|0|0.0|100
0|2021-11-03|4832.0|0|4832.0|0|67.0|0|0.0|100
0|2021-11-04|4837.0|0|4837.0|0|67.0|0|0.0|100
0|2021-11-05|4838.0|0|4838.0|0|67.0|0|0.0|100
0|2021-11-06|4839.0|0|4839.0|0|67.0|0|0.0|100
0|2021-11-07|4857.0|0|4857.0|0|68.0|0|0.0|100
0|2021-11-08|4857.0|0|4858.0|0|68.0|0|0.0|100
0|2021-11-09|4859.0|0|4859.0|0|69.0|0|0.0|100
0|2021-11-10|4859.0|0|4861.0|0|69.0|0|0.0|100
0|2021-11-11|4863.0|0|4863.0|0|69.0|0|0.0|100
0|2021-11-12|4863.0|0|4863.0|0|69.0|0|0.0|100
0|2021-11-13|4865.0|0|4865.0|0|69.0|0|0.0|100
0|2021-11-14|4865.0|0|4865.0|0|69.0|0|0.0|100
0|2021-11-15|4865.0|0|4865.0|0|69.0|0|0.0|100
0|2021-11-16|4865.0|0|4865.0|0|69.0|0|0.0|100
0|2021-11-17|4866.0|0|4866.0|0|69.0|0|0.0|100
0|2021-11-18|4866.0|0|4866.0|0|69.0|0|0.0|100
0|2021-11-19|4868.0|0|4868.0|0|69.0|0|0.0|100
0|2021-11-20|4869.0|0|4869.0|0|69.0|0|0.0|100
0|2021-11-21|4873.0|0|4873.0|0|69.0|0|0.0|100
0|2021-11-22|4873.0|0|4873.0|0|69.0|0|0.0|100
0|2021-11-23|4877.0|0|4877.0|0|69.0|0|0.0|100
0|2021-11-24|4878.0|0|4878.0|0|69.0|0|0.0|100
0|2021-11-25|4878.0|0|4878.0|0|69.0|0|0.0|100
0|2021-11-26|4878.0|0|4878.0|0|69.0|0|0.0|100
0|2021-11-27|4880.0|0|4880.0|0|69.0|0|0.0|100
0|2021-11-28|4881.0|0|4881.0|0|69.0|0|0.0|100
0|2021-11-29|4883.0|0|4883.0|0|69.0|0|0.0|100
0|2021-11-30|4883.0|0|4884.0|0|69.0|0|0.0|100
0|2021-12-01|4885.0|0|4885.0|0|69.0|0|0.0|100
0|2021-12-02|4892.0|0|4892.0|0|69.0|0|0.0|100
0|2021-12-03|4894.0|0|4894.0|0|69.0|0|0.0|100
0|2021-12-04|4899.0|0|4899.0|0|70.0|0|0.0|100
0|2021-12-05|4901.0|0|4901.0|0|70.0|0|0.0|100
0|2021-12-06|4902.0|0|4902.0|0|70.0|0|0.0|100
0|2021-12-07|4908.0|0|4908.0|0|70.0|0|0.0|100
0|2021-12-08|4912.0|0|4912.0|0|70.0|0|0.0|100
0|2021-12-09|4913.0|0|4913.0|0|70.0|0|0.0|100
0|2021-12-10|4917.0|0|4917.0|0|71.0|0|0.0|100
0|2021-12-11|4923.0|0|4923.0|0|71.0|0|0.0|100
0|2021-12-12|4926.0|0|4926.0|0|71.0|0|0.0|100
0|2021-12-13|4927.0|0|4927.0|0|71.0|0|0.0|100
0|2021-12-14|4927.0|0|4931.0|0|71.0|0|0.0|100
0|2021-12-15|4944.0|0|4944.0|0|72.0|0|0.0|100
0|2021-12-16|4949.0|0|4949.0|0|72.0|0|0.0|100
0|2021-12-17|4957.0|0|4957.0|0|72.0|0|0.0|100
0|2021-12-18|4959.0|0|4959.0|0|72.0|0|0.0|100
0|2021-12-19|4961.0|0|4961.0|0|72.0|0|0.0|100
0|2021-12-20|4964.0|0|4964.0|0|72.0|0|0.0|100
0|2021-12-21|4963.0|0|4963.0|0|72.0|0|0.0|100
