|dates|Scott_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Scott_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Scott_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Scott_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Scott_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|21316.0|0|21316.0|0|159.0|0|0.0|100
0|2021-10-18|21359.0|0|21359.0|0|159.0|0|0.0|100
0|2021-10-19|21503.0|0|21503.0|0|159.0|0|0.0|100
0|2021-10-20|21556.0|0|21556.0|0|160.0|0|0.0|100
0|2021-10-21|21603.0|0|21603.0|0|160.0|0|0.0|100
0|2021-10-22|21652.0|0|21652.0|0|160.0|0|0.0|100
0|2021-10-23|21652.0|0|21652.0|0|160.0|0|0.0|100
0|2021-10-24|21652.0|0|21652.0|0|160.0|0|0.0|100
0|2021-10-25|21689.0|0|21689.0|0|160.0|0|0.0|100
0|2021-10-26|21836.0|0|21836.0|0|160.0|0|0.0|100
0|2021-10-27|21880.0|0|21880.0|0|162.0|0|0.0|100
0|2021-10-28|21946.0|0|21946.0|0|162.0|0|0.0|100
0|2021-10-29|22057.0|0|22057.0|0|162.0|0|0.0|100
0|2021-10-30|22057.0|0|22057.0|0|162.0|0|0.0|100
0|2021-10-31|22057.0|0|22057.0|0|162.0|0|0.0|100
0|2021-11-01|22301.0|0|22301.0|0|162.0|0|0.0|100
0|2021-11-02|22476.0|0|22476.0|0|162.0|0|0.0|100
0|2021-11-03|22550.0|0|22550.0|0|163.0|0|0.0|100
0|2021-11-04|22645.0|0|22645.0|0|163.0|0|0.0|100
0|2021-11-05|22716.0|0|22716.0|0|163.0|0|0.0|100
0|2021-11-06|22716.0|0|22716.0|0|163.0|0|0.0|100
0|2021-11-07|22716.0|0|22716.0|0|163.0|0|0.0|100
0|2021-11-08|22861.0|0|22861.0|0|164.0|0|0.0|100
0|2021-11-09|23056.0|0|23056.0|0|165.0|0|0.0|100
0|2021-11-10|23056.0|0|23234.0|0|165.0|0|0.0|100
0|2021-11-11|23388.0|0|23388.0|0|168.0|0|0.0|100
0|2021-11-12|23509.0|0|23509.0|0|168.0|0|0.0|100
0|2021-11-13|23509.0|0|23509.0|0|168.0|0|0.0|100
0|2021-11-14|23509.0|0|23509.0|0|168.0|0|0.0|100
0|2021-11-15|23680.0|0|23680.0|0|168.0|0|0.0|100
0|2021-11-16|24077.0|0|24077.0|0|171.0|0|0.0|100
0|2021-11-17|24204.0|0|24204.0|0|173.0|0|0.0|100
0|2021-11-18|24377.0|0|24377.0|0|175.0|0|0.0|100
0|2021-11-19|24533.0|0|24533.0|0|175.0|0|0.0|100
0|2021-11-20|24533.0|0|24533.0|0|175.0|0|0.0|100
0|2021-11-21|24533.0|0|24533.0|0|175.0|0|0.0|100
0|2021-11-22|24685.0|0|24685.0|0|177.0|0|0.0|100
0|2021-11-23|25041.0|0|25041.0|0|179.0|0|0.0|100
0|2021-11-24|25213.0|0|25213.0|0|181.0|0|0.0|100
0|2021-11-25|25213.0|0|25213.0|0|181.0|0|0.0|100
0|2021-11-26|25329.0|0|25329.0|0|181.0|0|0.0|100
0|2021-11-27|25329.0|0|25329.0|0|181.0|0|0.0|100
0|2021-11-28|25329.0|0|25329.0|0|181.0|0|0.0|100
0|2021-11-29|25438.0|0|25438.0|0|181.0|0|0.0|100
0|2021-11-30|25842.0|0|25842.0|0|181.0|0|0.0|100
0|2021-12-01|25994.0|0|25994.0|0|186.0|0|0.0|100
0|2021-12-02|25994.0|0|26116.0|0|186.0|0|0.0|100
0|2021-12-03|26281.0|0|26281.0|0|188.0|0|0.0|100
0|2021-12-04|26281.0|0|26281.0|0|188.0|0|0.0|100
0|2021-12-05|26281.0|0|26281.0|0|188.0|0|0.0|100
0|2021-12-06|26479.0|0|26479.0|0|189.0|0|0.0|100
0|2021-12-07|26894.0|0|26894.0|0|189.0|0|0.0|100
0|2021-12-08|27004.0|0|27004.0|0|192.0|0|0.0|100
0|2021-12-09|27091.0|0|27091.0|0|192.0|0|0.0|100
0|2021-12-10|27226.0|0|27226.0|0|193.0|0|0.0|100
0|2021-12-11|27226.0|0|27226.0|0|193.0|0|0.0|100
0|2021-12-12|27226.0|0|27226.0|0|193.0|0|0.0|100
0|2021-12-13|27323.0|0|27323.0|0|195.0|0|0.0|100
0|2021-12-14|27323.0|0|27610.0|0|195.0|0|0.0|100
0|2021-12-15|27689.0|0|27689.0|0|197.0|0|0.0|100
0|2021-12-16|27784.0|0|27784.0|0|198.0|0|0.0|100
0|2021-12-17|27880.0|0|27880.0|0|200.0|0|0.0|100
0|2021-12-18|27880.0|0|27880.0|0|200.0|0|0.0|100
