|dates|Ashley_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Ashley_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Ashley_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Ashley_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Ashley_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Ashley_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Ashley_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Ashley_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3150.0|0|3150.0|0|48.0|0|0.0|100
0|2021-10-18|3150.0|0|3150.0|0|48.0|0|0.0|100
0|2021-10-19|3150.0|0|3150.0|0|48.0|0|0.0|100
0|2021-10-20|3153.0|0|3153.0|0|48.0|0|0.0|100
0|2021-10-21|3157.0|0|3157.0|0|48.0|0|0.0|100
0|2021-10-22|3160.0|0|3160.0|0|48.0|0|0.0|100
0|2021-10-23|3160.0|0|3160.0|0|48.0|0|0.0|100
0|2021-10-24|3161.0|0|3161.0|0|48.0|0|0.0|100
0|2021-10-25|3161.0|0|3161.0|0|48.0|0|0.0|100
0|2021-10-26|3165.0|0|3165.0|0|48.0|0|0.0|100
0|2021-10-27|3171.0|0|3171.0|0|48.0|0|0.0|100
0|2021-10-28|3172.0|0|3172.0|0|48.0|0|0.0|100
0|2021-10-29|3173.0|0|3173.0|0|49.0|0|0.0|100
0|2021-10-30|3175.0|0|3175.0|0|50.0|0|0.0|100
0|2021-10-31|3178.0|0|3178.0|0|50.0|0|0.0|100
0|2021-11-01|3180.0|0|3180.0|0|50.0|0|0.0|100
0|2021-11-02|3183.0|0|3183.0|0|50.0|0|0.0|100
0|2021-11-03|3187.0|0|3187.0|0|50.0|0|0.0|100
0|2021-11-04|3188.0|0|3188.0|0|50.0|0|0.0|100
0|2021-11-05|3194.0|0|3194.0|0|50.0|0|0.0|100
0|2021-11-06|3197.0|0|3197.0|0|50.0|0|0.0|100
0|2021-11-07|3198.0|0|3198.0|0|50.0|0|0.0|100
0|2021-11-08|3198.0|0|3198.0|0|50.0|0|0.0|100
0|2021-11-09|3200.0|0|3200.0|0|50.0|0|0.0|100
0|2021-11-10|3200.0|0|3203.0|0|50.0|0|0.0|100
0|2021-11-11|3207.0|0|3207.0|0|50.0|0|0.0|100
0|2021-11-12|3209.0|0|3209.0|0|50.0|0|0.0|100
0|2021-11-13|3209.0|0|3209.0|0|50.0|0|0.0|100
0|2021-11-14|3209.0|0|3209.0|0|50.0|0|0.0|100
0|2021-11-15|3209.0|0|3209.0|0|50.0|0|0.0|100
0|2021-11-16|3212.0|0|3212.0|0|50.0|0|0.0|100
0|2021-11-17|3212.0|0|3212.0|0|50.0|0|0.0|100
0|2021-11-18|3213.0|0|3213.0|0|50.0|0|0.0|100
0|2021-11-19|3214.0|0|3214.0|0|50.0|0|0.0|100
0|2021-11-20|3215.0|0|3215.0|0|50.0|0|0.0|100
0|2021-11-21|3215.0|0|3215.0|0|50.0|0|0.0|100
0|2021-11-22|3216.0|0|3216.0|0|50.0|0|0.0|100
0|2021-11-23|3219.0|0|3219.0|0|49.0|0|0.0|100
0|2021-11-24|3219.0|0|3219.0|0|49.0|0|0.0|100
0|2021-11-25|3221.0|0|3221.0|0|49.0|0|0.0|100
0|2021-11-26|3221.0|0|3221.0|0|49.0|0|0.0|100
0|2021-11-27|3221.0|0|3221.0|0|49.0|0|0.0|100
0|2021-11-28|3222.0|0|3222.0|0|49.0|0|0.0|100
0|2021-11-29|3222.0|0|3222.0|0|49.0|0|0.0|100
0|2021-11-30|3222.0|0|3225.0|0|49.0|0|0.0|100
0|2021-12-01|3231.0|0|3231.0|0|50.0|0|0.0|100
0|2021-12-02|3233.0|0|3233.0|0|50.0|0|0.0|100
0|2021-12-03|3236.0|0|3236.0|0|51.0|0|0.0|100
0|2021-12-04|3240.0|0|3240.0|0|51.0|0|0.0|100
0|2021-12-05|3241.0|0|3241.0|0|51.0|0|0.0|100
0|2021-12-06|3241.0|0|3241.0|0|51.0|0|0.0|100
0|2021-12-07|3245.0|0|3245.0|0|51.0|0|0.0|100
0|2021-12-08|3246.0|0|3246.0|0|51.0|0|0.0|100
0|2021-12-09|3249.0|0|3249.0|0|51.0|0|0.0|100
0|2021-12-10|3257.0|0|3257.0|0|51.0|0|0.0|100
0|2021-12-11|3261.0|0|3261.0|0|51.0|0|0.0|100
0|2021-12-12|3261.0|0|3261.0|0|51.0|0|0.0|100
0|2021-12-13|3261.0|0|3261.0|0|51.0|0|0.0|100
0|2021-12-14|3261.0|0|3265.0|0|51.0|0|0.0|100
0|2021-12-15|3269.0|0|3269.0|0|52.0|0|0.0|100
0|2021-12-16|3271.0|0|3271.0|0|52.0|0|0.0|100
0|2021-12-17|3277.0|0|3277.0|0|53.0|0|0.0|100
0|2021-12-18|3282.0|0|3282.0|0|53.0|0|0.0|100
0|2021-12-19|3282.0|0|3282.0|0|53.0|0|0.0|100
0|2021-12-20|3282.0|0|3282.0|0|53.0|0|0.0|100
0|2021-12-21|3286.0|0|3286.0|0|53.0|0|0.0|100
0|2021-12-22|3294.0|0|3294.0|0|53.0|0|0.0|100
0|2021-12-23|3304.0|0|3304.0|0|53.0|0|0.0|100
0|2021-12-24|3307.0|0|3307.0|0|53.0|0|0.0|100
0|2021-12-25|3307.0|0|3307.0|0|53.0|0|0.0|100
0|2021-12-26|3308.0|0|3308.0|0|54.0|0|0.0|100
0|2021-12-27|3309.0|0|3309.0|0|55.0|0|0.0|100
0|2021-12-28|3329.0|0|3329.0|0|55.0|0|0.0|100
0|2021-12-29|3345.0|0|3345.0|0|55.0|0|0.0|100
0|2021-12-30|3364.0|0|3364.0|0|55.0|0|0.0|100
0|2021-12-31|3390.0|0|3390.0|0|55.0|0|0.0|100
0|2022-01-01|3393.0|0|3393.0|0|55.0|0|0.0|100
0|2022-01-02|3394.0|0|3394.0|0|55.0|0|0.0|100
0|2022-01-03|3395.0|0|3395.0|0|56.0|0|0.0|100
0|2022-01-04|3431.0|0|3431.0|0|56.0|0|0.0|100
0|2022-01-05|3452.0|0|3452.0|0|56.0|0|0.0|100
0|2022-01-06|3497.0|0|3497.0|0|56.0|0|0.0|100
0|2022-01-07|3537.0|0|3537.0|0|56.0|0|0.0|100
0|2022-01-08|3584.0|0|3584.0|0|56.0|0|0.0|100
0|2022-01-09|3584.0|0|3584.0|0|56.0|0|0.0|100
0|2022-01-10|3602.0|0|3602.0|0|56.0|0|0.0|100
0|2022-01-11|3678.0|0|3678.0|0|56.0|0|0.0|100
0|2022-01-12|3809.0|0|3809.0|0|56.0|0|0.0|100
0|2022-01-13|3809.0|0|3920.0|0|56.0|0|0.0|100
0|2022-01-14|3984.0|0|3984.0|0|56.0|0|0.0|100
0|2022-01-15|4085.0|0|4085.0|0|56.0|0|0.0|100
0|2022-01-16|4094.0|0|4094.0|0|56.0|0|0.0|100
0|2022-01-17|4100.0|0|0.0|100|56.0|0|0.0|100
