|dates|Rockdale_Georgia_UnitedStates.JHU_ConfirmedCases.data|Rockdale_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Rockdale_Georgia_UnitedStates.NYT_ConfirmedCases.data|Rockdale_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Rockdale_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Rockdale_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Rockdale_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Rockdale_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11252.0|0|11270.0|0|228.0|0|0.0|100
0|2021-10-18|11279.0|0|11297.0|0|227.0|0|0.0|100
0|2021-10-19|11293.0|0|11311.0|0|229.0|0|0.0|100
0|2021-10-20|11301.0|0|11319.0|0|232.0|0|0.0|100
0|2021-10-21|11310.0|0|11328.0|0|234.0|0|0.0|100
0|2021-10-22|11320.0|0|11338.0|0|234.0|0|0.0|100
0|2021-10-23|11320.0|0|11338.0|0|234.0|0|0.0|100
0|2021-10-24|11320.0|0|11338.0|0|234.0|0|0.0|100
0|2021-10-25|11347.0|0|11365.0|0|235.0|0|0.0|100
0|2021-10-26|11352.0|0|11370.0|0|236.0|0|0.0|100
0|2021-10-27|11362.0|0|11380.0|0|236.0|0|0.0|100
0|2021-10-28|11378.0|0|11396.0|0|236.0|0|0.0|100
0|2021-10-29|11389.0|0|11407.0|0|236.0|0|0.0|100
0|2021-10-30|11389.0|0|11407.0|0|236.0|0|0.0|100
0|2021-10-31|11389.0|0|11407.0|0|236.0|0|0.0|100
0|2021-11-01|11408.0|0|11426.0|0|236.0|0|0.0|100
0|2021-11-02|11427.0|0|11445.0|0|237.0|0|0.0|100
0|2021-11-03|11441.0|0|11459.0|0|237.0|0|0.0|100
0|2021-11-04|11445.0|0|11463.0|0|237.0|0|0.0|100
0|2021-11-05|11461.0|0|11479.0|0|238.0|0|0.0|100
0|2021-11-06|11461.0|0|11479.0|0|238.0|0|0.0|100
0|2021-11-07|11461.0|0|11479.0|0|238.0|0|0.0|100
0|2021-11-08|11461.0|0|11479.0|0|238.0|0|0.0|100
0|2021-11-09|11495.0|0|11513.0|0|239.0|0|0.0|100
0|2021-11-10|11495.0|0|11517.0|0|239.0|0|0.0|100
