|dates|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Fulton_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Fulton_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Fulton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2123.0|0|2123.0|0|26.0|0|0.0|100
0|2021-10-18|2130.0|0|2130.0|0|26.0|0|0.0|100
0|2021-10-19|2150.0|0|2150.0|0|27.0|0|0.0|100
0|2021-10-20|2168.0|0|2168.0|0|28.0|0|0.0|100
0|2021-10-21|2179.0|0|2179.0|0|28.0|0|0.0|100
0|2021-10-22|2189.0|0|2189.0|0|28.0|0|0.0|100
0|2021-10-23|2194.0|0|2194.0|0|28.0|0|0.0|100
0|2021-10-24|2201.0|0|2201.0|0|28.0|0|0.0|100
0|2021-10-25|2210.0|0|2210.0|0|28.0|0|0.0|100
0|2021-10-26|2223.0|0|2223.0|0|29.0|0|0.0|100
0|2021-10-27|2233.0|0|2233.0|0|31.0|0|0.0|100
0|2021-10-28|2240.0|0|2240.0|0|31.0|0|0.0|100
0|2021-10-29|2250.0|0|2250.0|0|31.0|0|0.0|100
0|2021-10-30|2260.0|0|2260.0|0|32.0|0|0.0|100
0|2021-10-31|2266.0|0|2266.0|0|32.0|0|0.0|100
0|2021-11-01|2266.0|0|2266.0|0|32.0|0|0.0|100
0|2021-11-02|2284.0|0|2284.0|0|32.0|0|0.0|100
0|2021-11-03|2293.0|0|2293.0|0|32.0|0|0.0|100
0|2021-11-04|2305.0|0|2305.0|0|32.0|0|0.0|100
0|2021-11-05|2312.0|0|2312.0|0|32.0|0|0.0|100
0|2021-11-06|2328.0|0|2328.0|0|32.0|0|0.0|100
0|2021-11-07|2330.0|0|2330.0|0|32.0|0|0.0|100
0|2021-11-08|2334.0|0|2334.0|0|32.0|0|0.0|100
0|2021-11-09|2343.0|0|2343.0|0|32.0|0|0.0|100
0|2021-11-10|2343.0|0|2364.0|0|32.0|0|0.0|100
0|2021-11-11|2387.0|0|2387.0|0|33.0|0|0.0|100
0|2021-11-12|2405.0|0|2405.0|0|33.0|0|0.0|100
0|2021-11-13|2444.0|0|2444.0|0|33.0|0|0.0|100
0|2021-11-14|2457.0|0|2457.0|0|34.0|0|0.0|100
0|2021-11-15|2458.0|0|2458.0|0|34.0|0|0.0|100
0|2021-11-16|2484.0|0|2484.0|0|35.0|0|0.0|100
