|dates|Overton_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Overton_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Overton_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Overton_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Overton_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Overton_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Overton_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Overton_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-28|5166.0|0|5166.0|0|105.0|0|0.0|100
0|2021-12-29|5189.0|0|5189.0|0|105.0|0|0.0|100
0|2021-12-30|5213.0|0|5213.0|0|106.0|0|0.0|100
0|2021-12-31|5213.0|0|5213.0|0|106.0|0|0.0|100
0|2022-01-01|5213.0|0|5213.0|0|106.0|0|0.0|100
0|2022-01-02|5213.0|0|5213.0|0|106.0|0|0.0|100
0|2022-01-03|5297.0|0|5297.0|0|107.0|0|0.0|100
0|2022-01-04|5320.0|0|5320.0|0|107.0|0|0.0|100
0|2022-01-05|5320.0|0|5320.0|0|107.0|0|0.0|100
0|2022-01-06|5320.0|0|5320.0|0|107.0|0|0.0|100
0|2022-01-07|5320.0|0|5320.0|0|107.0|0|0.0|100
0|2022-01-08|5320.0|0|5320.0|0|107.0|0|0.0|100
0|2022-01-09|5320.0|0|5320.0|0|107.0|0|0.0|100
0|2022-01-10|5320.0|0|5320.0|0|107.0|0|0.0|100
0|2022-01-11|5320.0|0|5320.0|0|107.0|0|0.0|100
0|2022-01-12|5465.0|0|5465.0|0|110.0|0|0.0|100
0|2022-01-13|5465.0|0|5465.0|0|110.0|0|0.0|100
0|2022-01-14|5465.0|0|5465.0|0|110.0|0|0.0|100
0|2022-01-15|5465.0|0|5465.0|0|110.0|0|0.0|100
0|2022-01-16|5465.0|0|5465.0|0|110.0|0|0.0|100
0|2022-01-17|5465.0|0|0.0|100|110.0|0|0.0|100
