|dates|Mercer_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Mercer_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Mercer_Missouri_UnitedStates.Male_Total_Population.data|Mercer_Missouri_UnitedStates.Male_Total_Population.missing|Mercer_Missouri_UnitedStates.Female_Total_Population.data|Mercer_Missouri_UnitedStates.Female_Total_Population.missing|Mercer_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Mercer_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-18|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-19|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-20|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-21|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-22|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-23|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-24|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-25|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-26|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-27|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-28|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-29|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-30|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-10-31|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-01|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-02|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-03|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-04|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-05|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-06|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-07|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-08|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-09|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-10|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-11|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-12|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-13|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-14|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-15|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-16|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-17|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-18|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-19|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-20|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-21|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-22|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-23|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-24|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-25|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-26|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-27|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-28|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-29|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-11-30|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-01|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-02|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-03|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-04|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-05|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-06|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-07|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-08|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-09|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-10|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-11|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-12|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-13|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-14|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-15|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-16|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-17|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-18|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-19|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-20|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-21|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-22|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-23|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-24|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-25|803.0|0|1851.0|0|1790.0|0|867.0|0
0|2021-12-26|803.0|0|1851.0|0|1790.0|0|867.0|0
