|dates|Lucas_Ohio_UnitedStates.JHU_ConfirmedCases.data|Lucas_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Lucas_Ohio_UnitedStates.NYT_ConfirmedCases.data|Lucas_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Lucas_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Lucas_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Lucas_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Lucas_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|55560.0|0|55560.0|0|956.0|0|0.0|100
0|2021-10-18|55643.0|0|55643.0|0|957.0|0|0.0|100
0|2021-10-19|55753.0|0|55753.0|0|957.0|0|0.0|100
0|2021-10-20|55919.0|0|55919.0|0|958.0|0|0.0|100
0|2021-10-21|56058.0|0|56058.0|0|958.0|0|0.0|100
0|2021-10-22|56212.0|0|56212.0|0|959.0|0|0.0|100
0|2021-10-23|56338.0|0|56338.0|0|960.0|0|0.0|100
0|2021-10-24|56476.0|0|56476.0|0|961.0|0|0.0|100
0|2021-10-25|56539.0|0|56539.0|0|961.0|0|0.0|100
0|2021-10-26|56681.0|0|56681.0|0|964.0|0|0.0|100
0|2021-10-27|56817.0|0|56817.0|0|965.0|0|0.0|100
0|2021-10-28|56913.0|0|56913.0|0|965.0|0|0.0|100
0|2021-10-29|57057.0|0|57057.0|0|965.0|0|0.0|100
0|2021-10-30|57182.0|0|57182.0|0|965.0|0|0.0|100
0|2021-10-31|57283.0|0|57283.0|0|966.0|0|0.0|100
0|2021-11-01|57359.0|0|57359.0|0|966.0|0|0.0|100
0|2021-11-02|57484.0|0|57484.0|0|966.0|0|0.0|100
0|2021-11-03|57646.0|0|57646.0|0|966.0|0|0.0|100
0|2021-11-04|57801.0|0|57801.0|0|966.0|0|0.0|100
0|2021-11-05|57956.0|0|57956.0|0|966.0|0|0.0|100
0|2021-11-06|58047.0|0|58047.0|0|966.0|0|0.0|100
0|2021-11-07|58206.0|0|58206.0|0|966.0|0|0.0|100
0|2021-11-08|58289.0|0|58289.0|0|966.0|0|0.0|100
0|2021-11-09|58436.0|0|58436.0|0|976.0|0|0.0|100
0|2021-11-10|58662.0|0|58662.0|0|976.0|0|0.0|100
0|2021-11-11|58812.0|0|58812.0|0|976.0|0|0.0|100
0|2021-11-12|58984.0|0|58984.0|0|992.0|0|0.0|100
0|2021-11-13|59140.0|0|59140.0|0|992.0|0|0.0|100
0|2021-11-14|59266.0|0|59266.0|0|992.0|0|0.0|100
0|2021-11-15|59376.0|0|59376.0|0|992.0|0|0.0|100
0|2021-11-16|59553.0|0|59553.0|0|997.0|0|0.0|100
0|2021-11-17|59815.0|0|59815.0|0|997.0|0|0.0|100
0|2021-11-18|59997.0|0|59997.0|0|997.0|0|0.0|100
0|2021-11-19|60176.0|0|60176.0|0|1005.0|0|0.0|100
0|2021-11-20|60382.0|0|60382.0|0|1005.0|0|0.0|100
0|2021-11-21|60525.0|0|60525.0|0|1005.0|0|0.0|100
0|2021-11-22|60651.0|0|60651.0|0|1005.0|0|0.0|100
0|2021-11-23|60844.0|0|60844.0|0|1011.0|0|0.0|100
0|2021-11-24|61065.0|0|61065.0|0|1011.0|0|0.0|100
0|2021-11-25|61065.0|0|61065.0|0|1011.0|0|0.0|100
0|2021-11-26|61399.0|0|61399.0|0|1017.0|0|0.0|100
0|2021-11-27|61533.0|0|61533.0|0|1017.0|0|0.0|100
0|2021-11-28|61688.0|0|61688.0|0|1017.0|0|0.0|100
0|2021-11-29|61843.0|0|61843.0|0|1017.0|0|0.0|100
0|2021-11-30|62024.0|0|62024.0|0|1020.0|0|0.0|100
0|2021-12-01|62385.0|0|62385.0|0|1020.0|0|0.0|100
0|2021-12-02|62708.0|0|62708.0|0|1020.0|0|0.0|100
0|2021-12-03|63029.0|0|63029.0|0|1027.0|0|0.0|100
0|2021-12-04|63370.0|0|63370.0|0|1027.0|0|0.0|100
0|2021-12-05|63614.0|0|63614.0|0|1027.0|0|0.0|100
0|2021-12-06|63786.0|0|63786.0|0|1027.0|0|0.0|100
0|2021-12-07|64042.0|0|64042.0|0|1030.0|0|0.0|100
0|2021-12-08|64256.0|0|64256.0|0|1030.0|0|0.0|100
0|2021-12-09|64550.0|0|64550.0|0|1030.0|0|0.0|100
0|2021-12-10|64792.0|0|64792.0|0|1044.0|0|0.0|100
0|2021-12-11|65001.0|0|65001.0|0|1044.0|0|0.0|100
