|dates|Delaware_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Delaware_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Delaware_Pennsylvania_UnitedStates.Male_Total_Population.data|Delaware_Pennsylvania_UnitedStates.Male_Total_Population.missing|Delaware_Pennsylvania_UnitedStates.Female_Total_Population.data|Delaware_Pennsylvania_UnitedStates.Female_Total_Population.missing|Delaware_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Delaware_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-03|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-04|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-05|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-06|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-07|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-08|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-09|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-10|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-11|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-12|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-13|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-14|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-15|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-16|92607.0|0|271816.0|0|292935.0|0|123908.0|0
0|2022-01-17|92607.0|0|271816.0|0|292935.0|0|123908.0|0
