|dates|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Crittenden_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Crittenden_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Crittenden_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1158.0|0|1158.0|0|35.0|0|0.0|100
0|2021-10-18|1173.0|0|1173.0|0|35.0|0|0.0|100
0|2021-10-19|1180.0|0|1180.0|0|35.0|0|0.0|100
0|2021-10-20|1194.0|0|1194.0|0|35.0|0|0.0|100
0|2021-10-21|1197.0|0|1197.0|0|35.0|0|0.0|100
0|2021-10-22|1202.0|0|1202.0|0|35.0|0|0.0|100
0|2021-10-23|1202.0|0|1202.0|0|35.0|0|0.0|100
0|2021-10-24|1202.0|0|1202.0|0|35.0|0|0.0|100
0|2021-10-25|1208.0|0|1208.0|0|35.0|0|0.0|100
0|2021-10-26|1210.0|0|1210.0|0|35.0|0|0.0|100
0|2021-10-27|1216.0|0|1216.0|0|35.0|0|0.0|100
0|2021-10-28|1218.0|0|1218.0|0|35.0|0|0.0|100
0|2021-10-29|1225.0|0|1225.0|0|35.0|0|0.0|100
0|2021-10-30|1225.0|0|1225.0|0|35.0|0|0.0|100
0|2021-10-31|1225.0|0|1225.0|0|35.0|0|0.0|100
0|2021-11-01|1244.0|0|1244.0|0|35.0|0|0.0|100
0|2021-11-02|1249.0|0|1249.0|0|35.0|0|0.0|100
0|2021-11-03|1256.0|0|1256.0|0|35.0|0|0.0|100
0|2021-11-04|1262.0|0|1262.0|0|35.0|0|0.0|100
0|2021-11-05|1265.0|0|1265.0|0|35.0|0|0.0|100
0|2021-11-06|1265.0|0|1265.0|0|35.0|0|0.0|100
0|2021-11-07|1265.0|0|1265.0|0|35.0|0|0.0|100
0|2021-11-08|1268.0|0|1268.0|0|35.0|0|0.0|100
0|2021-11-09|1269.0|0|1269.0|0|35.0|0|0.0|100
0|2021-11-10|1269.0|0|1279.0|0|35.0|0|0.0|100
0|2021-11-11|1279.0|0|1279.0|0|35.0|0|0.0|100
0|2021-11-12|1286.0|0|1286.0|0|35.0|0|0.0|100
0|2021-11-13|1286.0|0|1286.0|0|35.0|0|0.0|100
0|2021-11-14|1286.0|0|1286.0|0|35.0|0|0.0|100
0|2021-11-15|1288.0|0|1288.0|0|35.0|0|0.0|100
0|2021-11-16|1291.0|0|1291.0|0|35.0|0|0.0|100
0|2021-11-17|1291.0|0|1291.0|0|35.0|0|0.0|100
0|2021-11-18|1294.0|0|1294.0|0|35.0|0|0.0|100
0|2021-11-19|1304.0|0|1304.0|0|35.0|0|0.0|100
0|2021-11-20|1304.0|0|1304.0|0|35.0|0|0.0|100
0|2021-11-21|1304.0|0|1304.0|0|35.0|0|0.0|100
0|2021-11-22|1317.0|0|1317.0|0|36.0|0|0.0|100
0|2021-11-23|1321.0|0|1321.0|0|36.0|0|0.0|100
0|2021-11-24|1328.0|0|1328.0|0|36.0|0|0.0|100
0|2021-11-25|1328.0|0|1328.0|0|36.0|0|0.0|100
0|2021-11-26|1328.0|0|1328.0|0|36.0|0|0.0|100
0|2021-11-27|1328.0|0|1328.0|0|36.0|0|0.0|100
0|2021-11-28|1328.0|0|1328.0|0|36.0|0|0.0|100
0|2021-11-29|1340.0|0|1340.0|0|37.0|0|0.0|100
0|2021-11-30|1342.0|0|1342.0|0|37.0|0|0.0|100
0|2021-12-01|1345.0|0|1345.0|0|37.0|0|0.0|100
0|2021-12-02|1345.0|0|1346.0|0|37.0|0|0.0|100
0|2021-12-03|1354.0|0|1354.0|0|37.0|0|0.0|100
0|2021-12-04|1354.0|0|1354.0|0|37.0|0|0.0|100
0|2021-12-05|1354.0|0|1354.0|0|37.0|0|0.0|100
0|2021-12-06|1362.0|0|1362.0|0|37.0|0|0.0|100
0|2021-12-07|1370.0|0|1370.0|0|37.0|0|0.0|100
0|2021-12-08|1376.0|0|1376.0|0|37.0|0|0.0|100
0|2021-12-09|1381.0|0|1381.0|0|37.0|0|0.0|100
0|2021-12-10|1387.0|0|1387.0|0|37.0|0|0.0|100
0|2021-12-11|1387.0|0|1387.0|0|37.0|0|0.0|100
0|2021-12-12|1387.0|0|1387.0|0|37.0|0|0.0|100
0|2021-12-13|1392.0|0|1392.0|0|37.0|0|0.0|100
0|2021-12-14|1392.0|0|1398.0|0|37.0|0|0.0|100
0|2021-12-15|1407.0|0|1407.0|0|37.0|0|0.0|100
0|2021-12-16|1408.0|0|1408.0|0|37.0|0|0.0|100
0|2021-12-17|1409.0|0|1409.0|0|37.0|0|0.0|100
0|2021-12-18|1409.0|0|1409.0|0|37.0|0|0.0|100
0|2021-12-19|1409.0|0|1409.0|0|37.0|0|0.0|100
0|2021-12-20|1418.0|0|1418.0|0|37.0|0|0.0|100
0|2021-12-21|1422.0|0|1422.0|0|37.0|0|0.0|100
0|2021-12-22|1429.0|0|1429.0|0|37.0|0|0.0|100
0|2021-12-23|1429.0|0|1429.0|0|37.0|0|0.0|100
0|2021-12-24|1429.0|0|1429.0|0|37.0|0|0.0|100
0|2021-12-25|1429.0|0|1429.0|0|37.0|0|0.0|100
0|2021-12-26|1429.0|0|1429.0|0|37.0|0|0.0|100
0|2021-12-27|1439.0|0|1439.0|0|37.0|0|0.0|100
0|2021-12-28|1445.0|0|1445.0|0|37.0|0|0.0|100
0|2021-12-29|1450.0|0|1450.0|0|37.0|0|0.0|100
0|2021-12-30|1450.0|0|1450.0|0|37.0|0|0.0|100
0|2021-12-31|1450.0|0|1450.0|0|37.0|0|0.0|100
0|2022-01-01|1450.0|0|1450.0|0|37.0|0|0.0|100
0|2022-01-02|1450.0|0|1450.0|0|37.0|0|0.0|100
0|2022-01-03|1484.0|0|1484.0|0|38.0|0|0.0|100
0|2022-01-04|1493.0|0|1493.0|0|38.0|0|0.0|100
0|2022-01-05|1508.0|0|1508.0|0|38.0|0|0.0|100
0|2022-01-06|1520.0|0|1520.0|0|38.0|0|0.0|100
0|2022-01-07|1531.0|0|1531.0|0|38.0|0|0.0|100
0|2022-01-08|1531.0|0|1531.0|0|38.0|0|0.0|100
0|2022-01-09|1531.0|0|1531.0|0|38.0|0|0.0|100
0|2022-01-10|1543.0|0|1543.0|0|39.0|0|0.0|100
0|2022-01-11|1558.0|0|1558.0|0|39.0|0|0.0|100
0|2022-01-12|1576.0|0|1576.0|0|39.0|0|0.0|100
0|2022-01-13|1576.0|0|1588.0|0|39.0|0|0.0|100
0|2022-01-14|1613.0|0|1613.0|0|39.0|0|0.0|100
