|dates|BuenaVista_Iowa_UnitedStates.BLS_EmployedPopulation.data|BuenaVista_Iowa_UnitedStates.BLS_EmployedPopulation.missing|BuenaVista_Iowa_UnitedStates.BLS_UnemployedPopulation.data|BuenaVista_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|BuenaVista_Iowa_UnitedStates.BLS_UnemploymentRate.data|BuenaVista_Iowa_UnitedStates.BLS_UnemploymentRate.missing|BuenaVista_Iowa_UnitedStates.BLS_LaborForcePopulation.data|BuenaVista_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-18|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-19|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-20|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-21|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-22|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-23|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-24|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-25|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-26|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-27|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-28|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-29|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-30|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2021-12-31|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-01|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-02|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-03|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-04|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-05|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-06|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-07|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-08|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-09|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-10|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-11|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-12|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-13|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-14|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-15|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-16|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
0|2022-01-17|11446.0|0|349.0|0|2.9588808817295464|0|11795.0|0
