|dates|Rice_Kansas_UnitedStates.JHU_ConfirmedCases.data|Rice_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Rice_Kansas_UnitedStates.NYT_ConfirmedCases.data|Rice_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Rice_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Rice_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Rice_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Rice_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1423.0|0|1423.0|0|15.0|0|0.0|100
0|2021-10-18|1432.0|0|1432.0|0|15.0|0|0.0|100
0|2021-10-19|1432.0|0|1432.0|0|15.0|0|0.0|100
0|2021-10-20|1439.0|0|1439.0|0|15.0|0|0.0|100
0|2021-10-21|1439.0|0|1439.0|0|15.0|0|0.0|100
0|2021-10-22|1446.0|0|1446.0|0|15.0|0|0.0|100
0|2021-10-23|1446.0|0|1446.0|0|15.0|0|0.0|100
0|2021-10-24|1446.0|0|1446.0|0|15.0|0|0.0|100
0|2021-10-25|1454.0|0|1454.0|0|15.0|0|0.0|100
0|2021-10-26|1454.0|0|1454.0|0|15.0|0|0.0|100
0|2021-10-27|1463.0|0|1463.0|0|15.0|0|0.0|100
0|2021-10-28|1463.0|0|1463.0|0|15.0|0|0.0|100
0|2021-10-29|1471.0|0|1471.0|0|15.0|0|0.0|100
0|2021-10-30|1471.0|0|1471.0|0|15.0|0|0.0|100
0|2021-10-31|1471.0|0|1471.0|0|15.0|0|0.0|100
0|2021-11-01|1477.0|0|1477.0|0|15.0|0|0.0|100
0|2021-11-02|1477.0|0|1477.0|0|15.0|0|0.0|100
0|2021-11-03|1481.0|0|1481.0|0|15.0|0|0.0|100
0|2021-11-04|1481.0|0|1481.0|0|15.0|0|0.0|100
0|2021-11-05|1487.0|0|1487.0|0|15.0|0|0.0|100
0|2021-11-06|1487.0|0|1487.0|0|15.0|0|0.0|100
0|2021-11-07|1487.0|0|1487.0|0|15.0|0|0.0|100
0|2021-11-08|1490.0|0|1490.0|0|15.0|0|0.0|100
0|2021-11-09|1490.0|0|1490.0|0|15.0|0|0.0|100
0|2021-11-10|1490.0|0|1490.0|0|15.0|0|0.0|100
0|2021-11-11|1490.0|0|1490.0|0|15.0|0|0.0|100
0|2021-11-12|1504.0|0|1504.0|0|15.0|0|0.0|100
0|2021-11-13|1504.0|0|1504.0|0|15.0|0|0.0|100
0|2021-11-14|1504.0|0|1504.0|0|15.0|0|0.0|100
