|dates|Hart_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Hart_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Hart_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Hart_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Hart_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Hart_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Hart_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Hart_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3447.0|0|3447.0|0|61.0|0|0.0|100
0|2021-10-18|3467.0|0|3467.0|0|63.0|0|0.0|100
0|2021-10-19|3470.0|0|3470.0|0|63.0|0|0.0|100
0|2021-10-20|3475.0|0|3475.0|0|63.0|0|0.0|100
0|2021-10-21|3476.0|0|3476.0|0|63.0|0|0.0|100
0|2021-10-22|3482.0|0|3482.0|0|63.0|0|0.0|100
0|2021-10-23|3482.0|0|3482.0|0|63.0|0|0.0|100
0|2021-10-24|3482.0|0|3482.0|0|63.0|0|0.0|100
0|2021-10-25|3497.0|0|3497.0|0|63.0|0|0.0|100
0|2021-10-26|3516.0|0|3516.0|0|63.0|0|0.0|100
0|2021-10-27|3531.0|0|3531.0|0|63.0|0|0.0|100
0|2021-10-28|3533.0|0|3533.0|0|63.0|0|0.0|100
0|2021-10-29|3541.0|0|3541.0|0|63.0|0|0.0|100
0|2021-10-30|3541.0|0|3541.0|0|63.0|0|0.0|100
0|2021-10-31|3541.0|0|3541.0|0|63.0|0|0.0|100
0|2021-11-01|3553.0|0|3553.0|0|63.0|0|0.0|100
0|2021-11-02|3558.0|0|3558.0|0|63.0|0|0.0|100
0|2021-11-03|3567.0|0|3567.0|0|63.0|0|0.0|100
0|2021-11-04|3574.0|0|3574.0|0|63.0|0|0.0|100
0|2021-11-05|3580.0|0|3580.0|0|63.0|0|0.0|100
0|2021-11-06|3580.0|0|3580.0|0|63.0|0|0.0|100
0|2021-11-07|3580.0|0|3580.0|0|63.0|0|0.0|100
0|2021-11-08|3587.0|0|3587.0|0|65.0|0|0.0|100
0|2021-11-09|3594.0|0|3594.0|0|65.0|0|0.0|100
0|2021-11-10|3605.0|0|3605.0|0|66.0|0|0.0|100
0|2021-11-11|3605.0|0|3605.0|0|66.0|0|0.0|100
0|2021-11-12|3614.0|0|3614.0|0|67.0|0|0.0|100
0|2021-11-13|3614.0|0|3614.0|0|67.0|0|0.0|100
0|2021-11-14|3614.0|0|3614.0|0|67.0|0|0.0|100
0|2021-11-15|3627.0|0|3627.0|0|67.0|0|0.0|100
0|2021-11-16|3631.0|0|3631.0|0|67.0|0|0.0|100
0|2021-11-17|3646.0|0|3646.0|0|69.0|0|0.0|100
0|2021-11-18|3652.0|0|3652.0|0|69.0|0|0.0|100
0|2021-11-19|3654.0|0|3654.0|0|71.0|0|0.0|100
0|2021-11-20|3654.0|0|3654.0|0|71.0|0|0.0|100
0|2021-11-21|3654.0|0|3654.0|0|71.0|0|0.0|100
0|2021-11-22|3667.0|0|3667.0|0|71.0|0|0.0|100
0|2021-11-23|3677.0|0|3677.0|0|72.0|0|0.0|100
0|2021-11-24|3688.0|0|3688.0|0|72.0|0|0.0|100
0|2021-11-25|3688.0|0|3688.0|0|72.0|0|0.0|100
0|2021-11-26|3688.0|0|3688.0|0|72.0|0|0.0|100
0|2021-11-27|3688.0|0|3688.0|0|72.0|0|0.0|100
0|2021-11-28|3688.0|0|3688.0|0|72.0|0|0.0|100
0|2021-11-29|3719.0|0|3719.0|0|72.0|0|0.0|100
0|2021-11-30|3723.0|0|3723.0|0|72.0|0|0.0|100
0|2021-12-01|3742.0|0|3742.0|0|72.0|0|0.0|100
0|2021-12-02|3750.0|0|3750.0|0|72.0|0|0.0|100
0|2021-12-03|3763.0|0|3763.0|0|72.0|0|0.0|100
0|2021-12-04|3763.0|0|3763.0|0|72.0|0|0.0|100
0|2021-12-05|3763.0|0|3763.0|0|72.0|0|0.0|100
0|2021-12-06|3785.0|0|3785.0|0|74.0|0|0.0|100
0|2021-12-07|3800.0|0|3800.0|0|75.0|0|0.0|100
0|2021-12-08|3817.0|0|3817.0|0|76.0|0|0.0|100
0|2021-12-09|3828.0|0|3828.0|0|76.0|0|0.0|100
0|2021-12-10|3845.0|0|3845.0|0|77.0|0|0.0|100
