|dates|Edwards_Kansas_UnitedStates.JHU_ConfirmedCases.data|Edwards_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Edwards_Kansas_UnitedStates.NYT_ConfirmedCases.data|Edwards_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Edwards_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Edwards_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Edwards_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Edwards_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|336.0|0|336.0|0|13.0|0|0.0|100
0|2021-10-18|339.0|0|339.0|0|13.0|0|0.0|100
0|2021-10-19|339.0|0|339.0|0|13.0|0|0.0|100
0|2021-10-20|341.0|0|341.0|0|13.0|0|0.0|100
0|2021-10-21|341.0|0|341.0|0|13.0|0|0.0|100
0|2021-10-22|347.0|0|347.0|0|13.0|0|0.0|100
0|2021-10-23|347.0|0|347.0|0|13.0|0|0.0|100
0|2021-10-24|347.0|0|347.0|0|13.0|0|0.0|100
0|2021-10-25|355.0|0|355.0|0|13.0|0|0.0|100
0|2021-10-26|355.0|0|355.0|0|13.0|0|0.0|100
0|2021-10-27|367.0|0|367.0|0|13.0|0|0.0|100
0|2021-10-28|367.0|0|367.0|0|13.0|0|0.0|100
0|2021-10-29|370.0|0|370.0|0|13.0|0|0.0|100
0|2021-10-30|370.0|0|370.0|0|13.0|0|0.0|100
0|2021-10-31|370.0|0|370.0|0|13.0|0|0.0|100
0|2021-11-01|378.0|0|378.0|0|13.0|0|0.0|100
0|2021-11-02|378.0|0|378.0|0|13.0|0|0.0|100
0|2021-11-03|393.0|0|393.0|0|13.0|0|0.0|100
0|2021-11-04|393.0|0|393.0|0|13.0|0|0.0|100
0|2021-11-05|398.0|0|398.0|0|13.0|0|0.0|100
0|2021-11-06|398.0|0|398.0|0|13.0|0|0.0|100
0|2021-11-07|398.0|0|398.0|0|13.0|0|0.0|100
0|2021-11-08|401.0|0|401.0|0|13.0|0|0.0|100
0|2021-11-09|401.0|0|401.0|0|13.0|0|0.0|100
0|2021-11-10|401.0|0|415.0|0|13.0|0|0.0|100
0|2021-11-11|415.0|0|415.0|0|13.0|0|0.0|100
0|2021-11-12|422.0|0|422.0|0|13.0|0|0.0|100
0|2021-11-13|422.0|0|422.0|0|13.0|0|0.0|100
0|2021-11-14|422.0|0|422.0|0|13.0|0|0.0|100
0|2021-11-15|426.0|0|426.0|0|13.0|0|0.0|100
0|2021-11-16|426.0|0|426.0|0|13.0|0|0.0|100
0|2021-11-17|432.0|0|432.0|0|13.0|0|0.0|100
0|2021-11-18|432.0|0|432.0|0|13.0|0|0.0|100
0|2021-11-19|436.0|0|436.0|0|13.0|0|0.0|100
0|2021-11-20|436.0|0|436.0|0|13.0|0|0.0|100
0|2021-11-21|436.0|0|436.0|0|13.0|0|0.0|100
0|2021-11-22|439.0|0|439.0|0|13.0|0|0.0|100
0|2021-11-23|439.0|0|439.0|0|13.0|0|0.0|100
0|2021-11-24|439.0|0|442.0|0|13.0|0|0.0|100
0|2021-11-25|442.0|0|442.0|0|13.0|0|0.0|100
0|2021-11-26|442.0|0|442.0|0|13.0|0|0.0|100
0|2021-11-27|442.0|0|442.0|0|13.0|0|0.0|100
0|2021-11-28|442.0|0|442.0|0|13.0|0|0.0|100
0|2021-11-29|444.0|0|444.0|0|13.0|0|0.0|100
0|2021-11-30|444.0|0|444.0|0|13.0|0|0.0|100
0|2021-12-01|449.0|0|449.0|0|13.0|0|0.0|100
