|dates|St.Joseph_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|St.Joseph_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|St.Joseph_Indiana_UnitedStates.Male_Total_Population.data|St.Joseph_Indiana_UnitedStates.Male_Total_Population.missing|St.Joseph_Indiana_UnitedStates.Female_Total_Population.data|St.Joseph_Indiana_UnitedStates.Female_Total_Population.missing|St.Joseph_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|St.Joseph_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-18|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-19|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-20|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-21|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-22|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-23|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-24|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-25|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-26|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-27|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-28|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-29|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-30|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-10-31|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-01|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-02|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-03|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-04|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-05|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-06|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-07|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-08|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-09|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-10|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-11|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-12|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-13|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-14|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-15|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-16|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-17|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-18|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-19|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-20|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-21|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-22|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-23|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-24|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-25|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-26|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-27|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-28|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-29|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-11-30|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-12-01|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-12-02|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-12-03|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-12-04|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-12-05|42783.0|0|131836.0|0|138935.0|0|64005.0|0
0|2021-12-06|42783.0|0|131836.0|0|138935.0|0|64005.0|0
