|dates|Bonneville_Idaho_UnitedStates.JHU_ConfirmedCases.data|Bonneville_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Bonneville_Idaho_UnitedStates.NYT_ConfirmedCases.data|Bonneville_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Bonneville_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Bonneville_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Bonneville_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Bonneville_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|19011.0|0|19011.0|0|207.0|0|0.0|100
0|2021-10-18|19085.0|0|19085.0|0|207.0|0|0.0|100
0|2021-10-19|19182.0|0|19182.0|0|208.0|0|0.0|100
0|2021-10-20|19263.0|0|19263.0|0|209.0|0|0.0|100
0|2021-10-21|19322.0|0|19322.0|0|210.0|0|0.0|100
0|2021-10-22|19410.0|0|19410.0|0|210.0|0|0.0|100
0|2021-10-23|19420.0|0|19420.0|0|210.0|0|0.0|100
0|2021-10-24|19416.0|0|19416.0|0|210.0|0|0.0|100
0|2021-10-25|19599.0|0|19599.0|0|212.0|0|0.0|100
0|2021-10-26|19800.0|0|19800.0|0|213.0|0|0.0|100
0|2021-10-27|19871.0|0|19871.0|0|213.0|0|0.0|100
0|2021-10-28|19924.0|0|19924.0|0|213.0|0|0.0|100
0|2021-10-29|19965.0|0|19965.0|0|213.0|0|0.0|100
0|2021-10-30|19979.0|0|19979.0|0|213.0|0|0.0|100
0|2021-10-31|19974.0|0|19974.0|0|213.0|0|0.0|100
0|2021-11-01|20084.0|0|20084.0|0|212.0|0|0.0|100
0|2021-11-02|20188.0|0|20188.0|0|212.0|0|0.0|100
0|2021-11-03|20299.0|0|20299.0|0|212.0|0|0.0|100
0|2021-11-04|20363.0|0|20363.0|0|212.0|0|0.0|100
0|2021-11-05|20432.0|0|20432.0|0|215.0|0|0.0|100
0|2021-11-06|20464.0|0|20464.0|0|215.0|0|0.0|100
0|2021-11-07|20464.0|0|20464.0|0|215.0|0|0.0|100
0|2021-11-08|20576.0|0|20576.0|0|217.0|0|0.0|100
0|2021-11-09|20685.0|0|20685.0|0|218.0|0|0.0|100
0|2021-11-10|20685.0|0|20754.0|0|218.0|0|0.0|100
0|2021-11-11|20754.0|0|20754.0|0|218.0|0|0.0|100
0|2021-11-12|20876.0|0|20754.0|0|222.0|0|0.0|100
0|2021-11-13|20893.0|0|20876.0|0|222.0|0|0.0|100
0|2021-11-14|20893.0|0|20893.0|0|222.0|0|0.0|100
0|2021-11-15|20972.0|0|20972.0|0|222.0|0|0.0|100
0|2021-11-16|21044.0|0|21044.0|0|223.0|0|0.0|100
0|2021-11-17|21094.0|0|21094.0|0|223.0|0|0.0|100
0|2021-11-18|21167.0|0|21167.0|0|225.0|0|0.0|100
0|2021-11-19|21235.0|0|21167.0|0|227.0|0|0.0|100
0|2021-11-20|21255.0|0|21255.0|0|227.0|0|0.0|100
0|2021-11-21|21255.0|0|21255.0|0|227.0|0|0.0|100
0|2021-11-22|21316.0|0|21316.0|0|229.0|0|0.0|100
0|2021-11-23|21377.0|0|21377.0|0|229.0|0|0.0|100
0|2021-11-24|21416.0|0|21416.0|0|230.0|0|0.0|100
0|2021-11-25|21416.0|0|21416.0|0|230.0|0|0.0|100
