|dates|Baca_Colorado_UnitedStates.JHU_ConfirmedCases.data|Baca_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Baca_Colorado_UnitedStates.NYT_ConfirmedCases.data|Baca_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Baca_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Baca_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Baca_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Baca_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|415.0|0|415.0|0|5.0|0|0.0|100
0|2021-10-18|422.0|0|422.0|0|5.0|0|0.0|100
0|2021-10-19|423.0|0|423.0|0|5.0|0|0.0|100
0|2021-10-20|430.0|0|430.0|0|5.0|0|0.0|100
0|2021-10-21|432.0|0|432.0|0|5.0|0|0.0|100
0|2021-10-22|437.0|0|437.0|0|5.0|0|0.0|100
0|2021-10-23|437.0|0|437.0|0|5.0|0|0.0|100
0|2021-10-24|437.0|0|437.0|0|5.0|0|0.0|100
0|2021-10-25|440.0|0|440.0|0|5.0|0|0.0|100
0|2021-10-26|442.0|0|442.0|0|5.0|0|0.0|100
0|2021-10-27|449.0|0|449.0|0|5.0|0|0.0|100
0|2021-10-28|450.0|0|450.0|0|5.0|0|0.0|100
0|2021-10-29|454.0|0|454.0|0|5.0|0|0.0|100
0|2021-10-30|454.0|0|454.0|0|5.0|0|0.0|100
0|2021-10-31|454.0|0|454.0|0|5.0|0|0.0|100
0|2021-11-01|462.0|0|462.0|0|5.0|0|0.0|100
0|2021-11-02|475.0|0|475.0|0|5.0|0|0.0|100
0|2021-11-03|487.0|0|487.0|0|5.0|0|0.0|100
0|2021-11-04|491.0|0|491.0|0|5.0|0|0.0|100
0|2021-11-05|499.0|0|499.0|0|5.0|0|0.0|100
0|2021-11-06|499.0|0|499.0|0|5.0|0|0.0|100
0|2021-11-07|499.0|0|499.0|0|5.0|0|0.0|100
0|2021-11-08|502.0|0|502.0|0|5.0|0|0.0|100
