|dates|York_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|York_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|York_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.data|York_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.missing|York_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|York_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|York_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|York_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|940.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|942.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|945.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|949.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|951.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|953.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|954.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|954.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|954.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|957.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|966.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|971.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|976.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|977.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|979.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|979.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|981.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|990.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|993.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|998.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|999.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|999.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|1002.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|1004.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|1013.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|1015.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|1015.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|1020.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|1023.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|1023.0|0|0.0|100|0.0|100
