|dates|Dunn_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Dunn_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Dunn_NorthDakota_UnitedStates.Male_Total_Population.data|Dunn_NorthDakota_UnitedStates.Male_Total_Population.missing|Dunn_NorthDakota_UnitedStates.Female_Total_Population.data|Dunn_NorthDakota_UnitedStates.Female_Total_Population.missing|Dunn_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Dunn_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-16|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-17|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-18|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-19|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-20|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-21|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-22|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-23|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-24|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-25|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-26|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-27|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-28|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-29|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-30|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-10-31|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-01|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-02|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-03|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-04|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-05|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-06|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-07|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-08|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-09|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-10|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-11|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-12|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-13|690.0|0|2306.0|0|2026.0|0|1032.0|0
0|2021-11-14|690.0|0|2306.0|0|2026.0|0|1032.0|0
