|dates|Obion_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Obion_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Obion_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Obion_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Obion_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Obion_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Obion_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Obion_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6551.0|0|6551.0|0|110.0|0|0.0|100
0|2021-10-18|6561.0|0|6561.0|0|110.0|0|0.0|100
0|2021-10-19|6572.0|0|6572.0|0|110.0|0|0.0|100
0|2021-10-20|6580.0|0|6580.0|0|110.0|0|0.0|100
0|2021-10-21|6589.0|0|6589.0|0|110.0|0|0.0|100
0|2021-10-22|6596.0|0|6596.0|0|110.0|0|0.0|100
0|2021-10-23|6596.0|0|6596.0|0|110.0|0|0.0|100
0|2021-10-24|6596.0|0|6596.0|0|110.0|0|0.0|100
0|2021-10-25|6596.0|0|6596.0|0|110.0|0|0.0|100
0|2021-10-26|6611.0|0|6611.0|0|110.0|0|0.0|100
0|2021-10-27|6615.0|0|6615.0|0|110.0|0|0.0|100
0|2021-10-28|6622.0|0|6622.0|0|110.0|0|0.0|100
0|2021-10-29|6625.0|0|6625.0|0|110.0|0|0.0|100
0|2021-10-30|6625.0|0|6625.0|0|110.0|0|0.0|100
0|2021-10-31|6625.0|0|6625.0|0|110.0|0|0.0|100
0|2021-11-01|6625.0|0|6625.0|0|110.0|0|0.0|100
0|2021-11-02|6642.0|0|6642.0|0|110.0|0|0.0|100
0|2021-11-03|6650.0|0|6650.0|0|110.0|0|0.0|100
0|2021-11-04|6656.0|0|6656.0|0|110.0|0|0.0|100
0|2021-11-05|6661.0|0|6661.0|0|110.0|0|0.0|100
0|2021-11-06|6661.0|0|6661.0|0|110.0|0|0.0|100
0|2021-11-07|6661.0|0|6661.0|0|110.0|0|0.0|100
0|2021-11-08|6661.0|0|6661.0|0|110.0|0|0.0|100
0|2021-11-09|6685.0|0|6685.0|0|110.0|0|0.0|100
0|2021-11-10|6685.0|0|6695.0|0|110.0|0|0.0|100
0|2021-11-11|6695.0|0|6695.0|0|111.0|0|0.0|100
0|2021-11-12|6720.0|0|6720.0|0|112.0|0|0.0|100
0|2021-11-13|6720.0|0|6720.0|0|112.0|0|0.0|100
0|2021-11-14|6720.0|0|6720.0|0|112.0|0|0.0|100
0|2021-11-15|6733.0|0|6733.0|0|112.0|0|0.0|100
0|2021-11-16|6741.0|0|6741.0|0|112.0|0|0.0|100
