|dates|Laurel_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Laurel_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Laurel_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Laurel_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Laurel_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Laurel_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Laurel_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Laurel_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12677.0|0|12677.0|0|111.0|0|0.0|100
0|2021-10-18|12660.0|0|12660.0|0|112.0|0|0.0|100
0|2021-10-19|12673.0|0|12673.0|0|112.0|0|0.0|100
0|2021-10-20|12670.0|0|12670.0|0|114.0|0|0.0|100
0|2021-10-21|12678.0|0|12678.0|0|118.0|0|0.0|100
0|2021-10-22|12713.0|0|12713.0|0|118.0|0|0.0|100
0|2021-10-23|12713.0|0|12713.0|0|118.0|0|0.0|100
0|2021-10-24|12713.0|0|12713.0|0|118.0|0|0.0|100
0|2021-10-25|12718.0|0|12718.0|0|118.0|0|0.0|100
0|2021-10-26|12734.0|0|12734.0|0|122.0|0|0.0|100
0|2021-10-27|12749.0|0|12749.0|0|125.0|0|0.0|100
0|2021-10-28|12773.0|0|12773.0|0|125.0|0|0.0|100
0|2021-10-29|12788.0|0|12788.0|0|125.0|0|0.0|100
0|2021-10-30|12788.0|0|12788.0|0|125.0|0|0.0|100
0|2021-10-31|12788.0|0|12788.0|0|125.0|0|0.0|100
0|2021-11-01|12801.0|0|12801.0|0|126.0|0|0.0|100
0|2021-11-02|12819.0|0|12819.0|0|126.0|0|0.0|100
0|2021-11-03|12835.0|0|12835.0|0|126.0|0|0.0|100
0|2021-11-04|12853.0|0|12853.0|0|126.0|0|0.0|100
0|2021-11-05|12882.0|0|12882.0|0|126.0|0|0.0|100
0|2021-11-06|12882.0|0|12882.0|0|126.0|0|0.0|100
0|2021-11-07|12882.0|0|12882.0|0|126.0|0|0.0|100
0|2021-11-08|12918.0|0|12918.0|0|126.0|0|0.0|100
0|2021-11-09|12943.0|0|12943.0|0|127.0|0|0.0|100
0|2021-11-10|12943.0|0|12966.0|0|127.0|0|0.0|100
0|2021-11-11|12966.0|0|12966.0|0|127.0|0|0.0|100
0|2021-11-12|12995.0|0|12995.0|0|130.0|0|0.0|100
0|2021-11-13|12995.0|0|12995.0|0|130.0|0|0.0|100
0|2021-11-14|12995.0|0|12995.0|0|130.0|0|0.0|100
0|2021-11-15|13022.0|0|13022.0|0|133.0|0|0.0|100
0|2021-11-16|13060.0|0|13060.0|0|133.0|0|0.0|100
0|2021-11-17|13069.0|0|13069.0|0|135.0|0|0.0|100
0|2021-11-18|13075.0|0|13075.0|0|138.0|0|0.0|100
0|2021-11-19|13066.0|0|13066.0|0|149.0|0|0.0|100
0|2021-11-20|13066.0|0|13066.0|0|149.0|0|0.0|100
0|2021-11-21|13066.0|0|13066.0|0|149.0|0|0.0|100
0|2021-11-22|13078.0|0|13078.0|0|151.0|0|0.0|100
0|2021-11-23|13108.0|0|13108.0|0|152.0|0|0.0|100
0|2021-11-24|13135.0|0|13135.0|0|153.0|0|0.0|100
0|2021-11-25|13135.0|0|13135.0|0|153.0|0|0.0|100
0|2021-11-26|13135.0|0|13135.0|0|153.0|0|0.0|100
0|2021-11-27|13135.0|0|13135.0|0|153.0|0|0.0|100
0|2021-11-28|13135.0|0|13135.0|0|153.0|0|0.0|100
0|2021-11-29|13148.0|0|13148.0|0|156.0|0|0.0|100
0|2021-11-30|13198.0|0|13198.0|0|156.0|0|0.0|100
0|2021-12-01|13269.0|0|13269.0|0|156.0|0|0.0|100
0|2021-12-02|13269.0|0|13296.0|0|156.0|0|0.0|100
0|2021-12-03|13327.0|0|13327.0|0|159.0|0|0.0|100
0|2021-12-04|13327.0|0|13327.0|0|159.0|0|0.0|100
0|2021-12-05|13327.0|0|13327.0|0|159.0|0|0.0|100
0|2021-12-06|13364.0|0|13364.0|0|163.0|0|0.0|100
0|2021-12-07|13404.0|0|13404.0|0|164.0|0|0.0|100
0|2021-12-08|13461.0|0|13461.0|0|166.0|0|0.0|100
0|2021-12-09|13489.0|0|13489.0|0|168.0|0|0.0|100
0|2021-12-10|13515.0|0|13515.0|0|168.0|0|0.0|100
0|2021-12-11|13515.0|0|13515.0|0|168.0|0|0.0|100
0|2021-12-12|13515.0|0|13515.0|0|168.0|0|0.0|100
0|2021-12-13|13558.0|0|13558.0|0|171.0|0|0.0|100
0|2021-12-14|13558.0|0|13609.0|0|171.0|0|0.0|100
0|2021-12-15|13669.0|0|13669.0|0|171.0|0|0.0|100
0|2021-12-16|13686.0|0|13686.0|0|171.0|0|0.0|100
0|2021-12-17|13705.0|0|13705.0|0|173.0|0|0.0|100
