|dates|Milwaukee_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Milwaukee_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Milwaukee_Wisconsin_UnitedStates.Male_Total_Population.data|Milwaukee_Wisconsin_UnitedStates.Male_Total_Population.missing|Milwaukee_Wisconsin_UnitedStates.Female_Total_Population.data|Milwaukee_Wisconsin_UnitedStates.Female_Total_Population.missing|Milwaukee_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Milwaukee_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-18|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-19|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-20|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-21|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-22|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-23|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-24|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-25|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-26|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-27|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-28|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-29|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-30|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-10-31|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-01|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-02|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-03|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-04|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-05|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-06|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-07|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-08|129003.0|0|459121.0|0|489080.0|0|227422.0|0
0|2021-11-09|129003.0|0|459121.0|0|489080.0|0|227422.0|0
