|dates|Blair_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Blair_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Blair_Pennsylvania_UnitedStates.Male_Total_Population.data|Blair_Pennsylvania_UnitedStates.Male_Total_Population.missing|Blair_Pennsylvania_UnitedStates.Female_Total_Population.data|Blair_Pennsylvania_UnitedStates.Female_Total_Population.missing|Blair_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Blair_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-18|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-19|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-20|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-21|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-22|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-23|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-24|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-25|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-26|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-27|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-28|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-29|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-30|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-10-31|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-01|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-02|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-03|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-04|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-05|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-06|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-07|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-08|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-09|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-10|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-11|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-12|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-13|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-14|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-15|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-16|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-17|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-18|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-19|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-20|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-21|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-22|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-23|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-24|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-25|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-26|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-27|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-28|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-29|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-11-30|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-01|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-02|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-03|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-04|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-05|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-06|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-07|25445.0|0|59979.0|0|62513.0|0|25017.0|0
0|2021-12-08|25445.0|0|59979.0|0|62513.0|0|25017.0|0
