|dates|Bucks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Bucks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Bucks_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.data|Bucks_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.missing|Bucks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Bucks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Bucks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Bucks_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|1404.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|1409.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|1409.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|1413.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|1414.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|1416.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|1419.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|1419.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|1419.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|1421.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|1423.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|1424.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|1426.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|1427.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|1427.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|1427.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|1429.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|1433.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|1436.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|1438.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|1438.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|1438.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|1438.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|1439.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|1448.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|1450.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|1450.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|1451.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|1454.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|1454.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|1454.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|1460.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|1463.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|1466.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|1467.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|1467.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|1467.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|1468.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|1474.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|1476.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|1476.0|0|0.0|100|0.0|100
0|2021-11-27|0.0|100|1476.0|0|0.0|100|0.0|100
0|2021-11-28|0.0|100|1477.0|0|0.0|100|0.0|100
