|dates|Hall_Georgia_UnitedStates.JHU_ConfirmedCases.data|Hall_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Hall_Georgia_UnitedStates.NYT_ConfirmedCases.data|Hall_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Hall_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Hall_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Hall_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Hall_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|37376.0|0|37699.0|0|614.0|0|0.0|100
0|2021-10-18|37472.0|0|37773.0|0|616.0|0|0.0|100
0|2021-10-19|37541.0|0|37842.0|0|619.0|0|0.0|100
0|2021-10-20|37598.0|0|37899.0|0|624.0|0|0.0|100
0|2021-10-21|37662.0|0|37963.0|0|628.0|0|0.0|100
0|2021-10-22|37726.0|0|38027.0|0|630.0|0|0.0|100
0|2021-10-23|37726.0|0|38027.0|0|630.0|0|0.0|100
0|2021-10-24|37726.0|0|38027.0|0|630.0|0|0.0|100
0|2021-10-25|37806.0|0|38105.0|0|633.0|0|0.0|100
0|2021-10-26|37848.0|0|38147.0|0|634.0|0|0.0|100
0|2021-10-27|37893.0|0|38192.0|0|635.0|0|0.0|100
0|2021-10-28|37942.0|0|38241.0|0|636.0|0|0.0|100
0|2021-10-29|37972.0|0|38271.0|0|639.0|0|0.0|100
0|2021-10-30|37972.0|0|38271.0|0|639.0|0|0.0|100
0|2021-10-31|37972.0|0|38271.0|0|639.0|0|0.0|100
0|2021-11-01|38055.0|0|38319.0|0|640.0|0|0.0|100
0|2021-11-02|38086.0|0|38350.0|0|641.0|0|0.0|100
0|2021-11-03|38119.0|0|38383.0|0|641.0|0|0.0|100
0|2021-11-04|38147.0|0|38411.0|0|641.0|0|0.0|100
0|2021-11-05|38181.0|0|38445.0|0|647.0|0|0.0|100
0|2021-11-06|38181.0|0|38445.0|0|647.0|0|0.0|100
0|2021-11-07|38181.0|0|38445.0|0|647.0|0|0.0|100
0|2021-11-08|38181.0|0|38448.0|0|647.0|0|0.0|100
0|2021-11-09|38293.0|0|38560.0|0|653.0|0|0.0|100
0|2021-11-10|38293.0|0|38624.0|0|653.0|0|0.0|100
0|2021-11-11|38357.0|0|38624.0|0|655.0|0|0.0|100
0|2021-11-12|38421.0|0|38688.0|0|655.0|0|0.0|100
0|2021-11-13|38421.0|0|38688.0|0|655.0|0|0.0|100
0|2021-11-14|38421.0|0|38688.0|0|655.0|0|0.0|100
0|2021-11-15|38504.0|0|38764.0|0|656.0|0|0.0|100
0|2021-11-16|38577.0|0|38837.0|0|656.0|0|0.0|100
0|2021-11-17|38631.0|0|38891.0|0|662.0|0|0.0|100
0|2021-11-18|38677.0|0|38937.0|0|663.0|0|0.0|100
0|2021-11-19|38724.0|0|38984.0|0|663.0|0|0.0|100
0|2021-11-20|38724.0|0|38984.0|0|663.0|0|0.0|100
0|2021-11-21|38724.0|0|38984.0|0|663.0|0|0.0|100
0|2021-11-22|38785.0|0|39044.0|0|664.0|0|0.0|100
0|2021-11-23|38803.0|0|39062.0|0|665.0|0|0.0|100
0|2021-11-24|38838.0|0|39097.0|0|667.0|0|0.0|100
0|2021-11-25|38838.0|0|39097.0|0|667.0|0|0.0|100
0|2021-11-26|38838.0|0|39097.0|0|667.0|0|0.0|100
0|2021-11-27|38838.0|0|39097.0|0|667.0|0|0.0|100
0|2021-11-28|38838.0|0|39097.0|0|667.0|0|0.0|100
0|2021-11-29|38978.0|0|39237.0|0|670.0|0|0.0|100
0|2021-11-30|39035.0|0|39298.0|0|671.0|0|0.0|100
0|2021-12-01|39093.0|0|39356.0|0|674.0|0|0.0|100
0|2021-12-02|39093.0|0|39401.0|0|674.0|0|0.0|100
0|2021-12-03|39190.0|0|39453.0|0|677.0|0|0.0|100
0|2021-12-04|39190.0|0|39453.0|0|677.0|0|0.0|100
0|2021-12-05|39190.0|0|39453.0|0|677.0|0|0.0|100
0|2021-12-06|39289.0|0|39552.0|0|677.0|0|0.0|100
0|2021-12-07|39334.0|0|39597.0|0|677.0|0|0.0|100
0|2021-12-08|39414.0|0|39677.0|0|676.0|0|0.0|100
0|2021-12-09|39452.0|0|39715.0|0|682.0|0|0.0|100
0|2021-12-10|39519.0|0|39782.0|0|684.0|0|0.0|100
0|2021-12-11|39519.0|0|39782.0|0|684.0|0|0.0|100
0|2021-12-12|39519.0|0|39782.0|0|684.0|0|0.0|100
0|2021-12-13|39622.0|0|39889.0|0|685.0|0|0.0|100
0|2021-12-14|39622.0|0|39943.0|0|685.0|0|0.0|100
0|2021-12-15|39730.0|0|39997.0|0|685.0|0|0.0|100
0|2021-12-16|39764.0|0|40031.0|0|685.0|0|0.0|100
0|2021-12-17|39818.0|0|40085.0|0|691.0|0|0.0|100
0|2021-12-18|39818.0|0|40085.0|0|691.0|0|0.0|100
0|2021-12-19|39818.0|0|40085.0|0|691.0|0|0.0|100
0|2021-12-20|39944.0|0|40206.0|0|692.0|0|0.0|100
0|2021-12-21|40010.0|0|40272.0|0|692.0|0|0.0|100
0|2021-12-22|40089.0|0|40351.0|0|692.0|0|0.0|100
0|2021-12-23|40238.0|0|40500.0|0|694.0|0|0.0|100
0|2021-12-24|40366.0|0|40628.0|0|695.0|0|0.0|100
0|2021-12-25|40366.0|0|40628.0|0|695.0|0|0.0|100
