|dates|Fulton_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Fulton_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Fulton_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Fulton_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Fulton_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Fulton_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Fulton_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Fulton_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|728.0|0|728.0|0|16.0|0|0.0|100
0|2021-10-18|732.0|0|732.0|0|16.0|0|0.0|100
0|2021-10-19|735.0|0|735.0|0|16.0|0|0.0|100
0|2021-10-20|734.0|0|734.0|0|16.0|0|0.0|100
0|2021-10-21|736.0|0|736.0|0|16.0|0|0.0|100
0|2021-10-22|737.0|0|737.0|0|16.0|0|0.0|100
0|2021-10-23|737.0|0|737.0|0|16.0|0|0.0|100
0|2021-10-24|737.0|0|737.0|0|16.0|0|0.0|100
0|2021-10-25|739.0|0|739.0|0|16.0|0|0.0|100
0|2021-10-26|743.0|0|743.0|0|16.0|0|0.0|100
0|2021-10-27|754.0|0|754.0|0|16.0|0|0.0|100
0|2021-10-28|772.0|0|772.0|0|16.0|0|0.0|100
0|2021-10-29|771.0|0|771.0|0|16.0|0|0.0|100
0|2021-10-30|771.0|0|771.0|0|16.0|0|0.0|100
0|2021-10-31|771.0|0|771.0|0|16.0|0|0.0|100
0|2021-11-01|772.0|0|772.0|0|16.0|0|0.0|100
0|2021-11-02|774.0|0|774.0|0|16.0|0|0.0|100
0|2021-11-03|774.0|0|774.0|0|16.0|0|0.0|100
0|2021-11-04|774.0|0|774.0|0|16.0|0|0.0|100
0|2021-11-05|774.0|0|774.0|0|16.0|0|0.0|100
0|2021-11-06|774.0|0|774.0|0|16.0|0|0.0|100
0|2021-11-07|774.0|0|774.0|0|16.0|0|0.0|100
0|2021-11-08|776.0|0|776.0|0|17.0|0|0.0|100
