|dates|Mayaguez_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|Mayaguez_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|Mayaguez_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|Mayaguez_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|Mayaguez_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|Mayaguez_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|Mayaguez_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|Mayaguez_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-02|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-03|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-04|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-05|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-06|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-07|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-08|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-09|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-10|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-11|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-12|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-13|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-14|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-15|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-16|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-17|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
0|2020-01-18|18167.5|0|2539.5|0|12.263968706234607|0|20707.0|0
