|dates|Graham_Kansas_UnitedStates.JHU_ConfirmedCases.data|Graham_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Graham_Kansas_UnitedStates.NYT_ConfirmedCases.data|Graham_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Graham_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Graham_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Graham_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Graham_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|318.0|0|319.0|0|10.0|0|0.0|100
0|2021-10-18|318.0|0|319.0|0|10.0|0|0.0|100
0|2021-10-19|318.0|0|319.0|0|10.0|0|0.0|100
0|2021-10-20|318.0|0|319.0|0|10.0|0|0.0|100
0|2021-10-21|318.0|0|319.0|0|10.0|0|0.0|100
0|2021-10-22|319.0|0|319.0|0|11.0|0|0.0|100
0|2021-10-23|319.0|0|319.0|0|11.0|0|0.0|100
0|2021-10-24|319.0|0|319.0|0|11.0|0|0.0|100
0|2021-10-25|321.0|0|321.0|0|11.0|0|0.0|100
0|2021-10-26|321.0|0|321.0|0|11.0|0|0.0|100
0|2021-10-27|322.0|0|322.0|0|11.0|0|0.0|100
0|2021-10-28|322.0|0|322.0|0|11.0|0|0.0|100
0|2021-10-29|322.0|0|322.0|0|11.0|0|0.0|100
0|2021-10-30|322.0|0|322.0|0|11.0|0|0.0|100
0|2021-10-31|322.0|0|322.0|0|11.0|0|0.0|100
0|2021-11-01|323.0|0|323.0|0|11.0|0|0.0|100
0|2021-11-02|323.0|0|323.0|0|11.0|0|0.0|100
0|2021-11-03|324.0|0|324.0|0|11.0|0|0.0|100
0|2021-11-04|324.0|0|324.0|0|11.0|0|0.0|100
0|2021-11-05|324.0|0|324.0|0|12.0|0|0.0|100
0|2021-11-06|324.0|0|324.0|0|12.0|0|0.0|100
0|2021-11-07|324.0|0|324.0|0|12.0|0|0.0|100
0|2021-11-08|324.0|0|324.0|0|12.0|0|0.0|100
0|2021-11-09|324.0|0|324.0|0|12.0|0|0.0|100
0|2021-11-10|324.0|0|325.0|0|12.0|0|0.0|100
0|2021-11-11|325.0|0|325.0|0|12.0|0|0.0|100
0|2021-11-12|330.0|0|330.0|0|12.0|0|0.0|100
0|2021-11-13|330.0|0|330.0|0|12.0|0|0.0|100
0|2021-11-14|330.0|0|330.0|0|12.0|0|0.0|100
0|2021-11-15|330.0|0|330.0|0|12.0|0|0.0|100
0|2021-11-16|330.0|0|330.0|0|12.0|0|0.0|100
0|2021-11-17|334.0|0|334.0|0|12.0|0|0.0|100
0|2021-11-18|334.0|0|334.0|0|12.0|0|0.0|100
0|2021-11-19|335.0|0|335.0|0|12.0|0|0.0|100
0|2021-11-20|335.0|0|335.0|0|12.0|0|0.0|100
0|2021-11-21|335.0|0|335.0|0|12.0|0|0.0|100
0|2021-11-22|336.0|0|336.0|0|12.0|0|0.0|100
0|2021-11-23|336.0|0|336.0|0|12.0|0|0.0|100
0|2021-11-24|336.0|0|337.0|0|12.0|0|0.0|100
0|2021-11-25|337.0|0|337.0|0|12.0|0|0.0|100
0|2021-11-26|337.0|0|337.0|0|12.0|0|0.0|100
0|2021-11-27|337.0|0|337.0|0|12.0|0|0.0|100
