|dates|Mason_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Mason_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Mason_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Mason_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Mason_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Mason_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Mason_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Mason_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2489.0|0|2489.0|0|62.0|0|0.0|100
0|2021-10-18|2502.0|0|2502.0|0|65.0|0|0.0|100
0|2021-10-19|2512.0|0|2512.0|0|65.0|0|0.0|100
0|2021-10-20|2518.0|0|2518.0|0|66.0|0|0.0|100
0|2021-10-21|2533.0|0|2533.0|0|66.0|0|0.0|100
0|2021-10-22|2534.0|0|2534.0|0|66.0|0|0.0|100
0|2021-10-23|2534.0|0|2534.0|0|66.0|0|0.0|100
0|2021-10-24|2534.0|0|2534.0|0|66.0|0|0.0|100
0|2021-10-25|2550.0|0|2550.0|0|67.0|0|0.0|100
0|2021-10-26|2551.0|0|2551.0|0|67.0|0|0.0|100
0|2021-10-27|2551.0|0|2551.0|0|67.0|0|0.0|100
0|2021-10-28|2566.0|0|2566.0|0|67.0|0|0.0|100
0|2021-10-29|2575.0|0|2575.0|0|68.0|0|0.0|100
0|2021-10-30|2575.0|0|2575.0|0|68.0|0|0.0|100
0|2021-10-31|2575.0|0|2575.0|0|68.0|0|0.0|100
0|2021-11-01|2581.0|0|2581.0|0|68.0|0|0.0|100
0|2021-11-02|2585.0|0|2585.0|0|68.0|0|0.0|100
0|2021-11-03|2588.0|0|2588.0|0|68.0|0|0.0|100
0|2021-11-04|2598.0|0|2598.0|0|68.0|0|0.0|100
0|2021-11-05|2600.0|0|2600.0|0|68.0|0|0.0|100
0|2021-11-06|2600.0|0|2600.0|0|68.0|0|0.0|100
0|2021-11-07|2600.0|0|2600.0|0|68.0|0|0.0|100
0|2021-11-08|2604.0|0|2604.0|0|68.0|0|0.0|100
0|2021-11-09|2613.0|0|2613.0|0|68.0|0|0.0|100
0|2021-11-10|2618.0|0|2618.0|0|70.0|0|0.0|100
0|2021-11-11|2618.0|0|2618.0|0|70.0|0|0.0|100
0|2021-11-12|2629.0|0|2629.0|0|70.0|0|0.0|100
0|2021-11-13|2629.0|0|2629.0|0|70.0|0|0.0|100
0|2021-11-14|2629.0|0|2629.0|0|70.0|0|0.0|100
0|2021-11-15|2638.0|0|2638.0|0|71.0|0|0.0|100
0|2021-11-16|2648.0|0|2648.0|0|71.0|0|0.0|100
0|2021-11-17|2655.0|0|2655.0|0|71.0|0|0.0|100
0|2021-11-18|2661.0|0|2661.0|0|71.0|0|0.0|100
0|2021-11-19|2671.0|0|2671.0|0|71.0|0|0.0|100
0|2021-11-20|2671.0|0|2671.0|0|71.0|0|0.0|100
0|2021-11-21|2671.0|0|2671.0|0|71.0|0|0.0|100
0|2021-11-22|2686.0|0|2686.0|0|71.0|0|0.0|100
0|2021-11-23|2695.0|0|2695.0|0|72.0|0|0.0|100
0|2021-11-24|2697.0|0|2697.0|0|72.0|0|0.0|100
0|2021-11-25|2697.0|0|2697.0|0|72.0|0|0.0|100
0|2021-11-26|2697.0|0|2697.0|0|72.0|0|0.0|100
0|2021-11-27|2697.0|0|2697.0|0|72.0|0|0.0|100
0|2021-11-28|2697.0|0|2697.0|0|72.0|0|0.0|100
0|2021-11-29|2721.0|0|2721.0|0|73.0|0|0.0|100
0|2021-11-30|2741.0|0|2741.0|0|73.0|0|0.0|100
0|2021-12-01|2752.0|0|2752.0|0|73.0|0|0.0|100
0|2021-12-02|2757.0|0|2757.0|0|74.0|0|0.0|100
0|2021-12-03|2773.0|0|2773.0|0|74.0|0|0.0|100
0|2021-12-04|2773.0|0|2773.0|0|74.0|0|0.0|100
0|2021-12-05|2773.0|0|2773.0|0|74.0|0|0.0|100
