|dates|Nassau_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Nassau_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Nassau_NewYork_UnitedStates.Male_Total_Population.data|Nassau_NewYork_UnitedStates.Male_Total_Population.missing|Nassau_NewYork_UnitedStates.Female_Total_Population.data|Nassau_NewYork_UnitedStates.Female_Total_Population.missing|Nassau_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Nassau_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-18|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-19|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-20|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-21|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-22|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-23|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-24|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-25|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-26|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-27|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-28|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-29|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-30|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-10-31|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-01|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-02|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-03|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-04|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-05|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-06|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-07|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-08|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-09|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-10|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-11|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-12|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-13|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-14|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-15|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-16|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-17|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-18|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-19|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-20|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-21|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-22|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-23|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-24|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-25|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-26|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-27|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-28|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-29|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-11-30|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-12-01|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-12-02|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-12-03|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-12-04|241283.0|0|661427.0|0|696916.0|0|291496.0|0
0|2021-12-05|241283.0|0|661427.0|0|696916.0|0|291496.0|0
