|dates|Hancock_Indiana_UnitedStates.JHU_ConfirmedCases.data|Hancock_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Hancock_Indiana_UnitedStates.NYT_ConfirmedCases.data|Hancock_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Hancock_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Hancock_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Hancock_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Hancock_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11597.0|0|11624.0|0|175.0|0|0.0|100
0|2021-10-18|11630.0|0|11657.0|0|175.0|0|0.0|100
0|2021-10-19|11639.0|0|11666.0|0|175.0|0|0.0|100
0|2021-10-20|11682.0|0|11709.0|0|175.0|0|0.0|100
0|2021-10-21|11709.0|0|11736.0|0|175.0|0|0.0|100
0|2021-10-22|11728.0|0|11755.0|0|176.0|0|0.0|100
0|2021-10-23|11728.0|0|11755.0|0|176.0|0|0.0|100
0|2021-10-24|11728.0|0|11755.0|0|176.0|0|0.0|100
0|2021-10-25|11773.0|0|11800.0|0|176.0|0|0.0|100
0|2021-10-26|11788.0|0|11815.0|0|177.0|0|0.0|100
0|2021-10-27|11802.0|0|11830.0|0|177.0|0|0.0|100
0|2021-10-28|11815.0|0|11843.0|0|178.0|0|0.0|100
0|2021-10-29|11836.0|0|11864.0|0|179.0|0|0.0|100
0|2021-10-30|11836.0|0|11864.0|0|179.0|0|0.0|100
0|2021-10-31|11836.0|0|11864.0|0|179.0|0|0.0|100
0|2021-11-01|11877.0|0|11905.0|0|179.0|0|0.0|100
0|2021-11-02|11878.0|0|11906.0|0|179.0|0|0.0|100
0|2021-11-03|11905.0|0|11932.0|0|179.0|0|0.0|100
0|2021-11-04|11933.0|0|11961.0|0|179.0|0|0.0|100
0|2021-11-05|11953.0|0|11981.0|0|179.0|0|0.0|100
0|2021-11-06|11953.0|0|11981.0|0|179.0|0|0.0|100
0|2021-11-07|11953.0|0|11981.0|0|179.0|0|0.0|100
0|2021-11-08|12002.0|0|12030.0|0|179.0|0|0.0|100
0|2021-11-09|12030.0|0|12058.0|0|179.0|0|0.0|100
0|2021-11-10|12082.0|0|12110.0|0|179.0|0|0.0|100
0|2021-11-11|12146.0|0|12174.0|0|179.0|0|0.0|100
0|2021-11-12|12184.0|0|12212.0|0|180.0|0|0.0|100
0|2021-11-13|12184.0|0|12212.0|0|180.0|0|0.0|100
0|2021-11-14|12184.0|0|12212.0|0|180.0|0|0.0|100
0|2021-11-15|12288.0|0|12316.0|0|180.0|0|0.0|100
0|2021-11-16|12287.0|0|12315.0|0|181.0|0|0.0|100
0|2021-11-17|12342.0|0|12370.0|0|183.0|0|0.0|100
