|dates|Gordon_Georgia_UnitedStates.JHU_ConfirmedCases.data|Gordon_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Gordon_Georgia_UnitedStates.NYT_ConfirmedCases.data|Gordon_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Gordon_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Gordon_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Gordon_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Gordon_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11127.0|0|11221.0|0|187.0|0|0.0|100
0|2021-10-18|11183.0|0|11278.0|0|188.0|0|0.0|100
0|2021-10-19|11189.0|0|11284.0|0|191.0|0|0.0|100
0|2021-10-20|11209.0|0|11304.0|0|191.0|0|0.0|100
0|2021-10-21|11212.0|0|11307.0|0|191.0|0|0.0|100
0|2021-10-22|11217.0|0|11312.0|0|192.0|0|0.0|100
0|2021-10-23|11217.0|0|11312.0|0|192.0|0|0.0|100
0|2021-10-24|11217.0|0|11312.0|0|192.0|0|0.0|100
0|2021-10-25|11236.0|0|11333.0|0|192.0|0|0.0|100
0|2021-10-26|11241.0|0|11338.0|0|193.0|0|0.0|100
0|2021-10-27|11251.0|0|11348.0|0|194.0|0|0.0|100
0|2021-10-28|11259.0|0|11356.0|0|194.0|0|0.0|100
0|2021-10-29|11264.0|0|11361.0|0|194.0|0|0.0|100
0|2021-10-30|11264.0|0|11361.0|0|194.0|0|0.0|100
0|2021-10-31|11264.0|0|11361.0|0|194.0|0|0.0|100
0|2021-11-01|11288.0|0|11387.0|0|195.0|0|0.0|100
0|2021-11-02|11295.0|0|11394.0|0|195.0|0|0.0|100
0|2021-11-03|11305.0|0|11404.0|0|196.0|0|0.0|100
0|2021-11-04|11318.0|0|11417.0|0|197.0|0|0.0|100
0|2021-11-05|11325.0|0|11424.0|0|198.0|0|0.0|100
0|2021-11-06|11325.0|0|11424.0|0|198.0|0|0.0|100
0|2021-11-07|11325.0|0|11424.0|0|198.0|0|0.0|100
0|2021-11-08|11325.0|0|11425.0|0|198.0|0|0.0|100
0|2021-11-09|11349.0|0|11449.0|0|199.0|0|0.0|100
0|2021-11-10|11350.0|0|11450.0|0|200.0|0|0.0|100
0|2021-11-11|11350.0|0|11450.0|0|200.0|0|0.0|100
0|2021-11-12|11367.0|0|11467.0|0|200.0|0|0.0|100
0|2021-11-13|11367.0|0|11467.0|0|200.0|0|0.0|100
0|2021-11-14|11367.0|0|11467.0|0|200.0|0|0.0|100
0|2021-11-15|11387.0|0|11487.0|0|200.0|0|0.0|100
0|2021-11-16|11393.0|0|11493.0|0|200.0|0|0.0|100
0|2021-11-17|11409.0|0|11509.0|0|200.0|0|0.0|100
0|2021-11-18|11422.0|0|11522.0|0|200.0|0|0.0|100
0|2021-11-19|11438.0|0|11538.0|0|202.0|0|0.0|100
0|2021-11-20|11438.0|0|11538.0|0|202.0|0|0.0|100
0|2021-11-21|11438.0|0|11538.0|0|202.0|0|0.0|100
0|2021-11-22|11450.0|0|11544.0|0|202.0|0|0.0|100
0|2021-11-23|11452.0|0|11546.0|0|202.0|0|0.0|100
0|2021-11-24|11458.0|0|11552.0|0|202.0|0|0.0|100
0|2021-11-25|11458.0|0|11552.0|0|202.0|0|0.0|100
0|2021-11-26|11458.0|0|11552.0|0|202.0|0|0.0|100
0|2021-11-27|11458.0|0|11552.0|0|202.0|0|0.0|100
0|2021-11-28|11458.0|0|11552.0|0|202.0|0|0.0|100
0|2021-11-29|11470.0|0|11564.0|0|202.0|0|0.0|100
0|2021-11-30|11476.0|0|11568.0|0|202.0|0|0.0|100
0|2021-12-01|11489.0|0|11581.0|0|202.0|0|0.0|100
