|dates|Weld_Colorado_UnitedStates.JHU_ConfirmedCases.data|Weld_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Weld_Colorado_UnitedStates.NYT_ConfirmedCases.data|Weld_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Weld_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Weld_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Weld_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Weld_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|44381.0|0|44488.0|0|430.0|0|0.0|100
0|2021-10-18|44800.0|0|44879.0|0|433.0|0|0.0|100
0|2021-10-19|44959.0|0|45031.0|0|434.0|0|0.0|100
0|2021-10-20|45129.0|0|45291.0|0|435.0|0|0.0|100
0|2021-10-21|45411.0|0|45545.0|0|438.0|0|0.0|100
0|2021-10-22|45666.0|0|45764.0|0|440.0|0|0.0|100
0|2021-10-23|45666.0|0|45764.0|0|440.0|0|0.0|100
0|2021-10-24|45666.0|0|45764.0|0|440.0|0|0.0|100
0|2021-10-25|46213.0|0|46296.0|0|448.0|0|0.0|100
0|2021-10-26|46400.0|0|46487.0|0|451.0|0|0.0|100
0|2021-10-27|46671.0|0|46743.0|0|453.0|0|0.0|100
0|2021-10-28|46885.0|0|46980.0|0|454.0|0|0.0|100
0|2021-10-29|47103.0|0|47208.0|0|455.0|0|0.0|100
0|2021-10-30|47103.0|0|47208.0|0|455.0|0|0.0|100
0|2021-10-31|47103.0|0|47208.0|0|455.0|0|0.0|100
0|2021-11-01|47625.0|0|47694.0|0|460.0|0|0.0|100
0|2021-11-02|47807.0|0|47892.0|0|463.0|0|0.0|100
0|2021-11-03|48038.0|0|48148.0|0|464.0|0|0.0|100
0|2021-11-04|48307.0|0|48366.0|0|469.0|0|0.0|100
0|2021-11-05|48514.0|0|48612.0|0|473.0|0|0.0|100
0|2021-11-06|48514.0|0|48612.0|0|473.0|0|0.0|100
0|2021-11-07|48514.0|0|48612.0|0|473.0|0|0.0|100
0|2021-11-08|49095.0|0|49165.0|0|483.0|0|0.0|100
0|2021-11-09|49219.0|0|49327.0|0|482.0|0|0.0|100
0|2021-11-10|49219.0|0|49551.0|0|482.0|0|0.0|100
0|2021-11-11|49701.0|0|49701.0|0|485.0|0|0.0|100
0|2021-11-12|49901.0|0|49990.0|0|488.0|0|0.0|100
0|2021-11-13|49901.0|0|49990.0|0|488.0|0|0.0|100
0|2021-11-14|49901.0|0|49990.0|0|488.0|0|0.0|100
0|2021-11-15|50300.0|0|50428.0|0|493.0|0|0.0|100
0|2021-11-16|50507.0|0|50616.0|0|499.0|0|0.0|100
0|2021-11-17|50794.0|0|50889.0|0|504.0|0|0.0|100
0|2021-11-18|51067.0|0|51165.0|0|509.0|0|0.0|100
0|2021-11-19|51251.0|0|51354.0|0|510.0|0|0.0|100
0|2021-11-20|51251.0|0|51354.0|0|510.0|0|0.0|100
0|2021-11-21|51251.0|0|51354.0|0|510.0|0|0.0|100
0|2021-11-22|51667.0|0|51760.0|0|512.0|0|0.0|100
0|2021-11-23|51845.0|0|51904.0|0|518.0|0|0.0|100
0|2021-11-24|52021.0|0|52077.0|0|522.0|0|0.0|100
0|2021-11-25|52225.0|0|52225.0|0|525.0|0|0.0|100
0|2021-11-26|52291.0|0|52225.0|0|527.0|0|0.0|100
0|2021-11-27|52291.0|0|52225.0|0|527.0|0|0.0|100
