|dates|FortBend_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|FortBend_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|FortBend_Texas_UnitedStates.Male_Total_Population.data|FortBend_Texas_UnitedStates.Male_Total_Population.missing|FortBend_Texas_UnitedStates.Female_Total_Population.data|FortBend_Texas_UnitedStates.Female_Total_Population.missing|FortBend_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|FortBend_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-18|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-19|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-20|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-21|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-22|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-23|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-24|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-25|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-26|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-27|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-28|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-29|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-30|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-10-31|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-01|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-02|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-03|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-04|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-05|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-06|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-07|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-08|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-09|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-10|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-11|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-12|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-13|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-14|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-15|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-16|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-17|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-18|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-19|87128.0|0|386599.0|0|401259.0|0|216504.0|0
0|2021-11-20|87128.0|0|386599.0|0|401259.0|0|216504.0|0
