|dates|Jennings_Indiana_UnitedStates.JHU_ConfirmedCases.data|Jennings_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Jennings_Indiana_UnitedStates.NYT_ConfirmedCases.data|Jennings_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Jennings_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Jennings_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Jennings_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Jennings_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3832.0|0|3836.0|0|60.0|0|0.0|100
0|2021-10-18|3851.0|0|3855.0|0|60.0|0|0.0|100
0|2021-10-19|3852.0|0|3856.0|0|60.0|0|0.0|100
0|2021-10-20|3859.0|0|3863.0|0|61.0|0|0.0|100
0|2021-10-21|3866.0|0|3870.0|0|61.0|0|0.0|100
0|2021-10-22|3873.0|0|3877.0|0|61.0|0|0.0|100
0|2021-10-23|3873.0|0|3877.0|0|61.0|0|0.0|100
0|2021-10-24|3873.0|0|3877.0|0|61.0|0|0.0|100
0|2021-10-25|3902.0|0|3907.0|0|62.0|0|0.0|100
0|2021-10-26|3907.0|0|3912.0|0|63.0|0|0.0|100
0|2021-10-27|3925.0|0|3930.0|0|63.0|0|0.0|100
0|2021-10-28|3935.0|0|3940.0|0|63.0|0|0.0|100
0|2021-10-29|3950.0|0|3955.0|0|63.0|0|0.0|100
0|2021-10-30|3950.0|0|3955.0|0|63.0|0|0.0|100
0|2021-10-31|3950.0|0|3955.0|0|63.0|0|0.0|100
0|2021-11-01|3976.0|0|3981.0|0|63.0|0|0.0|100
0|2021-11-02|3979.0|0|3984.0|0|64.0|0|0.0|100
0|2021-11-03|3992.0|0|3997.0|0|64.0|0|0.0|100
0|2021-11-04|4001.0|0|4006.0|0|64.0|0|0.0|100
0|2021-11-05|4012.0|0|4017.0|0|64.0|0|0.0|100
0|2021-11-06|4012.0|0|4017.0|0|64.0|0|0.0|100
0|2021-11-07|4012.0|0|4017.0|0|64.0|0|0.0|100
0|2021-11-08|4039.0|0|4044.0|0|64.0|0|0.0|100
0|2021-11-09|4042.0|0|4047.0|0|64.0|0|0.0|100
0|2021-11-10|4042.0|0|4062.0|0|64.0|0|0.0|100
0|2021-11-11|4123.0|0|4128.0|0|65.0|0|0.0|100
0|2021-11-12|4135.0|0|4140.0|0|65.0|0|0.0|100
0|2021-11-13|4135.0|0|4140.0|0|65.0|0|0.0|100
0|2021-11-14|4135.0|0|4140.0|0|65.0|0|0.0|100
0|2021-11-15|4173.0|0|4178.0|0|65.0|0|0.0|100
0|2021-11-16|4184.0|0|4189.0|0|65.0|0|0.0|100
0|2021-11-17|4208.0|0|4213.0|0|65.0|0|0.0|100
0|2021-11-18|4231.0|0|4236.0|0|66.0|0|0.0|100
0|2021-11-19|4251.0|0|4256.0|0|66.0|0|0.0|100
