|dates|Brooke_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Brooke_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Brooke_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Brooke_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Brooke_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Brooke_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Brooke_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Brooke_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2989.0|0|2989.0|0|69.0|0|0.0|100
0|2021-10-18|2991.0|0|2991.0|0|69.0|0|0.0|100
0|2021-10-19|2995.0|0|2995.0|0|69.0|0|0.0|100
0|2021-10-20|2999.0|0|2999.0|0|71.0|0|0.0|100
0|2021-10-21|3010.0|0|3010.0|0|71.0|0|0.0|100
0|2021-10-22|3019.0|0|3019.0|0|71.0|0|0.0|100
0|2021-10-23|3024.0|0|3024.0|0|71.0|0|0.0|100
0|2021-10-24|3032.0|0|3032.0|0|71.0|0|0.0|100
0|2021-10-25|3041.0|0|3041.0|0|71.0|0|0.0|100
0|2021-10-26|3046.0|0|3046.0|0|72.0|0|0.0|100
0|2021-10-27|3057.0|0|3057.0|0|73.0|0|0.0|100
0|2021-10-28|3067.0|0|3067.0|0|73.0|0|0.0|100
0|2021-10-29|3077.0|0|3077.0|0|73.0|0|0.0|100
0|2021-10-30|3084.0|0|3084.0|0|73.0|0|0.0|100
0|2021-10-31|3089.0|0|3089.0|0|73.0|0|0.0|100
0|2021-11-01|3093.0|0|3093.0|0|73.0|0|0.0|100
0|2021-11-02|3095.0|0|3095.0|0|74.0|0|0.0|100
0|2021-11-03|3111.0|0|3111.0|0|74.0|0|0.0|100
0|2021-11-04|3114.0|0|3114.0|0|74.0|0|0.0|100
0|2021-11-05|3125.0|0|3125.0|0|74.0|0|0.0|100
0|2021-11-06|3132.0|0|3132.0|0|74.0|0|0.0|100
0|2021-11-07|3137.0|0|3137.0|0|74.0|0|0.0|100
0|2021-11-08|3140.0|0|3140.0|0|74.0|0|0.0|100
0|2021-11-09|3144.0|0|3144.0|0|74.0|0|0.0|100
0|2021-11-10|3157.0|0|3157.0|0|74.0|0|0.0|100
0|2021-11-11|3167.0|0|3167.0|0|74.0|0|0.0|100
0|2021-11-12|3180.0|0|3180.0|0|74.0|0|0.0|100
0|2021-11-13|3194.0|0|3194.0|0|74.0|0|0.0|100
0|2021-11-14|3196.0|0|3196.0|0|74.0|0|0.0|100
0|2021-11-15|3199.0|0|3199.0|0|74.0|0|0.0|100
0|2021-11-16|3209.0|0|3209.0|0|74.0|0|0.0|100
0|2021-11-17|3220.0|0|3220.0|0|75.0|0|0.0|100
0|2021-11-18|3235.0|0|3235.0|0|75.0|0|0.0|100
0|2021-11-19|3256.0|0|3256.0|0|75.0|0|0.0|100
0|2021-11-20|3266.0|0|3266.0|0|75.0|0|0.0|100
0|2021-11-21|3274.0|0|3274.0|0|75.0|0|0.0|100
0|2021-11-22|3280.0|0|3280.0|0|75.0|0|0.0|100
0|2021-11-23|3296.0|0|3296.0|0|77.0|0|0.0|100
0|2021-11-24|3309.0|0|3309.0|0|78.0|0|0.0|100
0|2021-11-25|3309.0|0|3309.0|0|78.0|0|0.0|100
0|2021-11-26|3309.0|0|3309.0|0|78.0|0|0.0|100
0|2021-11-27|3309.0|0|3309.0|0|78.0|0|0.0|100
0|2021-11-28|3309.0|0|3309.0|0|78.0|0|0.0|100
0|2021-11-29|3342.0|0|3342.0|0|78.0|0|0.0|100
0|2021-11-30|3350.0|0|3350.0|0|78.0|0|0.0|100
0|2021-12-01|3370.0|0|3370.0|0|78.0|0|0.0|100
0|2021-12-02|3388.0|0|3388.0|0|78.0|0|0.0|100
0|2021-12-03|3409.0|0|3409.0|0|78.0|0|0.0|100
0|2021-12-04|3417.0|0|3417.0|0|78.0|0|0.0|100
0|2021-12-05|3428.0|0|3428.0|0|78.0|0|0.0|100
0|2021-12-06|3437.0|0|3437.0|0|79.0|0|0.0|100
0|2021-12-07|3445.0|0|3445.0|0|79.0|0|0.0|100
0|2021-12-08|3449.0|0|3449.0|0|80.0|0|0.0|100
0|2021-12-09|3461.0|0|3461.0|0|80.0|0|0.0|100
0|2021-12-10|3477.0|0|3477.0|0|81.0|0|0.0|100
0|2021-12-11|3499.0|0|3499.0|0|81.0|0|0.0|100
0|2021-12-12|3503.0|0|3503.0|0|81.0|0|0.0|100
0|2021-12-13|3506.0|0|3506.0|0|81.0|0|0.0|100
0|2021-12-14|3506.0|0|3514.0|0|81.0|0|0.0|100
0|2021-12-15|3526.0|0|3526.0|0|82.0|0|0.0|100
0|2021-12-16|3526.0|0|3537.0|0|82.0|0|0.0|100
0|2021-12-17|3543.0|0|3543.0|0|85.0|0|0.0|100
0|2021-12-18|3553.0|0|3553.0|0|85.0|0|0.0|100
0|2021-12-19|3561.0|0|3561.0|0|85.0|0|0.0|100
0|2021-12-20|3570.0|0|3570.0|0|85.0|0|0.0|100
0|2021-12-21|3586.0|0|3586.0|0|85.0|0|0.0|100
0|2021-12-22|3603.0|0|3603.0|0|86.0|0|0.0|100
0|2021-12-23|3605.0|0|3605.0|0|86.0|0|0.0|100
0|2021-12-24|3605.0|0|3605.0|0|86.0|0|0.0|100
0|2021-12-25|3605.0|0|3605.0|0|86.0|0|0.0|100
0|2021-12-26|3605.0|0|3605.0|0|86.0|0|0.0|100
0|2021-12-27|3634.0|0|3634.0|0|86.0|0|0.0|100
0|2021-12-28|3647.0|0|3647.0|0|86.0|0|0.0|100
0|2021-12-29|3659.0|0|3659.0|0|86.0|0|0.0|100
0|2021-12-30|3671.0|0|3671.0|0|86.0|0|0.0|100
0|2021-12-31|3671.0|0|3671.0|0|86.0|0|0.0|100
0|2022-01-01|3671.0|0|3671.0|0|86.0|0|0.0|100
0|2022-01-02|3671.0|0|3671.0|0|86.0|0|0.0|100
0|2022-01-03|3746.0|0|3746.0|0|86.0|0|0.0|100
0|2022-01-04|3778.0|0|3778.0|0|86.0|0|0.0|100
0|2022-01-05|3797.0|0|3797.0|0|86.0|0|0.0|100
0|2022-01-06|3830.0|0|3830.0|0|86.0|0|0.0|100
0|2022-01-07|3916.0|0|3916.0|0|87.0|0|0.0|100
0|2022-01-08|3943.0|0|3943.0|0|87.0|0|0.0|100
0|2022-01-09|3962.0|0|3962.0|0|87.0|0|0.0|100
0|2022-01-10|3989.0|0|3989.0|0|87.0|0|0.0|100
0|2022-01-11|4040.0|0|4040.0|0|87.0|0|0.0|100
0|2022-01-12|4074.0|0|4074.0|0|87.0|0|0.0|100
0|2022-01-13|4074.0|0|4116.0|0|87.0|0|0.0|100
0|2022-01-14|4158.0|0|4158.0|0|87.0|0|0.0|100
0|2022-01-15|4184.0|0|4184.0|0|87.0|0|0.0|100
0|2022-01-16|4204.0|0|4204.0|0|87.0|0|0.0|100
0|2022-01-17|4259.0|0|0.0|100|87.0|0|0.0|100
