|dates|Lee_Illinois_UnitedStates.JHU_ConfirmedCases.data|Lee_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Lee_Illinois_UnitedStates.NYT_ConfirmedCases.data|Lee_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Lee_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4769.0|0|4769.0|0|60.0|0|0.0|100
0|2021-10-18|4780.0|0|4780.0|0|60.0|0|0.0|100
0|2021-10-19|4784.0|0|4784.0|0|60.0|0|0.0|100
0|2021-10-20|4786.0|0|4786.0|0|60.0|0|0.0|100
0|2021-10-21|4789.0|0|4789.0|0|60.0|0|0.0|100
0|2021-10-22|4797.0|0|4797.0|0|60.0|0|0.0|100
0|2021-10-23|4797.0|0|4797.0|0|60.0|0|0.0|100
0|2021-10-24|4797.0|0|4797.0|0|60.0|0|0.0|100
0|2021-10-25|4806.0|0|4806.0|0|62.0|0|0.0|100
0|2021-10-26|4810.0|0|4810.0|0|62.0|0|0.0|100
0|2021-10-27|4819.0|0|4819.0|0|62.0|0|0.0|100
0|2021-10-28|4833.0|0|4833.0|0|62.0|0|0.0|100
0|2021-10-29|4846.0|0|4846.0|0|62.0|0|0.0|100
0|2021-10-30|4846.0|0|4846.0|0|62.0|0|0.0|100
0|2021-10-31|4846.0|0|4846.0|0|62.0|0|0.0|100
0|2021-11-01|4862.0|0|4862.0|0|62.0|0|0.0|100
0|2021-11-02|4872.0|0|4872.0|0|62.0|0|0.0|100
0|2021-11-03|4875.0|0|4875.0|0|62.0|0|0.0|100
0|2021-11-04|4887.0|0|4887.0|0|62.0|0|0.0|100
0|2021-11-05|4896.0|0|4896.0|0|63.0|0|0.0|100
0|2021-11-06|4896.0|0|4896.0|0|63.0|0|0.0|100
0|2021-11-07|4896.0|0|4896.0|0|63.0|0|0.0|100
0|2021-11-08|4914.0|0|4914.0|0|64.0|0|0.0|100
0|2021-11-09|4916.0|0|4916.0|0|64.0|0|0.0|100
0|2021-11-10|4916.0|0|4933.0|0|64.0|0|0.0|100
0|2021-11-11|4933.0|0|4933.0|0|64.0|0|0.0|100
0|2021-11-12|4953.0|0|4953.0|0|64.0|0|0.0|100
0|2021-11-13|4953.0|0|4953.0|0|64.0|0|0.0|100
