|dates|Richmond_Georgia_UnitedStates.JHU_ConfirmedCases.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Richmond_Georgia_UnitedStates.NYT_ConfirmedCases.data|Richmond_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Richmond_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Richmond_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Richmond_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|34658.0|0|34704.0|0|658.0|0|0.0|100
0|2021-10-18|34717.0|0|34764.0|0|665.0|0|0.0|100
0|2021-10-19|34749.0|0|34796.0|0|671.0|0|0.0|100
0|2021-10-20|34802.0|0|34849.0|0|672.0|0|0.0|100
0|2021-10-21|34825.0|0|34872.0|0|676.0|0|0.0|100
0|2021-10-22|34849.0|0|34896.0|0|682.0|0|0.0|100
0|2021-10-23|34849.0|0|34896.0|0|682.0|0|0.0|100
0|2021-10-24|34849.0|0|34896.0|0|682.0|0|0.0|100
0|2021-10-25|34896.0|0|34945.0|0|687.0|0|0.0|100
0|2021-10-26|34917.0|0|34966.0|0|689.0|0|0.0|100
0|2021-10-27|34947.0|0|34996.0|0|692.0|0|0.0|100
0|2021-10-28|34973.0|0|35022.0|0|692.0|0|0.0|100
0|2021-10-29|34997.0|0|35046.0|0|695.0|0|0.0|100
0|2021-10-30|34997.0|0|35046.0|0|695.0|0|0.0|100
0|2021-10-31|34997.0|0|35046.0|0|695.0|0|0.0|100
0|2021-11-01|35061.0|0|35110.0|0|697.0|0|0.0|100
0|2021-11-02|35074.0|0|35123.0|0|700.0|0|0.0|100
0|2021-11-03|35089.0|0|35138.0|0|704.0|0|0.0|100
0|2021-11-04|35112.0|0|35161.0|0|705.0|0|0.0|100
0|2021-11-05|35133.0|0|35182.0|0|709.0|0|0.0|100
0|2021-11-06|35133.0|0|35182.0|0|709.0|0|0.0|100
0|2021-11-07|35133.0|0|35182.0|0|709.0|0|0.0|100
0|2021-11-08|35133.0|0|35182.0|0|709.0|0|0.0|100
0|2021-11-09|35193.0|0|35242.0|0|711.0|0|0.0|100
0|2021-11-10|35212.0|0|35261.0|0|715.0|0|0.0|100
0|2021-11-11|35212.0|0|35261.0|0|715.0|0|0.0|100
0|2021-11-12|35253.0|0|35302.0|0|721.0|0|0.0|100
0|2021-11-13|35253.0|0|35302.0|0|721.0|0|0.0|100
0|2021-11-14|35253.0|0|35302.0|0|721.0|0|0.0|100
0|2021-11-15|35288.0|0|35338.0|0|721.0|0|0.0|100
0|2021-11-16|35314.0|0|35364.0|0|721.0|0|0.0|100
0|2021-11-17|35343.0|0|35393.0|0|722.0|0|0.0|100
0|2021-11-18|35373.0|0|35423.0|0|725.0|0|0.0|100
0|2021-11-19|35392.0|0|35442.0|0|726.0|0|0.0|100
0|2021-11-20|35392.0|0|35442.0|0|726.0|0|0.0|100
0|2021-11-21|35392.0|0|35442.0|0|726.0|0|0.0|100
0|2021-11-22|35450.0|0|35500.0|0|729.0|0|0.0|100
0|2021-11-23|35477.0|0|35527.0|0|729.0|0|0.0|100
0|2021-11-24|35491.0|0|35541.0|0|731.0|0|0.0|100
