|dates|Moultrie_Illinois_UnitedStates.JHU_ConfirmedCases.data|Moultrie_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Moultrie_Illinois_UnitedStates.NYT_ConfirmedCases.data|Moultrie_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Moultrie_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Moultrie_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Moultrie_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Moultrie_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2288.0|0|2288.0|0|33.0|0|0.0|100
0|2021-10-18|2314.0|0|2314.0|0|33.0|0|0.0|100
0|2021-10-19|2327.0|0|2327.0|0|33.0|0|0.0|100
0|2021-10-20|2345.0|0|2345.0|0|33.0|0|0.0|100
0|2021-10-21|2357.0|0|2357.0|0|33.0|0|0.0|100
0|2021-10-22|2363.0|0|2363.0|0|33.0|0|0.0|100
0|2021-10-23|2363.0|0|2363.0|0|33.0|0|0.0|100
0|2021-10-24|2363.0|0|2363.0|0|33.0|0|0.0|100
0|2021-10-25|2383.0|0|2383.0|0|33.0|0|0.0|100
0|2021-10-26|2387.0|0|2387.0|0|33.0|0|0.0|100
0|2021-10-27|2399.0|0|2399.0|0|33.0|0|0.0|100
0|2021-10-28|2412.0|0|2412.0|0|33.0|0|0.0|100
0|2021-10-29|2420.0|0|2420.0|0|33.0|0|0.0|100
0|2021-10-30|2420.0|0|2420.0|0|33.0|0|0.0|100
0|2021-10-31|2420.0|0|2420.0|0|33.0|0|0.0|100
0|2021-11-01|2438.0|0|2438.0|0|33.0|0|0.0|100
0|2021-11-02|2451.0|0|2451.0|0|33.0|0|0.0|100
0|2021-11-03|2458.0|0|2458.0|0|33.0|0|0.0|100
0|2021-11-04|2467.0|0|2467.0|0|33.0|0|0.0|100
0|2021-11-05|2473.0|0|2473.0|0|33.0|0|0.0|100
0|2021-11-06|2473.0|0|2473.0|0|33.0|0|0.0|100
0|2021-11-07|2473.0|0|2473.0|0|33.0|0|0.0|100
0|2021-11-08|2480.0|0|2480.0|0|33.0|0|0.0|100
0|2021-11-09|2484.0|0|2484.0|0|33.0|0|0.0|100
0|2021-11-10|2484.0|0|2491.0|0|33.0|0|0.0|100
0|2021-11-11|2491.0|0|2491.0|0|33.0|0|0.0|100
0|2021-11-12|2503.0|0|2503.0|0|33.0|0|0.0|100
0|2021-11-13|2503.0|0|2503.0|0|33.0|0|0.0|100
0|2021-11-14|2503.0|0|2503.0|0|33.0|0|0.0|100
0|2021-11-15|2512.0|0|2512.0|0|33.0|0|0.0|100
0|2021-11-16|2519.0|0|2519.0|0|33.0|0|0.0|100
0|2021-11-17|2527.0|0|2527.0|0|33.0|0|0.0|100
0|2021-11-18|2537.0|0|2537.0|0|33.0|0|0.0|100
0|2021-11-19|2546.0|0|2546.0|0|33.0|0|0.0|100
0|2021-11-20|2546.0|0|2546.0|0|33.0|0|0.0|100
0|2021-11-21|2546.0|0|2546.0|0|33.0|0|0.0|100
0|2021-11-22|2559.0|0|2559.0|0|33.0|0|0.0|100
0|2021-11-23|2563.0|0|2563.0|0|33.0|0|0.0|100
0|2021-11-24|2571.0|0|2571.0|0|33.0|0|0.0|100
0|2021-11-25|2571.0|0|2571.0|0|33.0|0|0.0|100
0|2021-11-26|2571.0|0|2571.0|0|33.0|0|0.0|100
0|2021-11-27|2571.0|0|2571.0|0|33.0|0|0.0|100
0|2021-11-28|2571.0|0|2571.0|0|33.0|0|0.0|100
0|2021-11-29|2602.0|0|2602.0|0|33.0|0|0.0|100
0|2021-11-30|2617.0|0|2617.0|0|33.0|0|0.0|100
0|2021-12-01|2631.0|0|2631.0|0|34.0|0|0.0|100
0|2021-12-02|2631.0|0|2642.0|0|34.0|0|0.0|100
