|dates|Archer_Texas_UnitedStates.JHU_ConfirmedCases.data|Archer_Texas_UnitedStates.JHU_ConfirmedCases.missing|Archer_Texas_UnitedStates.NYT_ConfirmedCases.data|Archer_Texas_UnitedStates.NYT_ConfirmedCases.missing|Archer_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Archer_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Archer_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Archer_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1225.0|0|1225.0|0|19.0|0|0.0|100
0|2021-10-18|1225.0|0|1225.0|0|19.0|0|0.0|100
0|2021-10-19|1227.0|0|1227.0|0|19.0|0|0.0|100
0|2021-10-20|1228.0|0|1228.0|0|19.0|0|0.0|100
0|2021-10-21|1231.0|0|1231.0|0|19.0|0|0.0|100
0|2021-10-22|1233.0|0|1233.0|0|19.0|0|0.0|100
0|2021-10-23|1237.0|0|1237.0|0|19.0|0|0.0|100
0|2021-10-24|1237.0|0|1237.0|0|19.0|0|0.0|100
0|2021-10-25|1237.0|0|1237.0|0|19.0|0|0.0|100
0|2021-10-26|1240.0|0|1240.0|0|19.0|0|0.0|100
0|2021-10-27|1242.0|0|1242.0|0|19.0|0|0.0|100
0|2021-10-28|1252.0|0|1252.0|0|20.0|0|0.0|100
0|2021-10-29|1254.0|0|1254.0|0|22.0|0|0.0|100
0|2021-10-30|1259.0|0|1259.0|0|22.0|0|0.0|100
0|2021-10-31|1259.0|0|1259.0|0|22.0|0|0.0|100
0|2021-11-01|1259.0|0|1259.0|0|22.0|0|0.0|100
0|2021-11-02|1269.0|0|1269.0|0|22.0|0|0.0|100
0|2021-11-03|1271.0|0|1271.0|0|22.0|0|0.0|100
0|2021-11-04|1282.0|0|1282.0|0|22.0|0|0.0|100
0|2021-11-05|1283.0|0|1283.0|0|22.0|0|0.0|100
0|2021-11-06|1284.0|0|1284.0|0|22.0|0|0.0|100
0|2021-11-07|1284.0|0|1284.0|0|23.0|0|0.0|100
0|2021-11-08|1284.0|0|1284.0|0|23.0|0|0.0|100
0|2021-11-09|1286.0|0|1286.0|0|23.0|0|0.0|100
0|2021-11-10|1286.0|0|1286.0|0|23.0|0|0.0|100
0|2021-11-11|1287.0|0|1287.0|0|23.0|0|0.0|100
0|2021-11-12|1287.0|0|1287.0|0|23.0|0|0.0|100
0|2021-11-13|1289.0|0|1289.0|0|23.0|0|0.0|100
0|2021-11-14|1289.0|0|1289.0|0|23.0|0|0.0|100
0|2021-11-15|1289.0|0|1289.0|0|23.0|0|0.0|100
