|dates|Bollinger_Missouri_UnitedStates.JHU_ConfirmedCases.data|Bollinger_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Bollinger_Missouri_UnitedStates.NYT_ConfirmedCases.data|Bollinger_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Bollinger_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Bollinger_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Bollinger_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Bollinger_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1735.0|0|1735.0|0|19.0|0|0.0|100
0|2021-10-18|1736.0|0|1736.0|0|19.0|0|0.0|100
0|2021-10-19|1740.0|0|1740.0|0|19.0|0|0.0|100
0|2021-10-20|1746.0|0|1746.0|0|20.0|0|0.0|100
0|2021-10-21|1753.0|0|1753.0|0|20.0|0|0.0|100
0|2021-10-22|1757.0|0|1757.0|0|20.0|0|0.0|100
0|2021-10-23|1762.0|0|1762.0|0|20.0|0|0.0|100
0|2021-10-24|1762.0|0|1762.0|0|20.0|0|0.0|100
0|2021-10-25|1762.0|0|1762.0|0|20.0|0|0.0|100
0|2021-10-26|1763.0|0|1763.0|0|20.0|0|0.0|100
0|2021-10-27|1768.0|0|1768.0|0|20.0|0|0.0|100
0|2021-10-28|1772.0|0|1772.0|0|20.0|0|0.0|100
0|2021-10-29|1772.0|0|1772.0|0|20.0|0|0.0|100
0|2021-10-30|1773.0|0|1773.0|0|20.0|0|0.0|100
0|2021-10-31|1775.0|0|1775.0|0|20.0|0|0.0|100
0|2021-11-01|1775.0|0|1775.0|0|20.0|0|0.0|100
0|2021-11-02|1777.0|0|1777.0|0|20.0|0|0.0|100
0|2021-11-03|1779.0|0|1779.0|0|20.0|0|0.0|100
0|2021-11-04|1781.0|0|1781.0|0|20.0|0|0.0|100
0|2021-11-05|1781.0|0|1781.0|0|20.0|0|0.0|100
0|2021-11-06|1787.0|0|1787.0|0|20.0|0|0.0|100
0|2021-11-07|1787.0|0|1787.0|0|20.0|0|0.0|100
0|2021-11-08|1787.0|0|1787.0|0|20.0|0|0.0|100
0|2021-11-09|1792.0|0|1792.0|0|20.0|0|0.0|100
0|2021-11-10|1792.0|0|1794.0|0|20.0|0|0.0|100
0|2021-11-11|1794.0|0|1794.0|0|20.0|0|0.0|100
0|2021-11-12|1798.0|0|1798.0|0|20.0|0|0.0|100
0|2021-11-13|1798.0|0|1798.0|0|21.0|0|0.0|100
0|2021-11-14|1799.0|0|1799.0|0|21.0|0|0.0|100
0|2021-11-15|1800.0|0|1800.0|0|21.0|0|0.0|100
0|2021-11-16|1804.0|0|1804.0|0|22.0|0|0.0|100
0|2021-11-17|1809.0|0|1809.0|0|22.0|0|0.0|100
0|2021-11-18|1901.0|0|1901.0|0|23.0|0|0.0|100
0|2021-11-19|1902.0|0|1902.0|0|23.0|0|0.0|100
0|2021-11-20|1905.0|0|1905.0|0|23.0|0|0.0|100
0|2021-11-21|1907.0|0|1907.0|0|23.0|0|0.0|100
0|2021-11-22|1907.0|0|1907.0|0|23.0|0|0.0|100
0|2021-11-23|1918.0|0|1918.0|0|24.0|0|0.0|100
0|2021-11-24|1920.0|0|1920.0|0|23.0|0|0.0|100
0|2021-11-25|1920.0|0|1920.0|0|23.0|0|0.0|100
0|2021-11-26|1920.0|0|1920.0|0|23.0|0|0.0|100
0|2021-11-27|1920.0|0|1920.0|0|23.0|0|0.0|100
0|2021-11-28|1920.0|0|1920.0|0|23.0|0|0.0|100
0|2021-11-29|1922.0|0|1922.0|0|25.0|0|0.0|100
0|2021-11-30|1923.0|0|1923.0|0|26.0|0|0.0|100
0|2021-12-01|1926.0|0|1926.0|0|26.0|0|0.0|100
0|2021-12-02|1926.0|0|1929.0|0|26.0|0|0.0|100
0|2021-12-03|1929.0|0|1929.0|0|31.0|0|0.0|100
0|2021-12-04|1932.0|0|1932.0|0|31.0|0|0.0|100
0|2021-12-05|1934.0|0|1934.0|0|31.0|0|0.0|100
0|2021-12-06|1936.0|0|1936.0|0|31.0|0|0.0|100
0|2021-12-07|1942.0|0|1942.0|0|31.0|0|0.0|100
0|2021-12-08|1944.0|0|1944.0|0|31.0|0|0.0|100
0|2021-12-09|1948.0|0|1948.0|0|31.0|0|0.0|100
0|2021-12-10|1950.0|0|1950.0|0|33.0|0|0.0|100
0|2021-12-11|1953.0|0|1953.0|0|33.0|0|0.0|100
0|2021-12-12|1956.0|0|1956.0|0|33.0|0|0.0|100
0|2021-12-13|1956.0|0|1956.0|0|33.0|0|0.0|100
0|2021-12-14|1956.0|0|1958.0|0|33.0|0|0.0|100
0|2021-12-15|1963.0|0|1963.0|0|34.0|0|0.0|100
0|2021-12-16|1964.0|0|1964.0|0|34.0|0|0.0|100
0|2021-12-17|1967.0|0|1967.0|0|34.0|0|0.0|100
0|2021-12-18|1972.0|0|1972.0|0|34.0|0|0.0|100
0|2021-12-19|1973.0|0|1973.0|0|34.0|0|0.0|100
0|2021-12-20|1976.0|0|1976.0|0|34.0|0|0.0|100
0|2021-12-21|1979.0|0|1979.0|0|35.0|0|0.0|100
0|2021-12-22|1983.0|0|1983.0|0|35.0|0|0.0|100
0|2021-12-23|1992.0|0|1992.0|0|35.0|0|0.0|100
0|2021-12-24|1992.0|0|1992.0|0|35.0|0|0.0|100
0|2021-12-25|1992.0|0|1992.0|0|35.0|0|0.0|100
0|2021-12-26|1992.0|0|1992.0|0|35.0|0|0.0|100
0|2021-12-27|2005.0|0|2005.0|0|35.0|0|0.0|100
0|2021-12-28|2006.0|0|2006.0|0|35.0|0|0.0|100
0|2021-12-29|2006.0|0|2006.0|0|34.0|0|0.0|100
0|2021-12-30|2014.0|0|2014.0|0|34.0|0|0.0|100
0|2021-12-31|2014.0|0|2014.0|0|34.0|0|0.0|100
0|2022-01-01|2014.0|0|2014.0|0|34.0|0|0.0|100
0|2022-01-02|2014.0|0|2014.0|0|34.0|0|0.0|100
