|dates|Bayamon_PuertoRico_UnitedStates.AveragePrecipitationTotal.data|Bayamon_PuertoRico_UnitedStates.AveragePrecipitationTotal.missing|Bayamon_PuertoRico_UnitedStates.AveragePrecipitation.data|Bayamon_PuertoRico_UnitedStates.AveragePrecipitation.missing|Bayamon_PuertoRico_UnitedStates.AverageWindDirection.data|Bayamon_PuertoRico_UnitedStates.AverageWindDirection.missing|Bayamon_PuertoRico_UnitedStates.AverageWindSpeed.data|Bayamon_PuertoRico_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|70.0|0|7.958333333333333|0
0|2020-01-02|0.0|0|0.0|0|61.875|0|7.75|0
0|2020-01-03|0.0|0|0.0|0|86.04166666666667|0|9.8125|0
0|2020-01-04|0.0|0|0.0|0|90.625|0|10.4375|0
0|2020-01-05|0.0|0|0.0|0|86.66666666666667|0|4.625|0
0|2020-01-06|0.0|0|0.0|0|46.80555555555555|0|5.263888888888889|0
0|2020-01-07|0.0|0|0.0|0|78.33333333333333|0|9.395833333333334|0
0|2020-01-08|0.0|0|0.0|0|93.75|0|12.236111111111112|0
0|2020-01-09|0.0|0|0.0|0|93.19444444444444|0|15.583333333333334|0
0|2020-01-10|0.0|0|0.0|0|105.625|0|18.208333333333332|0
0|2020-01-11|0.0|0|0.0|0|110.20833333333333|0|18.958333333333332|0
0|2020-01-12|0.0|0|0.0|0|111.45833333333333|0|16.333333333333332|0
0|2020-01-13|0.0|0|0.0|0|99.58333333333333|0|17.791666666666668|0
0|2020-01-14|0.0|0|0.0|0|108.54166666666667|0|23.8125|0
0|2020-01-15|0.0|0|0.0|0|120.20833333333333|0|12.625|0
0|2020-01-16|0.0|0|0.0|0|84.375|0|11.520833333333334|0
0|2020-01-17|0.0|0|0.0|0|79.79166666666667|0|9.645833333333334|0
0|2020-01-18|0.0|0|0.0|0|81.04166666666667|0|14.666666666666666|0
0|2020-01-19|0.0|0|0.0|0|96.875|0|16.291666666666668|0
0|2020-01-20|0.0|0|0.0|0|112.91666666666667|0|13.416666666666666|0
0|2020-01-21|0.0|0|0.0|0|147.29166666666666|0|9.708333333333334|0
0|2020-01-22|0.0|0|0.0|0|159.79166666666666|0|7.354166666666667|0
0|2020-01-23|0.0|0|0.0|0|199.79166666666666|0|6.4375|0
0|2020-01-24|0.0|0|0.0|0|105.41666666666667|0|5.854166666666667|0
0|2020-01-25|0.0|0|0.0|0|86.45833333333333|0|7.291666666666667|0
0|2020-01-26|0.0|0|0.0|0|65.625|0|7.5625|0
0|2020-01-27|0.0|0|0.0|0|91.66666666666667|0|7.0|0
0|2020-01-28|0.0|0|0.0|0|170.41666666666666|0|4.604166666666667|0
0|2020-01-29|0.0|0|0.0|0|122.91666666666667|0|5.229166666666667|0
