|dates|Miami_Indiana_UnitedStates.JHU_ConfirmedCases.data|Miami_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Miami_Indiana_UnitedStates.NYT_ConfirmedCases.data|Miami_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Miami_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Miami_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Miami_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Miami_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5865.0|0|5873.0|0|95.0|0|0.0|100
0|2021-10-18|5897.0|0|5905.0|0|97.0|0|0.0|100
0|2021-10-19|5905.0|0|5913.0|0|98.0|0|0.0|100
0|2021-10-20|5914.0|0|5922.0|0|98.0|0|0.0|100
0|2021-10-21|5922.0|0|5930.0|0|98.0|0|0.0|100
0|2021-10-22|5933.0|0|5941.0|0|98.0|0|0.0|100
0|2021-10-23|5933.0|0|5941.0|0|98.0|0|0.0|100
0|2021-10-24|5933.0|0|5941.0|0|98.0|0|0.0|100
0|2021-10-25|5952.0|0|5960.0|0|98.0|0|0.0|100
0|2021-10-26|5962.0|0|5970.0|0|98.0|0|0.0|100
0|2021-10-27|5983.0|0|5991.0|0|98.0|0|0.0|100
0|2021-10-28|5994.0|0|6002.0|0|98.0|0|0.0|100
0|2021-10-29|6004.0|0|6012.0|0|98.0|0|0.0|100
0|2021-10-30|6004.0|0|6012.0|0|98.0|0|0.0|100
0|2021-10-31|6004.0|0|6012.0|0|98.0|0|0.0|100
0|2021-11-01|6020.0|0|6028.0|0|100.0|0|0.0|100
0|2021-11-02|6028.0|0|6036.0|0|100.0|0|0.0|100
0|2021-11-03|6040.0|0|6048.0|0|100.0|0|0.0|100
0|2021-11-04|6047.0|0|6055.0|0|100.0|0|0.0|100
0|2021-11-05|6060.0|0|6068.0|0|100.0|0|0.0|100
0|2021-11-06|6060.0|0|6068.0|0|100.0|0|0.0|100
