|dates|Lafayette_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lafayette_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lafayette_Florida_UnitedStates.Male_Total_Population.data|Lafayette_Florida_UnitedStates.Male_Total_Population.missing|Lafayette_Florida_UnitedStates.Female_Total_Population.data|Lafayette_Florida_UnitedStates.Female_Total_Population.missing|Lafayette_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Lafayette_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-18|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-19|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-20|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-21|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-22|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-23|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-24|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-25|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-26|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-27|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-28|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-29|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-30|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-10-31|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-01|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-02|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-03|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-04|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-05|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-06|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-07|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-08|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-09|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-10|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-11|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-12|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-13|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-14|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-15|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-16|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-17|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-18|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-19|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-20|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-21|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-22|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-23|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-24|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-25|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-26|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-27|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-28|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-29|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-11-30|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-01|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-02|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-03|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-04|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-05|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-06|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-07|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-08|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-09|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-10|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-11|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-12|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-13|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-14|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-15|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-16|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-17|1401.0|0|4986.0|0|3746.0|0|1771.0|0
0|2021-12-18|1401.0|0|4986.0|0|3746.0|0|1771.0|0
