|dates|Quay_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Quay_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Quay_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Quay_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Quay_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Quay_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Quay_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Quay_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|991.0|0|991.0|0|19.0|0|0.0|100
0|2021-10-18|995.0|0|995.0|0|21.0|0|0.0|100
0|2021-10-19|997.0|0|997.0|0|21.0|0|0.0|100
0|2021-10-20|1002.0|0|1002.0|0|21.0|0|0.0|100
0|2021-10-21|1003.0|0|1003.0|0|21.0|0|0.0|100
0|2021-10-22|1008.0|0|1008.0|0|23.0|0|0.0|100
0|2021-10-23|1008.0|0|1008.0|0|23.0|0|0.0|100
0|2021-10-24|1008.0|0|1008.0|0|23.0|0|0.0|100
0|2021-10-25|1015.0|0|1015.0|0|23.0|0|0.0|100
0|2021-10-26|1020.0|0|1020.0|0|23.0|0|0.0|100
0|2021-10-27|1030.0|0|1030.0|0|23.0|0|0.0|100
0|2021-10-28|1032.0|0|1032.0|0|23.0|0|0.0|100
0|2021-10-29|1036.0|0|1036.0|0|23.0|0|0.0|100
0|2021-10-30|1036.0|0|1036.0|0|23.0|0|0.0|100
0|2021-10-31|1036.0|0|1036.0|0|23.0|0|0.0|100
0|2021-11-01|1047.0|0|1047.0|0|23.0|0|0.0|100
0|2021-11-02|1050.0|0|1050.0|0|23.0|0|0.0|100
0|2021-11-03|1052.0|0|1052.0|0|23.0|0|0.0|100
0|2021-11-04|1054.0|0|1054.0|0|23.0|0|0.0|100
0|2021-11-05|1056.0|0|1056.0|0|23.0|0|0.0|100
0|2021-11-06|1056.0|0|1056.0|0|23.0|0|0.0|100
0|2021-11-07|1056.0|0|1056.0|0|23.0|0|0.0|100
0|2021-11-08|1064.0|0|1064.0|0|23.0|0|0.0|100
0|2021-11-09|1067.0|0|1067.0|0|23.0|0|0.0|100
0|2021-11-10|1067.0|0|1078.0|0|23.0|0|0.0|100
0|2021-11-11|1078.0|0|1078.0|0|23.0|0|0.0|100
0|2021-11-12|1116.0|0|1116.0|0|23.0|0|0.0|100
0|2021-11-13|1116.0|0|1116.0|0|23.0|0|0.0|100
0|2021-11-14|1116.0|0|1116.0|0|23.0|0|0.0|100
0|2021-11-15|1133.0|0|1133.0|0|23.0|0|0.0|100
0|2021-11-16|1162.0|0|1162.0|0|23.0|0|0.0|100
0|2021-11-17|1174.0|0|1174.0|0|24.0|0|0.0|100
0|2021-11-18|1187.0|0|1187.0|0|25.0|0|0.0|100
0|2021-11-19|1207.0|0|1207.0|0|25.0|0|0.0|100
0|2021-11-20|1207.0|0|1207.0|0|25.0|0|0.0|100
0|2021-11-21|1207.0|0|1207.0|0|25.0|0|0.0|100
0|2021-11-22|1224.0|0|1224.0|0|25.0|0|0.0|100
0|2021-11-23|1237.0|0|1237.0|0|25.0|0|0.0|100
0|2021-11-24|1250.0|0|1250.0|0|25.0|0|0.0|100
0|2021-11-25|1250.0|0|1250.0|0|25.0|0|0.0|100
0|2021-11-26|1250.0|0|1250.0|0|25.0|0|0.0|100
0|2021-11-27|1250.0|0|1250.0|0|25.0|0|0.0|100
0|2021-11-28|1250.0|0|1250.0|0|25.0|0|0.0|100
0|2021-11-29|1293.0|0|1293.0|0|25.0|0|0.0|100
